MDTU,S_F
711,1.00283
712,1.00945
713,1.00565
714,0.997158
715,0.996529
716,0.99539
717,1.0001
718,1.00147
719,0.998874
720,1.0013
721,0.996627
722,0.99387
723,0.999997
724,1.00342
725,0.999432
726,1.00121
727,1.0005
728,0.998436
729,0.997504
730,0.999148
731,0.99784
732,1.00781
733,0.997913
734,1.00585
735,0.997465
736,1.00005
737,1.00376
738,0.997464
739,1.00053
740,1.00243
741,1.00032
742,1.00186
743,1.00194
744,0.999673
745,1.00584
746,0.998649
747,0.998435
748,0.99453
749,0.997394
750,1.0094
751,1.00143
752,1.00454
753,0.996958
754,1.00098
755,1.0021
756,0.999646
757,1.00041
758,1.00006
759,1.00647
760,1.00047
761,1.00686
762,0.999894
763,1.00088
764,0.996233
765,0.996709
766,1.00454
767,0.996414
768,1.00495
769,1.00261
770,0.999967
771,0.994779
772,1.00292
773,1.00067
774,0.995733
775,0.998979
776,0.995733
777,1.00182
778,1.00202
779,0.995804
780,1.00642
781,1.00042
782,1.00134
783,0.997335
784,0.999268
785,1.00412
786,0.998439
787,1.00171
788,1.00145
789,1.00063
790,0.999895
791,1.00038
792,0.997827
793,0.99316
794,0.995302
795,1.00004
796,0.995148
797,1.0016
798,1.00088
799,0.999555
800,0.996317
801,1.00175
802,1.00022
803,1.00269
804,1.00051
805,1.00288
806,1.00529
807,1.00069
808,1.00304
809,1.00571
810,1.00381
811,0.998068
812,1.00046
813,1.0025
814,0.993303
815,0.994822
816,1.00292
817,1.00084
818,0.998069
819,1.00329
820,1.00241
821,0.997621
822,0.995291
823,1.00175
824,1.00426
825,0.993329
826,0.993711
827,1.00344
828,0.99805
829,1.00217
830,0.997515
831,1.0028
832,1.00017
833,0.99901
834,1.00045
835,1.00262
836,0.998808
837,1.00451
838,1.00635
839,0.999461
840,1.0033
841,0.998919
842,1.00451
843,1.00425
844,0.999823
845,1.00625
846,1.00358
847,1.0119
848,1.00071
849,0.994985
850,1.0028
851,1.00295
852,0.998095
853,1.00185
854,1.0035
855,1.00088
856,0.994227
857,1.00271
858,1.00345
859,1.00087
860,1.00283
861,1.0038
862,1.00455
863,0.997425
864,1.00333
865,0.999303
866,0.995809
867,1.00214
868,0.998411
869,0.993731
870,0.995983
871,0.999144
872,0.995858
873,0.998163
874,1.00007
875,1.00363
876,1.00177
877,1.00413
878,1.00619
879,1.00358
880,0.9934
881,0.996854
882,1.00628
883,1.00072
884,0.99977
885,0.999927
886,0.999613
887,1.00641
888,0.997854
889,1.00337
890,0.997897
891,1.00321
892,0.998409
893,0.997397
894,1.00061
895,1.0008
896,0.996839
897,1.00126
898,0.999574
899,1.00241
900,1.00638
901,1.00818
902,1.00203
903,0.99555
904,0.993355
905,1.00547
906,1.00246
907,1.00731
908,1.00238
909,1.00783
910,1.0049
911,0.994606
912,0.993585
913,1.00311
914,0.998712
915,1.00011
916,1.00062
917,1.00403
918,1.00011
919,1.00089
920,0.998955
921,0.998145
922,1.00393
923,1.00104
924,1.00245
925,0.999492
926,1.00247
927,1.0036
928,1.00455
929,0.994024
930,0.993879
931,1.0007
932,0.998968
933,1.00167
934,0.996452
935,0.99657
936,0.999675
937,0.999111
938,0.995576
939,1.00009
940,0.999509
941,0.996291
942,0.995274
943,1.00328
944,1.00167
945,0.994842
946,0.997941
947,1.00247
948,1.00114
949,0.995218
950,0.996458
951,1.00448
952,1.00293
953,0.998393
954,1.00976
955,0.996556
956,0.999322
957,0.996297
958,1.00331
959,1.00025
960,0.992516
961,1.00519
962,1.00187
963,0.996856
964,1.00291
965,1.00445
966,0.990057
967,1.00082
968,0.996807
969,0.999295
970,1.00098
971,0.99617
972,0.999449
973,0.997808
974,0.995889
975,0.997794
976,1.00037
977,1.00334
978,1.00113
979,1.00584
980,0.999623
981,1.00462
982,1.00932
983,1.00279
984,1.00127
985,0.998858
986,1.00079
987,0.99983
988,0.991733
989,0.99729
990,0.995637
991,1.00593
992,0.999752
993,1.00708
994,1.00026
995,1.00886
996,0.996543
997,0.998457
998,1.00203
999,1.00154
1000,1.00682
1001,0.997356
1002,1.00146
1003,0.998286
1004,1.00023
1005,0.998143
1006,1.00235
1007,1.00176
1008,1.00314
1009,0.998176
1010,0.996256
1011,0.99582
1012,1.00225
1013,1.0026
1014,1.00312
1015,0.992457
1016,0.995686
1017,1.00647
1018,1.00299
1019,0.999545
1020,1.00633
1021,1.00192
1022,1.00439
1023,1.00186
1024,1.00133
1025,1.0006
1026,0.996682
1027,1.00378
1028,1.00383
1029,0.999889
1030,1.00507
1031,0.998013
1032,0.995945
1033,0.994779
1034,1.00175
1035,0.998122
1036,1.00215
1037,1.00194
1038,0.999822
1039,1.00472
1040,0.998507
1041,1.00115
1042,0.998709
1043,1.00391
1044,1.00262
1045,1.00125
1046,1.00277
1047,0.99739
1048,1.00398
1049,1.00614
1050,1.00176
1051,0.999572
1052,0.999825
1053,0.994851
1054,1.00382
1055,1.00188
1056,1.00284
1057,0.998948
1058,0.999023
1059,0.999612
1060,0.998605
1061,0.996647
1062,1.00475
1063,0.992343
1064,1.00098
1065,0.998648
1066,1.00083
1067,1.00371
1068,0.999682
1069,0.997681
1070,0.997862
1071,0.998086
1072,1.00198
1073,0.999495
1074,1.00012
1075,0.999709
1076,1.00425
1077,1.00034
1078,0.998244
1079,0.997922
1080,1.0029
1081,0.996314
1082,1.00199
1083,1.00099
1084,1.00041
1085,1.00226
1086,1.0034
1087,1.00495
1088,0.998314
1089,1.00091
1090,1.00395
1091,0.998688
1092,1.00171
1093,1.00332
1094,1.00221
1095,0.99132
1096,0.994129
1097,0.998867
1098,0.99921
1099,0.995561
1100,0.997461
1101,1.00297
1102,0.998411
1103,1.00568
1104,0.997843
1105,0.993974
1106,1.00286
1107,1.00146
1108,0.998676
1109,0.999827
1110,0.998572
1111,1.00429
1112,0.998854
1113,1.00159
1114,0.995508
1115,0.999714
1116,1.00402
1117,1.00014
1118,0.997453
1119,1.00031
1120,1.001
1121,0.99536
1122,0.997663
1123,1.00077
1124,1.00384
1125,0.998986
1126,0.997414
1127,1.00022
1128,0.999095
1129,0.999205
1130,1.00152
1131,1.00179
1132,1.00104
1133,0.99647
1134,0.998376
1135,0.996192
1136,1.00148
1137,0.998869
1138,1.00332
1139,1.00461
1140,1.00358
1141,1.0041
1142,0.993306
1143,1.0043
1144,1.00188
1145,0.997195
1146,0.999449
1147,0.996908
1148,1.00469
1149,1.00145
1150,0.999574
1151,1.00005
1152,0.995585
1153,0.995685
1154,0.998432
1155,0.994587
1156,1.00413
1157,1.00129
1158,0.999612
1159,0.999747
1160,0.999335
1161,0.997767
1162,0.998664
1163,1.00163
1164,1.00371
1165,1.00046
1166,1.00474
1167,0.995048
1168,1.00725
1169,1.00031
1170,0.997531
1171,1.00226
1172,1.00584
1173,1.00571
1174,1.00304
1175,1.00328
1176,0.997625
1177,0.999174
1178,1.00306
1179,1.00687
1180,1.00038
1181,0.993793
1182,1.00091
1183,0.997397
1184,1.00449
1185,0.997488
1186,1.00185
1187,0.999946
1188,0.999276
1189,0.99463
1190,0.996775
1191,0.998268
1192,1.00262
1193,0.999587
1194,1.00376
1195,1.00306
1196,0.99764
1197,0.99641
1198,0.999114
1199,0.997556
1200,0.999911
1201,0.99701
1202,0.993457
1203,0.995761
1204,1.00034
1205,1.00371
1206,1.00421
1207,0.998405
1208,0.996836
1209,0.998081
1210,0.996065
1211,0.996438
1212,1.00191
1213,1.00661
1214,0.998892
1215,0.99889
1216,1.00112
1217,1.00125
1218,0.99409
1219,1.00488
1220,0.996618
1221,0.997103
1222,1.00152
1223,1.0017
1224,0.99861
1225,1.00264
1226,0.996761
1227,1.00481
1228,1.00807
1229,0.994359
1230,1.00194
1231,0.999078
1232,1.00006
1233,0.998579
1234,1.00711
1235,0.994578
1236,1.00165
1237,1.00269
1238,1.00224
1239,0.995709
1240,1.00195
1241,1.00147
1242,0.998757
1243,0.998201
1244,0.99753
1245,0.997416
1246,1.00474
1247,1.00197
1248,0.999588
1249,1.0002
1250,1.00392
1251,0.997573
1252,1.0037
1253,1.00284
1254,1.00201
1255,0.995474
1256,0.9964
1257,0.999476
1258,1.00484
1259,1.00104
1260,1.00296
1261,1.00869
1262,1.00103
1263,1.00139
1264,0.996389
1265,0.997305
1266,1.00106
1267,0.996759
1268,1.00122
1269,0.999574
1270,0.997076
1271,0.997596
1272,0.999102
1273,0.996129
1274,1.00117
1275,1.00579
1276,0.998123
1277,0.994331
1278,0.999791
1279,0.99964
1280,1.00013
1281,1.00335
1282,0.992888
1283,0.999371
1284,1.00007
1285,0.993789
1286,0.994247
1287,1.00482
1288,1.00547
1289,0.996797
1290,0.999134
1291,1.00349
1292,1.00554
1293,0.998064
1294,0.994335
1295,1.00209
1296,0.997106
1297,0.995877
1298,1.00379
1299,1.00171
1300,1.00218
1301,1.00178
1302,1.00078
1303,1.00067
1304,1.00144
1305,1.00168
1306,0.997927
1307,1.00268
1308,0.994269
1309,1.00304
1310,0.99865
1311,0.998894
1312,1.00016
1313,1.00605
1314,0.996375
1315,1.00081
1316,0.999136
1317,0.998707
1318,1.0023
1319,1.01005
1320,1.00065
1321,1.00449
1322,1.00307
1323,1.00025
1324,0.999131
1325,1.00115
1326,1.00006
1327,0.995796
1328,1.00208
1329,0.999267
1330,1.00082
1331,0.999746
1332,0.999504
1333,0.996014
1334,0.9971
1335,0.997444
1336,1.00008
1337,0.999615
1338,0.999697
1339,1.00148
1340,0.995632
1341,1.00262
1342,0.999534
1343,0.998816
1344,1.0002
1345,1.003
1346,1.00143
1347,1.00222
1348,0.999065
1349,1.0017
1350,0.999157
1351,0.997142
1352,0.996308
1353,0.998571
1354,1.00093
1355,0.99458
1356,1.00567
1357,1.00474
1358,1.00041
1359,1.00163
1360,0.995173
1361,1.00049
1362,0.99878
1363,1.00251
1364,1.00271
1365,0.99398
1366,1.00621
1367,1.00218
1368,0.997709
1369,1.00425
1370,0.99985
1371,1.00182
1372,1.00029
1373,0.999621
1374,1.00465
1375,0.997544
1376,0.996827
1377,1.00284
1378,1.00262
1379,1.00318
1380,0.993107
1381,1.00071
1382,0.996641
1383,0.991836
1384,1.00536
1385,1.00304
1386,0.996486
1387,1.00673
1388,1.00171
1389,1.00662
1390,0.999828
1391,1.00237
1392,0.997185
1393,0.999816
1394,1.00207
1395,1.00053
1396,1.00433
1397,0.999725
1398,0.999909
1399,0.996932
1400,0.997675
1401,1.001
1402,1.00011
1403,1.00082
1404,1.00484
1405,1.00094
1406,1.00356
1407,0.999009
1408,0.998673
1409,1.00233
1410,0.999669
1411,0.988583
1412,1.00346
1413,1.0032
1414,0.995666
1415,1.00174
1416,0.998412
1417,1.00347
1418,0.999671
1419,1.00173
1420,0.99728
1421,1.00672
1422,0.996671
1423,0.994271
1424,0.998755
1425,1.00257
1426,1.00009
1427,1.00228
1428,0.997733
1429,0.995932
1430,0.999348
1431,0.996542
1432,0.992265
1433,0.999044
1434,1.00115
1435,1.0007
1436,1.00477
1437,0.99626
1438,1.00256
1439,0.998028
1440,1.00413
1441,1.00491
1442,0.999805
1443,1.00623
1444,0.999371
1445,1.00129
1446,1.00523
1447,0.996329
1448,0.996696
1449,0.994544
1450,0.996732
1451,1.00463
1452,1.00721
1453,1.00209
1454,0.99901
1455,0.999872
1456,1.00102
1457,1.00829
1458,0.997608
1459,1.00348
1460,1.00156
1461,0.998626
1462,1.00189
1463,1.00382
1464,1.00621
1465,1.00068
1466,0.999328
1467,0.999282
1468,1.0039
1469,0.996924
1470,1.00096
1471,1.00894
1472,0.999498
1473,1.00278
1474,0.993305
1475,0.998796
1476,0.998176
1477,0.996834
1478,1.00265
1479,1.00033
1480,0.995393
1481,0.99988
1482,0.999222
1483,1.00013
1484,0.998536
1485,0.998412
1486,0.998394
1487,0.996128
1488,0.996115
1489,1.00125
1490,1.00507
1491,0.997253
1492,1.00198
1493,1.004
1494,0.995127
1495,1.00307
1496,0.999943
1497,1.00474
1498,0.996622
1499,1.00299
1500,1.00205
1501,0.997101
1502,1.00133
1503,1.00054
1504,1.00386
1505,1.00105
1506,0.997666
1507,1.00695
1508,0.999988
1509,1.00543
1510,1.00368
1511,0.996553
1512,0.994446
1513,1.00687
1514,0.997406
1515,0.999747
1516,0.999522
1517,1.00066
1518,0.998679
1519,0.997651
1520,1.0031
1521,1.00148
1522,1.00698
1523,0.998126
1524,1.00155
1525,0.998002
1526,0.994023
1527,1.00021
1528,1.00698
1529,1.0021
1530,1.00631
1531,1.00356
1532,0.994349
1533,0.996187
1534,0.998033
1535,0.99958
1536,0.997505
1537,0.998449
1538,0.996095
1539,0.995935
1540,0.996288
1541,0.999097
1542,1.00154
1543,1.00568
1544,1.00117
1545,1.00399
1546,0.997794
1547,0.997456
1548,0.999297
1549,0.995875
1550,1.00173
1551,1.00093
1552,0.992793
1553,0.999823
1554,1.00384
1555,0.997932
1556,1.00097
1557,1.00413
1558,1.00231
1559,0.996517
1560,0.995124
1561,0.996257
1562,0.997921
1563,0.998605
1564,0.996294
1565,0.994743
1566,1.00002
1567,1.00089
1568,0.999827
1569,1.00123
1570,1.00261
1571,0.995743
1572,1.0015
1573,0.996255
1574,1.00014
1575,1.00229
1576,1.0001
1577,0.998729
1578,0.997668
1579,0.997009
1580,1.00669
1581,1.00155
1582,0.999906
1583,0.999939
1584,1.00544
1585,1.00553
1586,0.99663
1587,0.996689
1588,0.996606
1589,0.997774
1590,1.00565
1591,0.998648
1592,0.997057
1593,1.00195
1594,1.00226
1595,0.999288
1596,1.00012
1597,0.996957
1598,0.997164
1599,1.00074
1600,1.00057
1601,0.991334
1602,0.997001
1603,0.993029
1604,1.00116
1605,0.999011
1606,1.00861
1607,0.996683
1608,0.999223
1609,1.00638
1610,1.00047
1611,1.00505
1612,0.998804
1613,1.00395
1614,1.00572
1615,1.00186
1616,1.00196
1617,1.00038
1618,1.00014
1619,0.994892
1620,0.998934
1621,1.00351
1622,1.00019
1623,1.00005
1624,0.99591
1625,0.995244
1626,0.992077
1627,1.00288
1628,0.996305
1629,0.992165
1630,1.00166
1631,1.00056
1632,1.0022
1633,1.00128
1634,1.00229
1635,0.993272
1636,0.998646
1637,1.00017
1638,1.00405
1639,0.999372
1640,1.00413
1641,1.00223
1642,0.996352
1643,0.999475
1644,1.00128
1645,1.00242
1646,1.00199
1647,0.993119
1648,0.999902
1649,0.997179
1650,0.999129
1651,0.999275
1652,1.01098
1653,1.00021
1654,1.00741
1655,0.997903
1656,1.00017
1657,0.998065
1658,1.00134
1659,0.995081
1660,0.999317
1661,0.996131
1662,0.999204
1663,0.995587
1664,1.00701
1665,0.997333
1666,1.00836
1667,1.00148
1668,1.00094
1669,0.99734
1670,0.996043
1671,0.998797
1672,0.999864
1673,1.00076
1674,1.00083
1675,1.00264
1676,0.993814
1677,1.00018
1678,0.995072
1679,0.9954
1680,0.995356
1681,1.00138
1682,1.00167
1683,0.996274
1684,1.00047
1685,1.00422
1686,1.00073
1687,0.996675
1688,0.992616
1689,0.999315
1690,0.999137
1691,0.994858
1692,1.00509
1693,0.997278
1694,1.00168
1695,1.0012
1696,1.00293
1697,0.997742
1698,0.999251
1699,0.999161
1700,0.999459
1701,1.00202
1702,0.997606
1703,1.00475
1704,0.999461
1705,1.00488
1706,1.00255
1707,1.00105
1708,0.995893
1709,0.99842
1710,1.00476
1711,1.00412
1712,0.999731
1713,1.00103
1714,1.00268
1715,1.00343
1716,0.997935
1717,1.00117
1718,1.00021
1719,0.998357
1720,0.999468
1721,1.00688
1722,1.0004
1723,0.998449
1724,0.998771
1725,0.997013
1726,1.00075
1727,1.00547
1728,0.997295
1729,0.997937
1730,1.0058
1731,0.99787
1732,1.00008
1733,1.00096
1734,1.00393
1735,1.00352
1736,0.998532
1737,1.00205
1738,1.00344
1739,1.00035
1740,1.00186
1741,0.999027
1742,0.997991
1743,1.0017
1744,1.00384
1745,1.00473
1746,0.999298
1747,1.00294
1748,1.00396
1749,1.00309
1750,0.997046
1751,1.00294
1752,0.998151
1753,1.01034
1754,1.00157
1755,0.996328
1756,0.995485
1757,1.00358
1758,1.00168
1759,0.994534
1760,1.0007
1761,1.00569
1762,1.00471
1763,1.00674
1764,1.00237
1765,0.998107
1766,0.999891
1767,1.00507
1768,1.00311
1769,1.00249
1770,1.00044
1771,1.00086
1772,1.00189
1773,0.998045
1774,1.00733
1775,1.00013
1776,0.997897
1777,1.00127
1778,0.999958
1779,1.00412
1780,1.00001
1781,0.998681
1782,1.00171
1783,1.00306
1784,0.999175
1785,1.00701
1786,0.996095
1787,0.998332
1788,0.995846
1789,0.99897
1790,1.00442
1791,1.00236
1792,1.0029
1793,0.999631
1794,0.995435
1795,1.00192
1796,0.993859
1797,1.00485
1798,0.998315
1799,0.996865
1800,1.00219
1801,0.99948
1802,1.00636
1803,1.00298
1804,0.996173
1805,1.00267
1806,1.00242
1807,1.00098
1808,0.999946
1809,1.00225
1810,0.999349
1811,1.00106
1812,0.997198
1813,0.999294
1814,0.998266
1815,1.00385
1816,1.00136
1817,1.00039
1818,1.00379
1819,1.00206
1820,0.99811
1821,1.0021
1822,1.00116
1823,0.998484
1824,1.00049
1825,0.999417
1826,0.993343
1827,0.999046
1828,0.996283
1829,0.994325
1830,1.00113
1831,1.0033
1832,0.995508
1833,0.995524
1834,0.998481
1835,0.998483
1836,0.994926
1837,0.996066
1838,0.994279
1839,1.00554
1840,1.00145
1841,0.999712
1842,1.00433
1843,1.00228
1844,0.995909
1845,1.00533
1846,1.00435
1847,0.999254
1848,1.00105
1849,1.00043
1850,1.00286
1851,0.998343
1852,0.997246
1853,1.00184
1854,1.00044
1855,1.00271
1856,0.9975
1857,0.998976
1858,1.00113
1859,1.00051
1860,0.998952
1861,1.00159
1862,1.00454
1863,0.994862
1864,0.99921
1865,1.00666
1866,1.00339
1867,1.00262
1868,1.00226
1869,1.00275
1870,0.999154
1871,1.00137
1872,1.00605
