t,e^(-dS)
1037,0.355582
1038,1.44701
1039,2.91538
1040,1.70353
1041,0.758434
1042,1.65285
1043,1.33482
1044,0.567338
1045,0.846454
1046,1.23875
1047,0.522673
1048,0.351692
1049,1.58598
1050,1.34891
1051,0.152133
1052,0.445749
1053,0.501676
1054,0.76254
1055,1.09912
1056,0.529882
1057,1.12829
1058,0.801396
1059,1.4127
1060,0.278594
1061,1.01933
1062,0.507428
1063,2.51205
1064,0.432186
1065,1.05103
1066,0.258981
1067,0.402766
1068,0.508444
1069,0.837612
1070,0.689423
1071,1.14901
1072,0.134795
1073,0.333537
1074,1.63657
1075,0.342666
1076,0.347844
1077,1.73603
1078,0.485537
1079,1.02546
1080,0.915221
1081,0.849421
1082,3.61106
1083,0.611953
1084,1.33884
1085,0.985053
1086,0.713195
1087,0.76399
1088,0.285076
1089,0.388524
1090,1.43218
1091,0.280832
1092,1.18341
1093,0.228779
1094,0.875728
1095,0.377759
1096,0.654489
1097,0.686877
1098,2.11087
1099,0.306358
1100,0.792946
1101,1.08245
1102,0.39828
1103,1.6718
1104,1.93402
1105,0.530519
1106,0.799075
1107,0.604593
1108,0.208879
1109,0.498426
1110,0.426348
1111,1.05343
1112,0.925316
1113,1.39668
1114,4.09596
1115,2.42323
1116,0.869967
1117,0.512938
1118,0.500174
1119,0.401359
1120,0.348541
1121,0.947082
1122,0.792788
1123,1.33229
1124,1.8397
1125,1.65153
1126,0.967258
1127,0.39836
1128,3.0283
1129,0.291126
1130,0.0931076
1131,0.2334
1132,1.52501
1133,1.35948
1134,0.659153
1135,0.566091
1136,1.4829
1137,0.979738
1138,0.517834
1139,5.77767
1140,1.8593
1141,0.508495
1142,1.75646
1143,0.645455
1144,0.41778
1145,0.817912
1146,0.604472
1147,0.824564
1148,0.198097
1149,3.10185
1150,0.38868
1151,0.44879
1152,0.196715
1153,2.20009
1154,0.273624
1155,1.54326
1156,0.894044
1157,2.61039
1158,0.225147
1159,0.579842
1160,0.396373
1161,0.150018
1162,7.61409
1163,0.46865
1164,2.32821
1165,1.17468
1166,0.730154
1167,1.17292
1168,1.21641
1169,0.710775
1170,0.542916
1171,0.482584
1172,0.652268
1173,0.438191
1174,0.504696
1175,1.7179
1176,2.24678
1177,0.989011
1178,0.249824
1179,0.636163
1180,1.58995
1181,4.03901
1182,1.55768
1183,0.189191
1184,0.62027
1185,0.705323
1186,2.96536
1187,1.49601
1188,2.29057
1189,2.51582
1190,1.79033
1191,2.36671
1192,0.187496
1193,0.282522
1194,0.140999
1195,0.142844
1196,0.265537
1197,0.306972
1198,0.641081
1199,0.130289
1200,1.72944
1201,0.489486
1202,0.753444
1203,1.27099
1204,0.400637
1205,4.49515
1206,0.276651
1207,1.74787
1208,0.60884
1209,0.155206
1210,0.674421
1211,0.300893
1212,1.95365
1213,0.245367
1214,0.664115
1215,0.520794
1216,0.36976
1217,0.130811
1218,0.413954
1219,0.201897
1220,0.432315
1221,0.523929
1222,2.12187
1223,0.324004
1224,1.05209
1225,1.84966
1226,0.429514
1227,3.38719
1228,1.16335
1229,0.489437
1230,2.31012
1231,0.827455
1232,0.511248
1233,0.476208
1234,1.53235
1235,0.191283
1236,1.42248
1237,0.71677
1238,0.42122
1239,1.11829
1240,0.670588
1241,1.2203
1242,0.297601
1243,0.274172
1244,2.10897
1245,0.955481
1246,1.54666
1247,0.613423
1248,3.23814
1249,0.320459
1250,1.32737
1251,0.259759
1252,0.379576
1253,0.841054
1254,1.02473
1255,0.430503
1256,4.43266
1257,0.439815
1258,0.713695
1259,1.68422
1260,0.89003
1261,0.847978
1262,0.170845
1263,1.16871
1264,0.873105
1265,1.29823
1266,0.999379
1267,0.987795
1268,0.253599
1269,1.0965
1270,0.684409
1271,0.376288
1272,1.02889
1273,0.394633
1274,3.58587
1275,0.867534
1276,7.68292
1277,0.98525
1278,0.33088
1279,0.247585
1280,1.11027
1281,1.0694
1282,1.29641
1283,2.17842
1284,0.331874
1285,0.856501
1286,2.1782
1287,1.44268
1288,1.11918
1289,0.0899951
1290,1.78979
1291,2.04031
1292,0.194563
1293,0.17552
1294,0.266335
1295,0.383161
1296,0.329889
1297,1.56455
1298,1.558
1299,0.274172
1300,4.00683
1301,1.20527
1302,0.264477
1303,0.65856
1304,1.21422
1305,0.679295
1306,1.03006
1307,0.404704
1308,0.789623
1309,2.18365
1310,1.2527
1311,0.350989
1312,3.55019
1313,0.393569
1314,0.437534
1315,0.217839
1316,0.542536
1317,0.763227
1318,0.799395
1319,2.3984
1320,1.30369
1321,2.00772
1322,2.5113
1323,3.91964
1324,0.367144
1325,0.594402
1326,0.883292
1327,1.12423
1328,0.413292
1329,0.499724
1330,0.764678
1331,0.590314
1332,2.81229
1333,0.923864
1334,1.93112
1335,2.50102
1336,0.989674
1337,1.00151
1338,1.05091
1339,0.648171
1340,0.87871
1341,0.519806
1342,0.186188
1343,0.367144
1344,1.44846
1345,0.0889216
1346,1.05578
1347,0.650444
1348,0.323033
1349,1.23392
1350,1.38279
1351,0.762693
1352,0.731616
1353,0.55744
1354,2.46823
1355,1.27622
1356,0.492875
1357,0.679295
1358,1.3375
1359,0.428699
1360,0.27999
1361,2.18562
1362,0.492185
1363,1.33496
1364,0.262632
1365,1.41369
1366,1.5976
1367,0.310677
1368,1.42861
1369,2.48731
1370,0.465334
1371,0.631094
1372,1.41595
1373,0.92527
1374,1.97783
1375,0.76018
1376,0.958295
1377,0.175872
1378,0.596068
1379,0.55744
1380,0.650965
1381,1.95053
1382,1.00058
1383,0.394514
1384,0.30483
1385,0.543514
1386,7.73689
1387,2.5434
1388,2.72918
1389,1.11885
1390,1.06278
1391,0.693711
1392,4.41497
1393,1.27864
1394,1.04872
1395,0.827042
1396,0.204538
1397,0.303613
1398,0.411643
1399,0.190329
1400,1.55987
1401,0.289964
1402,0.85573
1403,0.2595
1404,2.24611
1405,1.23763
1406,0.466685
1407,0.359155
1408,0.578915
1409,1.5787
1410,0.554272
1411,0.931471
1412,1.73551
1413,0.101774
1414,0.356294
1415,0.545256
1416,1.44875
1417,0.231541
1418,0.40596
1419,0.623691
1420,0.230616
1421,1.78997
1422,2.92706
1423,0.460059
1424,1.45165
1425,3.25437
1426,0.860278
1427,0.568531
1428,0.663982
1429,0.602601
1430,0.759041
1431,0.216969
1432,0.263158
1433,0.839037
1434,1.82759
1435,0.738156
1436,0.267938
1437,0.19593
1438,1.55535
1439,0.865195
1440,2.22799
1441,1.14374
1442,0.324652
1443,1.32181
1444,1.88024
1445,2.44562
1446,1.76033
1447,2.08423
1448,1.39487
1449,0.357722
1450,3.07406
1451,0.448835
1452,0.600135
1453,0.122579
1454,0.241231
1455,0.17482
1456,1.013
1457,0.469353
1458,0.353101
1459,1.30748
1460,0.279711
1461,1.34514
1462,0.163982
1463,1.14362
1464,1.33509
1465,1.16859
1466,0.0632918
1467,0.929759
1468,0.32271
1469,0.712482
1470,3.67297
1471,1.25847
1472,1.00445
1473,0.262632
1474,0.353455
1475,1.98179
1476,0.445972
1477,0.920719
1478,4.32754
1479,1.25659
1480,0.898885
1481,0.306052
1482,1.34635
1483,0.151829
1484,0.547441
1485,0.318542
1486,0.751413
1487,1.34447
1488,0.545365
1489,0.537944
1490,1.93479
1491,0.189759
1492,1.78479
1493,0.866148
1494,0.403048
1495,0.221131
1496,0.443126
1497,1.33322
1498,0.712696
1499,0.550901
1500,0.939892
1501,0.172562
1502,0.564508
1503,0.788597
1504,2.33731
1505,0.248578
1506,0.214381
1507,1.12187
1508,1.77269
1509,0.536387
1510,0.310367
1511,0.353455
1512,1.24098
1513,0.112029
1514,2.62138
1515,1.75453
1516,0.569213
1517,0.448476
1518,1.18436
1519,0.274172
1520,0.257689
1521,0.678345
1522,0.53462
1523,1.95717
1524,0.412714
1525,0.408648
1526,0.514582
1527,1.22434
1528,0.234336
1529,1.06982
1530,0.127199
1531,0.491792
1532,0.723757
1533,0.42622
1534,0.449194
1535,1.86265
1536,0.187683
1537,1.07768
1538,1.8891
1539,0.400998
1540,0.159454
1541,0.409303
1542,0.938774
1543,0.927493
1544,2.87485
1545,1.25045
1546,0.0529716
1547,0.774684
1548,1.30748
1549,0.736019
1550,0.827869
1551,1.00698
1552,0.374
1553,2.14577
1554,0.488215
1555,0.229237
1556,0.543242
1557,0.32628
1558,0.198692
1559,1.77749
1560,0.46158
1561,0.922433
1562,0.817422
1563,0.0899951
1564,0.602782
1565,0.669048
1566,0.415696
1567,0.296413
1568,1.47359
1569,0.158183
1570,0.203315
1571,0.470434
1572,0.332538
1573,2.49802
1574,0.503033
1575,3.3838
1576,0.300592
1577,0.487971
1578,0.981376
1579,0.732714
1580,0.525818
1581,1.61494
1582,0.498576
1583,4.4371
1584,0.237165
1585,0.112253
1586,5.96554
1587,0.300893
1588,1.06949
1589,0.612198
1590,0.902939
1591,1.73638
1592,1.49108
1593,0.613055
1594,0.645132
1595,1.23677
1596,0.961241
1597,0.148823
1598,0.742079
1599,0.541452
1600,2.11108
1601,0.404218
1602,4.37979
1603,1.61285
1604,1.14912
1605,0.3138
1606,1.05932
1607,2.13828
1608,0.314428
1609,2.32681
1610,0.712767
1611,1.37851
1612,5.17066
1613,0.642878
1614,0.852314
1615,1.61785
1616,0.390745
1617,0.26955
1618,0.529406
1619,2.09384
1620,0.96178
1621,0.233868
1622,1.86881
1623,0.856501
1624,0.96103
1625,1.09452
1626,0.137518
1627,0.191666
1628,0.48215
1629,1.05254
1630,1.12998
1631,2.43416
1632,6.0557
1633,0.884794
1634,1.79535
1635,0.690527
1636,0.51038
1637,0.59762
1638,0.421346
1639,0.488166
1640,0.263949
1641,0.813752
1642,0.996849
1643,0.1764
1644,0.374262
1645,0.363855
1646,1.46785
1647,0.491497
1648,0.240508
1649,0.672738
1650,1.11807
1651,0.570239
1652,1.35703
1653,0.948039
1654,0.190901
1655,0.370167
1656,0.525187
1657,0.693919
1658,0.810665
1659,0.151223
1660,0.346456
1661,0.687702
1662,0.593926
1663,0.944301
1664,0.560346
1665,0.655013
1666,0.274996
1667,0.650119
1668,0.363491
1669,0.312235
1670,0.318542
1671,0.467526
1672,0.971378
1673,0.665777
1674,1.46815
1675,1.02967
1676,0.478835
1677,0.549086
1678,0.59768
1679,0.396373
1680,0.115787
1681,4.02691
1682,0.703843
1683,2.91538
1684,1.65384
1685,1.55753
1686,6.34711
1687,0.247833
1688,0.408485
1689,2.78988
1690,0.246844
1691,0.715982
1692,0.373701
1693,0.369465
1694,0.505858
1695,2.50353
1696,0.457033
1697,2.29975
1698,0.817912
1699,0.4275
1700,0.475209
1701,0.641722
1702,0.428571
1703,1.06119
1704,0.247585
1705,0.605016
1706,0.807268
1707,1.10143
1708,0.47114
1709,1.39306
1710,0.221131
1711,0.660274
1712,1.24682
1713,0.924345
1714,0.91394
1715,0.315373
1716,0.366045
1717,0.719427
1718,0.550846
1719,1.73881
1720,1.11149
1721,0.484712
1722,0.662324
1723,0.231309
1724,0.783409
1725,1.42689
1726,1.05153
1727,0.684956
1728,0.476351
1729,0.756389
1730,0.756237
1731,1.04483
1732,0.433874
1733,0.663186
1734,0.243169
1735,0.227183
1736,3.36356
1737,1.44325
1738,0.333871
1739,4.99781
1740,1.36138
1741,0.90635
1742,2.76212
1743,0.484373
1744,0.818731
1745,0.506718
1746,1.67548
1747,0.336553
1748,0.771669
1749,0.398599
1750,1.16218
1751,0.236454
1752,0.0888327
1753,1.38652
1754,0.796602
1755,1.78122
1756,0.916146
1757,0.48758
1758,0.623379
1759,0.613301
1760,0.607745
1761,0.420252
1762,0.479362
1763,1.97941
1764,0.713267
1765,0.502731
1766,0.300893
1767,1.49093
1768,8.16617
1769,0.498576
1770,0.679431
1771,0.181954
1772,0.244143
1773,0.780672
1774,0.541669
1775,0.772904
1776,2.63031
1777,1.19363
1778,2.45322
1779,0.77997
1780,1.35378
1781,0.429386
1782,1.3007
1783,1.06396
1784,1.152
1785,6.71269
1786,0.78592
1787,0.458635
1788,0.674826
1789,0.434309
1790,0.425794
1791,2.16214
1792,0.379994
1793,1.37685
1794,1.05664
1795,0.333537
1796,0.471517
1797,1.72616
1798,0.292
1799,2.76765
1800,2.72372
1801,0.509513
1802,0.930847
1803,0.933345
1804,0.293758
1805,0.973644
1806,5.50689
1807,0.327915
1808,1.58915
1809,0.535422
1810,0.286218
1811,0.468181
1812,0.237402
1813,0.151223
1814,0.463384
1815,0.706664
1816,0.771823
1817,0.538483
1818,0.458085
1819,3.15188
1820,1.47521
1821,1.61301
1822,0.756918
1823,0.395541
1824,1.05194
1825,1.20949
1826,0.60811
1827,0.920857
1828,0.819796
1829,0.546348
1830,0.31918
1831,1.02213
1832,0.484131
1833,0.165464
1834,0.208462
1835,0.191283
1836,0.992074
1837,0.745053
1838,1.4658
1839,1.27405
1840,2.46231
1841,0.325302
1842,0.98913
1843,0.728841
1844,1.24061
1845,0.600375
1846,0.649794
1847,0.471611
1848,0.100259
1849,0.349588
1850,0.336216
1851,0.74647
1852,0.186747
1853,0.823329
1854,1.21094
1855,0.621077
1856,0.100059
1857,0.655865
1858,0.910674
1859,1.22851
1860,3.81141
1861,1.16742
1862,0.119433
1863,1.23887
1864,0.135471
1865,0.0872481
1866,0.762159
1867,1.77145
1868,0.148823
1869,1.09223
1870,0.366045
