MDTU,|Tr(L)|,ReTr(L),ImTr(L)
320,0.935658,0.288148,0.890183
321,0.935658,0.288148,0.890183
322,0.93692,0.452595,0.820352
323,0.93692,0.452595,0.820352
324,0.93692,0.452595,0.820352
325,0.935709,0.510038,0.784483
326,0.929871,0.371087,0.852617
327,0.929871,0.371087,0.852617
328,0.930942,0.443757,0.818373
329,0.931558,0.393755,0.84425
330,0.936807,0.417209,0.838775
331,0.936807,0.417209,0.838775
332,0.934532,0.532143,0.768228
333,0.934532,0.532143,0.768228
334,0.934022,0.498859,0.789643
335,0.932829,0.445227,0.819722
336,0.933563,0.568425,0.740562
337,0.933061,0.660351,0.659197
338,0.930468,0.627211,0.687297
339,0.931507,0.658373,0.658976
340,0.933941,0.631273,0.688287
341,0.932952,0.651893,0.667409
342,0.933837,0.618357,0.699777
343,0.933666,0.60347,0.712429
344,0.933666,0.60347,0.712429
345,0.937031,0.619675,0.702872
346,0.937418,0.622472,0.700915
347,0.937418,0.622472,0.700915
348,0.930654,0.599002,0.712259
349,0.937163,0.608252,0.712955
350,0.931289,0.545756,0.754619
351,0.931257,0.491318,0.791104
352,0.931257,0.491318,0.791104
353,0.929747,0.449666,0.813775
354,0.930909,0.438068,0.821393
355,0.930909,0.438068,0.821393
356,0.930909,0.438068,0.821393
357,0.930909,0.438068,0.821393
358,0.932036,0.507077,0.782025
359,0.931659,0.43157,0.825673
360,0.931659,0.43157,0.825673
361,0.93317,0.543089,0.758854
362,0.93317,0.543089,0.758854
363,0.93317,0.543089,0.758854
364,0.932631,0.522858,0.772283
365,0.932631,0.522858,0.772283
366,0.930909,0.630319,0.685048
367,0.930909,0.630319,0.685048
368,0.926539,0.588498,0.715642
369,0.926539,0.588498,0.715642
370,0.926539,0.588498,0.715642
371,0.933617,0.619522,0.698451
372,0.928509,0.521228,0.768408
373,0.928512,0.399303,0.838267
374,0.928512,0.399303,0.838267
375,0.928335,0.416005,0.829908
376,0.931615,0.454306,0.813334
377,0.931615,0.454306,0.813334
378,0.931615,0.454306,0.813334
379,0.929723,0.477431,0.797775
380,0.930863,0.511634,0.777648
381,0.930863,0.511634,0.777648
382,0.929823,0.506665,0.779654
383,0.92927,0.526324,0.76585
384,0.92927,0.526324,0.76585
385,0.928637,0.605832,0.703799
386,0.928637,0.605832,0.703799
387,0.928637,0.605832,0.703799
388,0.932362,0.671921,0.646391
389,0.933423,0.579758,0.731545
390,0.927303,0.534308,0.757895
391,0.93326,0.473898,0.803987
392,0.93326,0.473898,0.803987
393,0.93326,0.473898,0.803987
394,0.933953,0.456905,0.814559
395,0.933144,0.54341,0.758593
396,0.933144,0.54341,0.758593
397,0.933926,0.510536,0.78203
398,0.933926,0.510536,0.78203
399,0.934698,0.50286,0.787903
400,0.934712,0.50602,0.785894
401,0.937426,0.497316,0.794635
402,0.937426,0.497316,0.794635
403,0.932657,0.467468,0.807045
404,0.931139,0.426244,0.82785
405,0.930748,0.391079,0.8446
406,0.930748,0.391079,0.8446
407,0.934483,0.397732,0.845617
408,0.932354,0.312496,0.878425
409,0.936413,0.443447,0.824757
410,0.936413,0.443447,0.824757
411,0.932452,0.398643,0.842942
412,0.932452,0.398643,0.842942
413,0.932452,0.398643,0.842942
414,0.932811,0.404005,0.840783
415,0.932384,0.312842,0.878333
416,0.932384,0.312842,0.878333
417,0.932404,0.349227,0.864533
418,0.933744,0.27279,0.893008
419,0.933744,0.27279,0.893008
420,0.929919,0.425341,0.826943
421,0.929919,0.425341,0.826943
422,0.936019,0.376162,0.857108
423,0.933499,0.44598,0.820074
424,0.933499,0.44598,0.820074
425,0.932963,0.526519,0.770193
426,0.929549,0.482187,0.794705
427,0.931921,0.470575,0.804386
428,0.928545,0.491293,0.787926
429,0.931993,0.486925,0.794679
430,0.931993,0.486925,0.794679
431,0.931993,0.486925,0.794679
432,0.92585,0.359353,0.853267
