MDTU,|Tr(L)|,ReTr(L),ImTr(L)
660,3.44212,-0.713938,3.36726
661,3.44212,-0.713938,3.36726
662,3.40092,-0.451412,3.37083
663,3.46957,-0.420437,3.444
664,3.46957,-0.420437,3.444
665,3.36124,-0.148638,3.35796
666,3.36124,-0.148638,3.35796
667,3.45721,-0.163993,3.45332
668,3.45721,-0.163993,3.45332
669,3.47838,-0.287599,3.46647
670,3.47838,-0.287599,3.46647
671,3.47838,-0.287599,3.46647
672,3.47838,-0.287599,3.46647
673,3.43073,-0.164204,3.4268
674,3.44821,-0.154156,3.44476
675,3.46131,-0.211241,3.45486
676,3.4826,0.505936,3.44565
677,3.4826,0.505936,3.44565
678,3.4826,0.505936,3.44565
679,3.43325,0.415957,3.40795
680,3.43325,0.415957,3.40795
681,3.31279,0.277931,3.30111
682,3.31279,0.277931,3.30111
683,3.31279,0.277931,3.30111
684,3.31279,0.277931,3.30111
685,3.41136,0.483889,3.37687
686,3.29993,0.578462,3.24884
687,3.27596,0.678601,3.20491
688,3.26696,0.483686,3.23095
689,3.1716,-0.0991238,3.17005
690,3.16921,-0.157899,3.16527
691,3.21836,0.0280668,3.21824
692,3.31504,-0.0494511,3.31468
693,3.40736,-0.192907,3.40189
694,3.35614,-0.398716,3.33237
695,3.36191,-0.137526,3.3591
696,3.36191,-0.137526,3.3591
697,3.31034,-0.192689,3.30473
698,3.35202,-0.325289,3.3362
699,3.35202,-0.325289,3.3362
700,3.32758,0.0298394,3.32744
701,3.32758,0.0298394,3.32744
702,3.50142,-0.198283,3.4958
703,3.64234,-0.115718,3.64051
704,3.56456,-0.416033,3.5402
705,3.43473,-0.329223,3.41891
706,3.35701,0.0272213,3.3569
707,3.30517,0.256809,3.29517
708,3.2103,0.539256,3.16469
709,3.28823,0.671518,3.21893
710,3.27071,0.855854,3.15675
711,3.33632,0.990038,3.18604
712,3.33632,0.990038,3.18604
713,3.33632,0.990038,3.18604
714,3.33632,0.990038,3.18604
715,3.39308,0.83525,3.28867
716,3.39308,0.83525,3.28867
717,3.36859,0.51011,3.32974
718,3.4311,0.68707,3.3616
719,3.31017,0.707974,3.23357
720,3.39352,1.08653,3.21487
721,3.40861,1.51283,3.0545
722,3.35783,1.42368,3.04108
723,3.35783,1.42368,3.04108
724,3.39401,1.47916,3.05473
725,3.30941,1.35139,3.02091
726,3.30941,1.35139,3.02091
727,3.34148,1.11355,3.15048
728,3.36636,1.06646,3.19297
729,3.39627,1.18011,3.18465
730,3.39627,1.18011,3.18465
731,3.39627,1.18011,3.18465
732,3.48977,1.13558,3.29984
733,3.48977,1.13558,3.29984
734,3.34387,0.944897,3.20759
735,3.38135,0.746596,3.2979
736,3.35265,0.558436,3.30582
737,3.34757,0.735584,3.26575
738,3.38311,0.839587,3.27728
739,3.38311,0.839587,3.27728
740,3.46714,0.597624,3.41524
741,3.50884,0.914457,3.38758
742,3.50884,0.914457,3.38758
743,3.56848,1.25846,3.33921
744,3.56848,1.25846,3.33921
745,3.55662,0.95486,3.42605
746,3.62462,0.875448,3.51731
747,3.59657,1.0277,3.44662
748,3.69237,1.22895,3.48185
749,3.57492,1.05505,3.41568
750,3.59451,0.895578,3.48115
751,3.59451,0.895578,3.48115
752,3.63677,0.203387,3.63108
753,3.61589,0.280727,3.60497
754,3.60484,0.972873,3.47108
755,3.50608,0.775882,3.41916
756,3.53503,0.290393,3.52309
757,3.53503,0.290393,3.52309
758,3.54495,0.10655,3.54335
759,3.54495,0.10655,3.54335
760,3.54495,0.10655,3.54335
