MDTU,S_F
736,1.00606
737,1.00051
738,0.996828
739,1.00274
740,0.998648
741,0.99999
742,1.00189
743,1.00109
744,1.00212
745,1.00334
746,0.997013
747,0.996433
748,0.996794
749,1.00365
750,1.00584
751,1.00143
752,1.00309
753,1.0027
754,1.00174
755,1.0024
756,0.99999
757,1.00041
758,0.997515
759,1.00452
760,1.00047
761,1.0058
762,1.00304
763,0.997893
764,0.996233
765,0.996709
766,1.00083
767,0.997332
768,1.00647
769,1.00441
770,0.996862
771,0.998468
772,1.00264
773,1.00048
774,0.995628
775,0.999419
776,0.994706
777,1.00001
778,1.0007
779,0.998554
780,1.00628
781,1.00171
782,0.995342
783,0.996941
784,0.999812
785,1.00599
786,0.998122
787,1.00144
788,1.00105
789,1.00063
790,0.994612
791,1.00095
792,1.00159
793,1.00003
794,0.99746
795,0.994699
796,0.996761
797,1.00114
798,1.00412
799,0.997301
800,0.998637
801,1.00175
802,0.999497
803,1.00409
804,0.997511
805,1.00265
806,1.00812
807,1.00069
808,1.00182
809,1.00534
810,1.00413
811,0.995691
812,1.00046
813,1.00439
814,0.994307
815,0.992508
816,1.00292
817,1.00144
818,0.998069
819,1.00201
820,1.004
821,0.999375
822,0.996976
823,0.999958
824,0.999527
825,0.994574
826,0.996506
827,1.00213
828,0.996642
829,1.00326
830,0.997514
831,1.0037
832,1.00128
833,1.00003
834,1.00045
835,0.998436
836,1.00269
837,1.00451
838,1.00698
839,0.998217
840,1.00373
841,0.998918
842,1.00626
843,1.00425
844,1.00193
845,1.00705
846,1.00178
847,1.00974
848,1.00257
849,0.996801
850,0.999131
851,1.00434
852,0.999686
853,1.00417
854,1.00265
855,0.998552
856,0.994226
857,0.999446
858,1.00345
859,1.00431
860,1.00283
861,1.00456
862,1.00561
863,0.997887
864,1.00081
865,0.998428
866,0.995364
867,1.00214
868,0.998488
869,0.994689
870,0.996201
871,0.996429
872,1.00097
873,0.993113
874,1.0022
875,1.00589
876,1.00198
877,1.00191
878,1.00964
879,1.00219
880,0.996842
881,0.999911
882,1.00082
883,1.00154
884,0.999769
885,0.99983
886,1.00283
887,1.00473
888,0.997854
889,1.00337
890,0.998335
891,1.00472
892,0.997485
893,0.999274
894,1.00097
895,1.0015
896,0.996642
897,1.00178
