MDTU,|det-1|^2,1-Re(det),Im(det)
354,1,1,-2.80244e-24
355,1,1,-2.80244e-24
356,1,1,-2.80244e-24
357,1,1,-2.80244e-24
358,1,1,-1.21953e-25
359,1,1,-7.25608e-24
360,1,1,-7.25608e-24
361,1,1,-7.2166e-24
362,1,1,-7.2166e-24
363,1,1,-7.2166e-24
364,1,1,-1.25751e-23
365,1,1,-1.25751e-23
366,1,1,1.40761e-24
367,1,1,1.40761e-24
368,1,1,4.75431e-24
369,1,1,4.75431e-24
370,1,1,4.75431e-24
371,1,1,3.0854e-24
372,1,1,-9.73916e-24
373,1,1,1.38588e-23
374,1,1,1.38588e-23
375,1,1,-1.11139e-24
376,1,1,-3.43133e-25
377,1,1,-3.43133e-25
378,1,1,-3.43133e-25
379,1,1,2.69399e-24
380,1,1,-6.80999e-24
381,1,1,-6.80999e-24
382,1,1,1.59291e-23
383,1,1,-4.0576e-24
384,1,1,-4.0576e-24
385,1,1,4.43722e-25
386,1,1,4.43722e-25
387,1,1,4.43722e-25
388,1,1,1.84475e-23
389,1,1,1.70074e-23
390,1,1,3.69209e-24
391,1,1,8.97577e-24
392,1,1,8.97577e-24
393,1,1,8.97577e-24
394,1,1,2.35635e-24
395,1,1,6.1059e-27
396,1,1,6.1059e-27
397,1,1,-5.44636e-25
398,1,1,-5.44636e-25
399,1,1,1.93237e-23
400,1,1,3.21845e-24
401,1,1,-2.26937e-24
402,1,1,-2.26937e-24
403,1,1,-3.47749e-24
404,1,1,2.84753e-24
405,1,1,7.83923e-25
406,1,1,7.83923e-25
407,1,1,1.83859e-23
408,1,1,5.03605e-24
409,1,1,1.39936e-23
410,1,1,1.39936e-23
411,1,1,5.77022e-24
412,1,1,5.77022e-24
413,1,1,5.77022e-24
414,1,1,2.3256e-23
415,1,1,-3.95516e-26
416,1,1,-3.95516e-26
417,1,1,6.81685e-25
418,1,1,3.1202e-24
419,1,1,3.1202e-24
420,1,1,-1.59425e-25
421,1,1,-1.59427e-25
422,1,1,-5.47866e-24
423,1,1,-1.40951e-24
424,1,1,-1.40951e-24
425,1,1,-3.92738e-24
426,1,1,-7.51093e-25
427,1,1,-2.485e-24
428,1,1,9.651e-24
429,1,1,2.20453e-23
430,1,1,2.20453e-23
431,1,1,2.20453e-23
432,1,1,-1.32017e-24
433,1,1,1.26275e-24
434,1,1,-1.20771e-23
435,1,1,-1.60359e-23
436,1,1,-9.53149e-25
437,1,1,1.11849e-23
438,1,1,-8.60383e-25
439,1,1,-3.75508e-25
440,1,1,-3.75508e-25
441,1,1,9.19646e-24
442,1,1,5.81684e-24
443,1,1,-6.88142e-24
444,1,1,3.33346e-24
445,1,1,3.33346e-24
446,1,1,-8.47236e-24
447,1,1,-8.47236e-24
448,1,1,-8.47236e-24
449,1,1,5.20251e-24
450,1,1,5.20251e-24
451,1,1,4.68568e-25
452,1,1,4.68568e-25
453,1,1,5.87175e-24
454,1,1,-1.06601e-24
455,1,1,-1.41264e-23
456,1,1,-3.24116e-24
457,1,1,-1.11392e-23
458,1,1,4.47693e-24
459,1,1,1.24599e-23
460,1,1,1.9814e-24
461,1,1,8.42117e-24
462,1,1,-7.1132e-24
463,1,1,5.09246e-24
464,1,1,-1.37432e-24
465,1,1,3.74587e-24
466,1,1,-7.70492e-24
467,1,1,-3.0765e-23
468,1,1,5.14623e-24
469,1,1,-2.19016e-24
470,1,1,-2.19016e-24
471,1,1,-2.72668e-25
472,1,1,-2.76817e-24
473,1,1,4.2936e-24
474,1,1,6.24153e-24
475,1,1,9.11546e-24
476,1,1,6.84795e-24
477,1,1,-1.67905e-24
478,1,1,-6.34826e-24
479,1,1,-4.47822e-24
480,1,1,9.56015e-24
481,1,1,9.34624e-24
482,1,1,7.30529e-24
483,1,1,-3.87434e-24
484,1,1,-3.87434e-24
485,1,1,-3.87434e-24
486,1,1,-3.87434e-24
487,1,1,2.69156e-23
488,1,1,2.69156e-23
489,1,1,2.69156e-23
490,1,1,4.8682e-23
491,1,1,1.91796e-24
492,1,1,1.91796e-24
493,1,1,1.91796e-24
494,1,1,1.77659e-24
495,1,1,-3.34569e-24
496,1,1,-1.29084e-24
497,1,1,1.39644e-23
498,1,1,1.09897e-23
499,1,1,-1.63643e-24
500,1,1,-9.80431e-24
501,1,1,-9.80431e-24
502,1,1,4.89507e-24
503,1,1,4.89507e-24
504,1,1,4.20841e-24
505,1,1,-2.26889e-24
506,1,1,5.59387e-24
507,1,1,5.59387e-24
508,1,1,5.59387e-24
509,1,1,5.59387e-24
510,1,1,2.39339e-24
511,1,1,2.39339e-24
512,1,1,1.84811e-24
513,1,1,-4.44589e-24
514,1,1,-4.44589e-24
515,1,1,-4.44589e-24
516,1,1,-2.22527e-25
517,1,1,-2.74977e-24
518,1,1,-6.42923e-24
519,1,1,9.37876e-24
520,1,1,9.37876e-24
521,1,1,-9.75287e-24
522,1,1,-5.292e-24
523,1,1,-1.03843e-25
524,1,1,-1.03843e-25
525,1,1,-1.03843e-25
526,1,1,-1.09599e-24
527,1,1,1.57141e-23
528,1,1,4.98862e-24
529,1,1,4.98862e-24
530,1,1,4.98862e-24
531,1,1,-1.27817e-24
532,1,1,8.61412e-24
533,1,1,8.61412e-24
534,1,1,3.38549e-24
535,1,1,1.1515e-24
536,1,1,1.1515e-24
537,1,1,-3.32461e-24
538,1,1,-3.32517e-24
539,1,1,-3.32517e-24
540,1,1,2.90398e-24
541,1,1,3.36048e-24
542,1,1,1.72193e-23
543,1,1,2.74137e-24
544,1,1,2.74137e-24
545,1,1,4.29722e-24
546,1,1,-4.82364e-24
547,1,1,1.04949e-23
548,1,1,1.51708e-23
549,1,1,9.76933e-24
550,1,1,-1.49991e-23
551,1,1,-3.8171e-24
552,1,1,-3.8171e-24
553,1,1,-3.8171e-24
554,1,1,-5.16412e-24
555,1,1,-5.16412e-24
556,1,1,-5.16412e-24
557,1,1,-5.17435e-24
558,1,1,-7.18681e-24
559,1,1,-7.18681e-24
560,1,1,2.73246e-23
561,1,1,4.88683e-25
562,1,1,4.94056e-24
563,1,1,-8.41712e-24
564,1,1,-8.8439e-24
565,1,1,-8.8439e-24
566,1,1,5.33757e-24
567,1,1,3.11168e-24
568,1,1,-1.5222e-23
569,1,1,-1.5222e-23
570,1,1,-1.19578e-23
571,1,1,1.3105e-23
572,1,1,-1.83838e-23
573,1,1,1.74719e-23
574,1,1,1.74719e-23
575,1,1,-2.29375e-24
576,1,1,1.33024e-23
577,1,1,-2.40905e-23
578,1,1,-3.87791e-24
579,1,1,-1.44423e-23
580,1,1,-1.99508e-24
581,1,1,-7.67513e-24
582,1,1,-2.61991e-25
583,1,1,-1.62221e-24
584,1,1,2.77643e-24
585,1,1,2.77643e-24
586,1,1,2.77643e-24
587,1,1,2.77643e-24
588,1,1,4.60539e-24
589,1,1,-7.11596e-24
590,1,1,-1.02081e-24
591,1,1,-1.91374e-25
592,1,1,3.40317e-23
593,1,1,-1.20437e-23
594,1,1,9.46753e-25
595,1,1,9.46753e-25
596,1,1,7.62226e-24
597,1,1,2.06332e-24
598,1,1,8.51345e-24
599,1,1,8.51345e-24
600,1,1,1.12943e-24
601,1,1,1.12943e-24
602,1,1,1.12943e-24
603,1,1,6.66421e-24
604,1,1,8.4356e-24
605,1,1,3.57999e-23
606,1,1,5.28124e-24
607,1,1,-4.41052e-23
608,1,1,-1.44855e-23
609,1,1,-1.44855e-23
610,1,1,-1.44855e-23
611,1,1,7.31237e-24
612,1,1,6.89316e-24
613,1,1,2.27086e-24
614,1,1,-4.23739e-23
615,1,1,5.62063e-24
616,1,1,-5.08666e-24
617,1,1,8.47716e-24
618,1,1,-1.33589e-25
619,1,1,1.24665e-24
620,1,1,-1.42053e-24
621,1,1,-1.42053e-24
622,1,1,-1.42053e-24
623,1,1,6.03457e-24
624,1,1,6.03457e-24
625,1,1,1.13772e-23
626,1,1,6.1142e-24
627,1,1,6.1142e-24
628,1,1,6.1142e-24
629,1,1,2.69264e-23
630,1,1,-8.03859e-25
631,1,1,-2.52655e-24
632,1,1,-3.25809e-24
633,1,1,-3.01505e-24
634,1,1,2.71928e-24
635,1,1,-6.59439e-25
636,1,1,3.13965e-24
637,1,1,3.13965e-24
638,1,1,3.13965e-24
639,1,1,-6.57577e-24
640,1,1,-8.8661e-25
641,1,1,-8.02424e-24
642,1,1,-2.88491e-24
643,1,1,-6.28333e-25
644,1,1,-6.28333e-25
645,1,1,-6.86501e-24
646,1,1,-5.61359e-24
647,1,1,7.03275e-24
648,1,1,-5.0697e-24
649,1,1,-5.0697e-24
650,1,1,-1.49708e-24
651,1,1,3.19152e-24
652,1,1,3.19152e-24
