MDTU,min_min,min_max,max_min,max_max5
174,-0.158999,0.000977519,0.000402875,0.119913
175,-0.156138,0.0142443,-0.0103823,0.127914
176,-0.133633,-0.000386433,-0.0124054,0.109912
177,-0.156478,-0.00278321,-0.0142805,0.119835
178,-0.169641,0.00786272,-0.0132427,0.119448
179,-0.155811,0.00328871,-0.0161823,0.120208
180,-0.155811,0.00328871,-0.0161823,0.120208
181,-0.168802,0.0149894,-0.0191858,0.133142
182,-0.144027,-0.00179562,-0.00528686,0.116337
183,-0.14719,0.00301219,-0.00184319,0.117746
184,-0.131926,0.000587933,0.00908143,0.119421
185,-0.131926,0.000587933,0.00908143,0.119421
186,-0.125056,0.00728505,0.0132055,0.115
187,-0.116418,-0.00415218,0.0107431,0.114329
188,-0.129044,-0.00177292,0.0010168,0.126692
189,-0.133529,-0.00853023,0.00472418,0.105106
190,-0.160932,0.00581931,-0.00500455,0.123489
191,-0.160932,0.00581931,-0.00500455,0.123489
192,-0.175043,0.00779554,0.000438247,0.111539
193,-0.145542,0.00467541,-0.008283,0.119688
194,-0.160142,0.00460657,-0.015922,0.123442
195,-0.163612,0.0132279,-0.014771,0.133116
196,-0.139452,0.0140186,-0.00944361,0.127036
197,-0.137504,0.00840343,-0.000377787,0.124529
198,-0.149414,0.0202086,-0.00853344,0.138422
199,-0.180837,0.0254897,-0.0135352,0.131859
200,-0.133822,0.00362123,-0.00225941,0.136524
201,-0.153244,0.0084429,-0.00720753,0.121774
202,-0.159871,0.00747519,-0.0107142,0.122944
203,-0.159871,0.00747519,-0.0107142,0.122944
204,-0.164914,0.00360694,-0.00488202,0.121214
205,-0.164914,0.00360694,-0.00488202,0.121214
206,-0.164116,0.0169864,-0.0130631,0.125944
207,-0.164116,0.0169864,-0.0130631,0.125944
208,-0.156032,0.00767092,-0.0122903,0.123401
209,-0.153316,0.009818,-0.00737383,0.12757
210,-0.181182,0.0207849,-0.0158683,0.138331
211,-0.161901,0.00154252,-0.00499936,0.119942
212,-0.160765,0.0133031,-0.0116453,0.127374
213,-0.143312,0.00710009,-0.00519319,0.122314
214,-0.143312,0.00710009,-0.00519319,0.122314
215,-0.143312,0.00710009,-0.00519319,0.122314
216,-0.148288,0.000811739,-0.00110885,0.119194
217,-0.159314,-0.0044385,-0.0115738,0.113945
218,-0.15176,0.00614659,-0.00848861,0.13336
219,-0.143664,0.0157437,-0.00062522,0.132246
220,-0.143664,0.0157437,-0.00062522,0.132246
221,-0.14016,0.0134164,-0.00643894,0.126749
222,-0.137272,0.0222647,0.00160152,0.136604
223,-0.137272,0.0222647,0.00160152,0.136604
224,-0.137272,0.0222647,0.00160152,0.136604
225,-0.126416,0.0260109,0.00501638,0.129271
226,-0.126416,0.0260109,0.00501638,0.129271
227,-0.133994,0.0236079,-0.00222461,0.143907
228,-0.131093,0.0323151,0.00717536,0.148748
229,-0.125682,0.0227876,0.0127073,0.141727
230,-0.135563,0.0188134,0.0156009,0.138782
231,-0.123188,0.0125063,-0.00190164,0.139058
232,-0.123188,0.0125063,-0.00190164,0.139058
233,-0.141454,0.0106044,-0.00440544,0.1326
234,-0.143764,0.0115848,-0.00607443,0.121309
235,-0.151245,0.00550377,0.00490801,0.120301
236,-0.171728,0.0205561,-0.00458133,0.121303
237,-0.147095,0.00892488,-0.0112518,0.116036
238,-0.129889,0.00329379,0.00434788,0.121303
239,-0.138581,0.0130141,0.00659096,0.135502
240,-0.12393,-0.00495885,0.0181891,0.119542
241,-0.134113,0.0142053,0.00629985,0.127963
242,-0.134113,0.0142053,0.00629985,0.127963
243,-0.141939,0.0091668,-0.00883785,0.124336
244,-0.141102,0.00746064,-0.00452952,0.122723
245,-0.150835,0.0177895,-0.00979905,0.136588
246,-0.150835,0.0177895,-0.00979905,0.136588
247,-0.150835,0.0177895,-0.00979905,0.136588
