MDTU,plaq
237,0.988227
238,1.01433
239,1.03417
240,1.03413
241,1.02898
242,1.02898
243,0.996309
244,1.00382
245,1.01641
246,1.01641
247,1.01641
248,0.993937
249,1.0038
250,0.969987
251,0.968354
252,0.978493
253,0.992049
254,0.992049
255,1.01132
256,1.03315
257,1.03315
258,1.03299
259,1.03299
260,1.01268
261,1.00373
262,0.996464
263,1.0005
264,0.98658
265,0.98658
266,0.98658
267,0.98658
268,0.989316
269,0.994373
270,0.994373
271,0.994373
272,0.990726
273,0.979532
274,0.984098
275,0.972744
276,0.972744
277,0.958621
278,0.954817
279,0.953189
280,0.947907
281,0.954804
282,0.951526
283,0.944037
284,0.932129
285,0.932129
286,0.940573
287,0.943338
288,0.957387
289,0.980495
290,0.992895
291,0.984943
292,0.996839
293,0.995226
294,0.992214
295,1.01725
296,1.023
297,1.023
298,1.02516
299,1.02401
300,1.02332
301,1.02512
302,1.00912
303,1.00912
304,1.0137
305,1.0137
306,1.00544
307,1.01529
308,1.00858
309,1.00432
310,0.998532
311,0.984461
312,0.984461
313,0.978258
314,0.984696
315,0.984696
316,0.989932
317,0.988851
318,0.987207
319,0.987207
320,0.991583
321,1.02035
322,1.01488
323,1.01488
324,1.02018
325,1.01298
326,1.02613
327,1.02613
328,1.02613
329,1.02755
330,1.02809
331,0.995785
332,0.972276
333,0.971957
334,0.95224
335,0.948999
336,0.949045
337,0.94007
338,0.929373
339,0.937035
340,0.935574
341,0.926532
342,0.939232
343,0.939232
344,0.939232
345,0.92534
346,0.951011
347,0.951011
348,0.951011
349,0.983288
350,0.983288
351,0.992081
352,1.01504
353,1.01504
354,0.979909
355,0.974347
356,0.974347
357,0.946788
358,0.966257
359,0.981706
360,0.972637
361,0.977578
362,0.974059
363,0.974059
364,0.984087
365,0.99262
366,1.01567
367,1.01438
368,1.02494
369,1.00499
370,1.04241
371,1.0251
372,1.01925
373,0.989955
374,0.989955
375,0.991561
376,1.00898
377,1.00311
378,0.984785
379,0.970476
380,0.962954
381,0.974147
382,0.959432
383,0.962879
384,0.974223
385,0.965954
386,0.982802
387,1.00245
388,1.00245
389,1.00172
390,1.01575
391,1.00324
392,1.01135
393,0.995641
394,0.995641
395,1.00152
396,0.996686
397,0.981959
398,1.00104
399,1.00104
400,0.994375
401,1.00713
402,1.02226
403,1.04071
404,1.0441
405,1.02356
406,1.02926
407,1.01065
408,1.01834
409,1.02043
410,1.02043
411,1.01453
412,1.01453
413,0.994913
414,1.00081
415,1.00081
416,1.00081
417,0.980873
418,0.990585
419,0.97867
420,1.00586
421,0.990997
422,1.00912
423,1.0023
424,1.00459
425,0.999747
426,0.984061
427,0.991596
428,1.00179
429,0.995723
430,0.976453
431,0.985187
432,0.982493
433,0.982493
434,0.988712
435,0.996291
436,0.973545
437,0.970826
438,0.970826
439,0.974245
440,0.99281
441,1.00877
442,1.01061
443,1.00698
444,0.996586
445,1.00086
446,0.975187
447,0.986059
448,1.01838
449,1.00263
450,1.0079
451,0.987024
452,1.00086
453,0.98876
454,0.977814
455,0.977814
456,0.973557
457,0.992743
458,0.987017
459,0.987017
460,0.99445
461,1.00128
462,0.980157
463,0.978185
464,0.980742
465,0.980742
466,0.96201
467,0.957888
468,0.968168
469,0.968168
470,0.968168
471,0.968168
472,0.943224
473,0.961522
474,0.951714
475,0.97345
476,0.97345
477,0.980002
478,0.979037
479,0.968594
480,0.982527
481,0.972386
482,0.972386
483,0.9925
484,1.01022
485,1.01062
486,0.993551
487,0.993551
488,0.993118
489,0.992736
490,0.992736
491,1.00962
492,0.971504
493,0.984734
494,0.982059
495,0.970691
496,0.964209
497,0.933974
498,0.950087
499,0.960154
500,0.947985
501,0.947985
502,0.947985
503,0.947985
504,0.951019
505,0.948387
506,0.939045
507,0.974098
