MDTU,susyTrans,Im(bilin)
2460,-0.0142441,-6.60752e-06
2470,0.0010683,-1.32171e-06
2480,-0.00336256,4.15697e-06
2490,-0.0126961,-2.97342e-06
2500,-0.0117439,-2.85968e-06
2510,0.0117867,6.45813e-06
2520,0.0148701,-3.78671e-06
2530,-0.0205461,-9.31402e-06
2540,-0.0134711,1.55204e-06
2550,0.00261041,4.95928e-06
2560,0.00109263,5.32225e-06
2570,-0.00838664,5.99273e-06
2580,0.0176537,-4.40643e-07
2590,-0.0356312,-4.93671e-06
2600,-0.0106076,1.18675e-06
2610,0.00113949,5.60584e-06
2620,0.0051663,-2.44284e-06
2630,-0.0272399,7.77901e-06
2640,0.00278323,-5.6557e-07
2650,-0.020171,7.93038e-07
2660,-0.000693336,-6.36731e-06
2670,0.00513727,-2.88065e-06
2680,0.0122177,-8.47413e-06
2690,0.0328434,-6.59272e-07
2700,-0.00480602,-4.77116e-07
2710,-0.00255503,-5.36362e-07
2720,0.0142816,5.43078e-06
2730,-0.00903077,3.7254e-08
2740,0.00140523,-1.16749e-05
2750,-0.0195546,5.22829e-06
2760,0.00337089,-4.14523e-06
2770,0.0143586,3.41881e-06
2780,-0.00111167,6.39172e-07
2790,-0.0373352,7.28363e-06
2800,0.0109922,4.76738e-06
2810,0.0101122,-5.32639e-06
2820,0.00956358,-4.64874e-08
2830,-0.00431187,7.50504e-06
2840,-0.00132863,-3.16488e-06
2850,0.00230205,3.20611e-07
2860,-0.0112913,-4.97798e-06
2870,-0.00853189,-2.17958e-06
2880,-0.0134087,-3.72524e-06
2890,0.00632442,8.93978e-07
2900,-0.0022304,-8.61681e-07
2910,0.00392752,6.47447e-06
2920,-0.00640369,-2.5268e-06
2930,-0.00470541,4.34699e-06
2940,-0.00925762,-3.16296e-06
2950,0.0236492,-6.41856e-06
2960,0.00521288,-1.65579e-06
2970,-0.033626,-5.88155e-06
2980,-0.00718559,-6.39386e-06
2990,-0.0169144,5.24302e-06
3000,0.0284659,-1.93045e-06
3010,-0.0103731,-6.50347e-06
3020,-0.0110692,8.54579e-06
3030,-0.00179494,-3.24212e-07
3040,0.0234222,6.50375e-06
3050,-0.00185046,8.90985e-06
3060,0.0115121,-2.67137e-06
3070,0.00875504,-6.37095e-06
3080,-0.0031608,-7.14159e-07
3090,0.0198629,-3.01031e-06
3100,-0.00713087,-4.20731e-06
3110,0.000517396,-1.26367e-07
3120,-0.0137465,2.99222e-06
3130,0.00556724,-4.84871e-06
3140,-0.0419513,-3.2859e-06
3150,0.0179878,4.20814e-06
3160,0.0180998,-5.8593e-06
3170,-0.026156,8.27726e-07
3180,0.00870765,-4.91468e-06
3190,-0.0022119,8.92328e-06
3200,0.00883051,8.88466e-07
3210,0.0126737,-1.90294e-06
3220,0.0056101,-2.83492e-06
3230,-0.00633704,-1.28664e-05
3240,-0.00645182,-1.24058e-05
3250,-0.00885853,9.78687e-07
3260,0.0229448,6.30989e-07
3270,0.0223108,6.72956e-06
3280,0.00281025,5.80661e-07
3290,0.00243236,-1.90397e-06
3300,-0.0158398,1.36994e-07
3310,0.0277017,3.66583e-07
3320,0.0226754,2.98928e-06
3330,0.0311442,-3.43774e-06
3340,0.00339945,4.88518e-07
3350,-0.0149132,-5.73806e-06
3360,0.0118686,9.55209e-06
3370,-0.014033,6.84068e-06
