MDTU,0,2,4,6,8,10
1290,0.0227573,0.0229017,0.0245389,0.0247439,0.0251579,0.0252876
1300,0.0221761,0.0221927,0.0240997,0.0242246,0.0246768,0.0247394
1310,0.026067,0.0261656,0.0272613,0.027281,0.0276504,0.027752
1320,0.0265247,0.0267231,0.0274964,0.027581,0.0282282,0.0285554
1330,0.0233071,0.0234628,0.0244612,0.0244956,0.0258473,0.0261438
1340,0.0251893,0.0252668,0.0263419,0.0263942,0.0275919,0.0280521
1350,0.0227044,0.0229935,0.0246621,0.0247465,0.0257997,0.0258596
1360,0.024485,0.024696,0.0264386,0.0265061,0.0272261,0.027437
1370,0.0221329,0.0222569,0.0239414,0.0242146,0.024291,0.024422
1380,0.0247089,0.0248816,0.0256499,0.025729,0.0258956,0.0259861
1390,0.0246134,0.0247769,0.0266263,0.0267166,0.0270635,0.0271751
1400,0.0261473,0.026346,0.0270875,0.0272265,0.0273308,0.0273428
1410,0.023496,0.0236614,0.0254983,0.0258147,0.0263514,0.0264838
1420,0.0270498,0.0270783,0.0279543,0.0279646,0.0285283,0.0287608
1430,0.0237947,0.0241172,0.0254153,0.02564,0.0257172,0.0264185
1440,0.0235086,0.0240134,0.0247588,0.0248979,0.0252602,0.0254381
1450,0.0249846,0.0250408,0.0264445,0.0264851,0.0278032,0.0279744
1460,0.0251473,0.0253049,0.0265805,0.0266287,0.0273064,0.027555
1470,0.0246046,0.0248584,0.025129,0.0252197,0.0273483,0.0275167
1480,0.0248543,0.0248661,0.0265231,0.0267283,0.0275366,0.0278931
1490,0.02484,0.0251089,0.0257476,0.0261571,0.0262016,0.0264166
1500,0.0244824,0.0246236,0.0257826,0.0262275,0.0268492,0.0268846
1510,0.0260379,0.0263459,0.0272045,0.0273703,0.02794,0.0280456
1520,0.0265964,0.0266646,0.0276818,0.0278585,0.0283427,0.0284528
1530,0.0237698,0.0240149,0.0251507,0.0252364,0.0261093,0.0263402
1540,0.0221831,0.0221938,0.0237794,0.023883,0.0246554,0.0246707
1550,0.0274842,0.0278316,0.0288722,0.0290979,0.0295567,0.0296753
1560,0.0230051,0.0230582,0.0240013,0.0242534,0.0254131,0.0255419
1570,0.0223381,0.0224578,0.023255,0.0235486,0.0240643,0.0241353
1580,0.0222671,0.0225718,0.0241672,0.0244362,0.0244578,0.0248819
1590,0.020293,0.0204202,0.0241276,0.024157,0.024573,0.0246019
1600,0.027088,0.0272711,0.0283332,0.0284696,0.0286527,0.0289966
1610,0.0253483,0.0254987,0.0259486,0.0260599,0.0265368,0.0266047
1620,0.0254654,0.0255666,0.0277318,0.0277791,0.0280522,0.0280734
1630,0.0226182,0.02277,0.0237673,0.0238411,0.0251095,0.0254558
1640,0.0241469,0.0242679,0.02541,0.0254501,0.026467,0.0266658
1650,0.0237502,0.0237755,0.0248252,0.0249443,0.0257573,0.0258817
