t,e^(-dS)
934,0.617053
935,3.01018
936,0.752089
937,0.697955
938,1.40818
939,1.23541
940,0.886034
941,0.845523
942,1.123
943,1.02129
944,1.66063
945,0.55744
946,1.20744
947,1.0068
948,0.930559
949,0.940842
950,1.09051
951,1.64181
952,1.1897
953,0.798756
954,1.90732
955,0.301496
956,0.867448
957,0.758661
958,0.674084
959,1.16813
960,0.902217
961,0.859934
962,0.901586
963,2.82074
964,1.2586
965,0.635909
966,1.29849
967,0.774994
968,1.27418
969,1.01986
970,0.92235
971,1.43893
972,0.547332
973,0.823658
974,0.593451
975,0.634258
976,1.39962
977,1.73395
978,0.630337
979,0.700122
980,2.34926
981,0.494306
982,1.79373
983,0.893061
984,1.09083
985,1.34703
986,1.49212
987,0.456941
988,0.862862
989,0.927966
990,1.06712
991,1.2586
992,1.06051
993,1.37837
994,1.70029
995,0.536011
996,1.0274
997,0.858559
998,0.623317
999,1.03085
1000,2.83488
1001,1.70421
1002,0.644939
1003,0.780438
1004,0.493319
1005,0.562142
1006,1.29693
1007,1.02686
1008,0.705464
1009,1.2893
1010,0.712839
1011,0.570866
1012,0.907719
1013,1.22214
1014,0.608779
1015,0.895476
1016,0.784507
1017,0.859762
1018,0.674287
1019,0.793978
1020,0.780906
1021,0.47597
1022,1.3434
1023,0.738082
1024,2.00431
1025,0.759041
1026,1.5124
1027,2.77319
1028,1.17468
1029,2.01496
1030,0.973721
1031,0.623629
1032,1.42433
1033,0.837612
1034,1.44311
1035,0.866148
1036,1.13009
1037,0.7598
1038,0.784507
1039,1.35798
1040,1.74613
1041,0.993696
1042,0.787415
1043,1.24073
1044,0.841558
1045,0.588958
1046,0.837194
1047,1.03095
1048,0.826546
1049,1.12322
1050,0.517265
1051,0.738525
1052,1.03435
1053,0.452169
1054,1.18768
1055,1.12491
1056,1.33083
1057,0.621761
1058,1.14499
1059,0.638841
1060,1.09024
1061,0.695169
1062,0.660538
1063,0.844847
1064,0.685573
1065,0.83502
1066,1.69944
1067,1.2644
1068,0.792233
1069,0.733154
1070,0.681268
1071,0.722527
1072,1.64411
1073,1.48453
1074,1.13032
1075,0.888341
1076,1.48795
1077,1.15119
1078,1.46185
1079,1.59887
1080,1.04696
1081,1.22324
1082,0.710846
1083,0.913173
1084,0.649339
1085,0.763838
1086,0.777167
1087,0.617115
1088,1.30382
1089,1.0096
1090,0.812045
1091,0.547168
1092,0.575164
1093,1.63166
1094,0.91448
1095,0.677125
1096,0.945378
1097,1.33069
1098,0.845438
1099,0.749387
1100,0.956954
1101,0.930885
1102,1.11204
1103,0.678005
1104,0.790571
1105,0.628952
1106,1.33189
1107,0.856501
1108,1.16114
1109,0.936309
1110,1.16883
1111,0.646941
1112,1.13372
1113,0.521368
1114,1.18388
1115,0.781219
1116,1.02574
1117,1.07381
1118,1.21872
1119,0.952705
1120,1.75032
1121,1.36179
1122,0.425794
1123,0.968226
1124,1.23208
1125,1.22691
1126,1.24533
1127,0.760104
1128,0.884264
1129,1.05527
1130,0.821683
1131,0.474402
1132,1.75348
1133,0.583798
1134,1.03416
1135,0.475304
1136,1.30513
1137,0.903752
1138,0.341298
1139,0.966678
1140,0.907456
1141,0.90762
1142,0.638969
1143,0.859418
1144,0.484761
1145,0.81914
1146,1.14328
1147,1.62142
1148,1.03972
1149,0.59762
1150,1.50561
1151,1.98199
1152,1.53327
1153,1.18958
1154,1.06259
1155,1.355
1156,1.33349
1157,0.755859
1158,0.64882
1159,0.845692
1160,0.877306
