MDTU,min_ave,max_ave
616,-0.0705387,0.0453361
617,-0.0690904,0.0500095
618,-0.0675072,0.0469901
619,-0.0818695,0.04002
620,-0.0877911,0.0382213
621,-0.0877911,0.0382213
622,-0.0797776,0.0394667
623,-0.0751976,0.0377994
624,-0.0679684,0.0489528
625,-0.0675532,0.050989
626,-0.0671001,0.0479362
627,-0.0721323,0.0478654
628,-0.0635042,0.0555713
629,-0.0659717,0.0478929
630,-0.0724638,0.0467146
631,-0.0707851,0.0478631
632,-0.0707851,0.0478631
633,-0.0719166,0.0382251
634,-0.0744148,0.0475897
635,-0.0677838,0.0486603
636,-0.0542966,0.0587074
637,-0.0542966,0.0587074
638,-0.0542966,0.0587074
639,-0.0621097,0.0489953
640,-0.0583204,0.0537579
641,-0.0572766,0.0564899
642,-0.0615854,0.05713
643,-0.0629935,0.0537483
644,-0.0685806,0.0444506
645,-0.073835,0.0480908
646,-0.0669706,0.0512823
647,-0.062569,0.0517901
648,-0.0604806,0.0545927
649,-0.0585874,0.0555641
650,-0.0610794,0.060543
651,-0.0714414,0.047813
652,-0.0714414,0.047813
653,-0.0636832,0.0539902
654,-0.0755193,0.0481308
655,-0.0690278,0.0460687
656,-0.068925,0.0462267
657,-0.065694,0.0508946
658,-0.0719156,0.0492762
659,-0.0714081,0.046942
660,-0.0691182,0.0459804
661,-0.0652877,0.053897
662,-0.0773413,0.0467276
663,-0.0689519,0.0514089
664,-0.068831,0.0456644
665,-0.0769878,0.0464706
666,-0.073246,0.0470282
667,-0.0692027,0.0435901
668,-0.079627,0.0473818
669,-0.0713618,0.0458222
670,-0.0713618,0.0458222
671,-0.0735765,0.0358389
672,-0.0735765,0.0358389
673,-0.0724629,0.0379626
674,-0.0776025,0.0456209
675,-0.0891292,0.0370006
676,-0.0919685,0.0328812
677,-0.0741774,0.0460051
678,-0.0741774,0.0460051
679,-0.0801618,0.043159
680,-0.0788016,0.0474115
681,-0.0793756,0.0352564
682,-0.0793756,0.0352564
683,-0.0843399,0.0442686
684,-0.0810672,0.043975
685,-0.0778285,0.0447166
686,-0.086727,0.0349466
687,-0.0898484,0.0332868
688,-0.0801065,0.04005
689,-0.0898305,0.0367486
690,-0.0827481,0.0342294
691,-0.0805428,0.0413753
692,-0.0876089,0.0352403
693,-0.092291,0.0318629
694,-0.0782074,0.0438732
695,-0.0777982,0.0446942
696,-0.0734405,0.0411281
697,-0.0697843,0.0453017
698,-0.0618548,0.0480012
699,-0.0665253,0.0508118
700,-0.0679069,0.0466717
701,-0.0715806,0.0475455
702,-0.072073,0.0424805
703,-0.0687753,0.0486253
704,-0.0690462,0.0443956
705,-0.074842,0.0429136
706,-0.0779602,0.0413076
707,-0.0729853,0.0523793
708,-0.0664469,0.049433
709,-0.0657476,0.0514902
710,-0.0622863,0.0619813
711,-0.0539883,0.0642188
712,-0.0425731,0.0718489
713,-0.0480176,0.0650566
714,-0.0480176,0.0650566
715,-0.0480176,0.0650566
716,-0.0604805,0.0507172
717,-0.0618243,0.0466524
718,-0.0713808,0.0414186
719,-0.0785209,0.0461282
720,-0.0785209,0.0461282
721,-0.0720796,0.0448691
722,-0.0781686,0.0422078
723,-0.0760647,0.0410684
724,-0.0750236,0.038262
725,-0.0750186,0.0386576
726,-0.0759828,0.0440033
727,-0.0730621,0.0500211
728,-0.068194,0.0450063
729,-0.0769579,0.0447754
730,-0.0769579,0.0447754
731,-0.07759,0.0432911
732,-0.0722385,0.0468415
733,-0.0723019,0.0479157
734,-0.0730613,0.0470025
735,-0.0713264,0.0505708
736,-0.0707005,0.0469897
737,-0.0707005,0.0469897
738,-0.0662249,0.056922
739,-0.0588877,0.0549433
740,-0.0611004,0.0549283
741,-0.0699378,0.0478757
742,-0.0736467,0.0616189
743,-0.0736467,0.0616189
744,-0.0803388,0.0447243
745,-0.080777,0.0424559
746,-0.0853295,0.0371836
747,-0.0839075,0.0366748
748,-0.0794409,0.0395079
749,-0.0803599,0.0349042
750,-0.0803599,0.0349042
751,-0.0803599,0.0349042
752,-0.077518,0.0442148
753,-0.0757446,0.045553
754,-0.0822691,0.0425151
755,-0.0794946,0.0451632
756,-0.0774918,0.0412715
757,-0.0774918,0.0412715
758,-0.0774918,0.0412715
759,-0.0784803,0.0413455
760,-0.0784803,0.0413455
761,-0.0680945,0.0461701
762,-0.0846558,0.0390928
763,-0.0747772,0.037761
764,-0.0852138,0.0371184
765,-0.0813022,0.041436
766,-0.0695901,0.0469862
767,-0.0728829,0.0456624
768,-0.0638936,0.0535846
769,-0.0636537,0.0546178
770,-0.068305,0.0525177
771,-0.0743134,0.0509448
772,-0.0743134,0.0509448
773,-0.0793305,0.0493496
774,-0.0745501,0.0420974
775,-0.0722982,0.0469878
776,-0.0724375,0.0582168
777,-0.0660453,0.0539688
778,-0.0760438,0.0426109
779,-0.0697861,0.0423807
780,-0.068029,0.0466489
781,-0.068029,0.0466489
