t,eps_f,eps_g
2690,0.0111111,0.000555556
2700,0.0111111,0.000555556
2710,0.0111111,0.000555556
2720,0.0111111,0.000555556
2730,0.0111111,0.000555556
2740,0.0111111,0.000555556
2750,0.0111111,0.000555556
2760,0.0111111,0.000555556
2770,0.0111111,0.000555556
2780,0.0111111,0.000555556
2790,0.0111111,0.000555556
2800,0.0111111,0.000555556
2810,0.0111111,0.000555556
2820,0.0111111,0.000555556
2830,0.0111111,0.000555556
2840,0.0111111,0.000555556
2850,0.0111111,0.000555556
2860,0.0111111,0.000555556
2870,0.0111111,0.000555556
2880,0.0111111,0.000555556
2890,0.0111111,0.000555556
2900,0.0111111,0.000555556
2910,0.0111111,0.000555556
2920,0.0111111,0.000555556
2930,0.0111111,0.000555556
2940,0.0111111,0.000555556
2950,0.0111111,0.000555556
2960,0.0111111,0.000555556
2970,0.0111111,0.000555556
2980,0.0111111,0.000555556
2990,0.0111111,0.000555556
3000,0.0111111,0.000555556
3010,0.0111111,0.000555556
3020,0.0111111,0.000555556
3030,0.0111111,0.000555556
3040,0.0111111,0.000555556
3050,0.0111111,0.000555556
3060,0.0111111,0.000555556
3070,0.0111111,0.000555556
3080,0.0111111,0.000555556
3090,0.0111111,0.000555556
3100,0.0111111,0.000555556
3110,0.0111111,0.000555556
3120,0.0111111,0.000555556
3130,0.0111111,0.000555556
3140,0.0111111,0.000555556
3150,0.0111111,0.000555556
3160,0.0111111,0.000555556
3170,0.0111111,0.000555556
3180,0.0111111,0.000555556
3190,0.0111111,0.000555556
3200,0.0111111,0.000555556
3210,0.0111111,0.000555556
3220,0.0111111,0.000555556
3230,0.0111111,0.000555556
3240,0.0111111,0.000555556
3250,0.0111111,0.000555556
3260,0.0111111,0.000555556
3270,0.0111111,0.000555556
3280,0.0111111,0.000555556
3290,0.0111111,0.000555556
3300,0.0111111,0.000555556
3310,0.0111111,0.000555556
3320,0.0111111,0.000555556
3330,0.0111111,0.000555556
3340,0.0111111,0.000555556
3350,0.0111111,0.000555556
3360,0.0111111,0.000555556
3370,0.0111111,0.000555556
3380,0.0111111,0.000555556
3390,0.0111111,0.000555556
3400,0.0111111,0.000555556
3410,0.0111111,0.000555556
3420,0.0111111,0.000555556
3430,0.0111111,0.000555556
3440,0.0111111,0.000555556
3450,0.0111111,0.000555556
3460,0.0111111,0.000555556
3470,0.0111111,0.000555556
3480,0.0111111,0.000555556
3490,0.0111111,0.000555556
3500,0.0111111,0.000555556
