MDTU,plaq,Re(det),Im(det),link
3362,0.0209296,1.17995e-23,7.85659e-24,0.972411
3363,0.0198068,9.62766e-23,3.30523e-23,0.981787
3364,0.0231465,1.89505e-23,7.84883e-24,0.972629
3365,0.0219929,1.34872e-23,7.59857e-24,0.972033
3366,0.0207956,9.86763e-24,5.81259e-24,0.979927
3367,0.0220568,2.57742e-23,1.0347e-23,0.981014
3368,0.0216858,2.43174e-23,1.56178e-23,0.965049
3369,0.0245367,5.80532e-22,6.43189e-23,0.980114
3370,0.0236961,3.73015e-23,1.36369e-23,0.965424
3371,0.0192653,3.20355e-23,1.65763e-23,0.972877
3372,0.0222476,1.95778e-22,6.20578e-23,0.97634
3373,0.0222476,1.95778e-22,6.20578e-23,0.97634
3374,0.0222476,1.95778e-22,6.20578e-23,0.97634
3375,0.0222476,1.95778e-22,6.20578e-23,0.97634
3376,0.0193278,9.27729e-24,5.35082e-24,0.986935
3377,0.0194699,4.80882e-23,1.69456e-23,0.993092
3378,0.0205696,1.89725e-23,7.74183e-24,1.00196
3379,0.0239494,7.84988e-23,2.20555e-23,0.996937
3380,0.0207914,2.42307e-23,1.53547e-23,1.00173
3381,0.0175393,3.16445e-23,1.12077e-23,0.98789
3382,0.0183861,3.43335e-23,1.02303e-23,0.977036
3383,0.0181014,2.27783e-23,8.4738e-24,0.981849
3384,0.0187866,2.76579e-22,6.87429e-23,0.98275
3385,0.0184834,2.79171e-23,1.15833e-23,0.987977
3386,0.0215571,4.26563e-23,1.41295e-23,0.982886
3387,0.0253076,1.47112e-22,4.36182e-23,0.989139
3388,0.0237835,4.6896e-23,1.7281e-23,0.98615
3389,0.0237907,1.55619e-23,9.27593e-24,0.9837
3390,0.0237907,1.55619e-23,9.27593e-24,0.9837
3391,0.023009,1.46601e-23,7.81744e-24,0.984869
3392,0.0229802,4.21027e-23,1.40692e-23,0.985635
3393,0.0199825,2.13928e-23,8.37983e-24,0.977212
3394,0.0190707,1.36811e-23,6.54684e-24,0.989291
3395,0.0209883,4.50007e-23,1.58088e-23,0.986907
3396,0.0241202,5.97055e-23,1.66127e-23,0.984216
3397,0.0259564,6.03809e-23,3.22355e-23,0.983434
3398,0.0185121,3.03462e-23,1.14576e-23,0.993747
3399,0.0185121,3.03462e-23,1.14576e-23,0.993747
3400,0.024419,3.86327e-23,1.73768e-23,0.983784
3401,0.0226418,5.15375e-23,2.46604e-23,0.975856
3402,0.0226418,5.15375e-23,2.46604e-23,0.975856
3403,0.0226418,5.15375e-23,2.46604e-23,0.975856
3404,0.0236933,3.42357e-23,8.92758e-24,0.978117
3405,0.0246765,3.13548e-23,1.97767e-23,0.977287
3406,0.0295465,2.66188e-23,1.22429e-23,0.972921
3407,0.028467,2.79697e-23,1.10641e-23,0.975598
3408,0.0166293,1.10967e-23,4.82669e-24,0.97213
3409,0.0261191,5.37602e-23,2.26859e-23,0.976053
3410,0.0233365,4.02696e-23,1.87637e-23,0.974047
3411,0.0234171,2.54801e-23,1.09213e-23,0.97925
3412,0.0207804,1.47241e-23,9.07434e-24,0.981949
3413,0.0217109,1.88823e-23,7.31407e-24,0.995358
3414,0.0213367,9.88146e-23,3.83289e-23,0.990722
3415,0.0209251,2.95331e-23,1.08064e-23,0.989669
3416,0.020123,5.26906e-23,3.4049e-23,0.986077
3417,0.020123,5.26906e-23,3.4049e-23,0.986077
3418,0.0218991,3.48557e-23,8.66225e-24,0.972381
3419,0.0231061,2.27656e-23,1.82944e-23,0.979969
3420,0.0221616,5.91794e-23,2.7217e-23,0.972894
3421,0.0283033,1.08062e-22,3.60206e-23,0.973806
3422,0.0259428,1.02763e-22,3.6801e-23,0.984082
3423,0.0178906,2.27163e-23,1.28696e-23,0.980866
3424,0.0178906,2.27163e-23,1.28696e-23,0.980866
3425,0.0238154,5.38929e-23,2.07181e-23,0.984931
3426,0.0244184,1.01553e-23,5.80487e-24,0.984698
3427,0.0244184,1.01553e-23,5.80487e-24,0.984698
3428,0.027476,4.70798e-23,1.7408e-23,0.982985
3429,0.0207226,3.33829e-23,2.83147e-23,0.986374
3430,0.0283287,8.09098e-23,1.91696e-23,0.982937
3431,0.0242153,9.00566e-24,4.1125e-24,0.989505
3432,0.0242153,9.00566e-24,4.1125e-24,0.989505
3433,0.0209496,7.58884e-24,4.01365e-24,0.982016
3434,0.0181902,1.81398e-23,8.54248e-24,0.970943
3435,0.0200553,3.51046e-23,1.80304e-23,0.97607
3436,0.0205838,2.65562e-23,1.0802e-23,0.977606
3437,0.0257462,1.4268e-22,4.54925e-23,0.970477
3438,0.0253159,4.23464e-23,1.26507e-23,0.975103
3439,0.0277071,1.74413e-23,7.69857e-24,0.968266
3440,0.0277071,1.74413e-23,7.69857e-24,0.968266
3441,0.020118,1.00091e-22,3.6547e-23,0.975928
3442,0.0200695,3.79318e-23,1.52953e-23,0.986812
3443,0.0207903,1.62228e-23,9.15982e-24,0.970346
3444,0.026428,2.27083e-23,1.50508e-23,0.979982
3445,0.026428,2.27083e-23,1.50508e-23,0.979982
3446,0.0222085,1.81731e-23,8.97908e-24,0.980882
3447,0.020558,2.77193e-23,1.14861e-23,0.984145
3448,0.021329,2.36073e-23,1.16681e-23,0.968425
3449,0.018548,1.01215e-23,6.36045e-24,0.964746
3450,0.0191363,5.17592e-23,2.09151e-23,0.960082
3451,0.0191363,5.17592e-23,2.09151e-23,0.960082
3452,0.0198379,7.51865e-24,3.38563e-24,0.957724
3453,0.0224928,3.20974e-23,1.37948e-23,0.9678
3454,0.0224928,3.20974e-23,1.37948e-23,0.9678
3455,0.0209592,6.16267e-23,1.87337e-23,0.958331
3456,0.0207623,3.46429e-23,1.65098e-23,0.958117
3457,0.0238067,3.349e-23,1.22942e-23,0.965823
3458,0.0172695,1.02964e-22,2.70436e-23,0.979149
3459,0.0210392,3.05057e-22,3.998e-23,0.964304
3460,0.0210392,3.05057e-22,3.998e-23,0.964304
3461,0.0240454,5.91946e-23,1.02605e-23,0.967844
3462,0.0286674,5.09442e-23,2.0574e-23,0.966649
3463,0.017477,4.26849e-23,1.79756e-23,0.97784
3464,0.0264892,1.79586e-23,1.19784e-23,0.968344
3465,0.0215101,6.39589e-24,2.77765e-24,0.975413
3466,0.0215101,6.39589e-24,2.77765e-24,0.975413
3467,0.024469,2.53959e-23,1.22221e-23,0.975083
3468,0.024469,2.53959e-23,1.22221e-23,0.975083
3469,0.025506,2.85645e-23,1.28387e-23,0.984318
3470,0.0246789,1.05469e-22,3.06177e-23,0.995647
3471,0.0218326,8.34063e-23,2.54407e-23,0.992825
3472,0.0218326,8.34063e-23,2.54407e-23,0.992825
3473,0.0218326,8.34063e-23,2.54407e-23,0.992825
3474,0.0198807,2.60068e-23,8.63293e-24,0.99406
3475,0.0198807,2.60068e-23,8.63293e-24,0.99406
3476,0.022534,3.19264e-23,2.00981e-23,0.984127
3477,0.0224757,3.58017e-23,8.02681e-24,0.98504
3478,0.0240822,1.78977e-23,8.79607e-24,0.99072
3479,0.0170849,1.18957e-23,5.99216e-24,0.985658
3480,0.0170849,1.18957e-23,5.99216e-24,0.985658
3481,0.0206138,1.45161e-23,8.1356e-24,0.979616
3482,0.0277419,1.61074e-22,4.0848e-23,0.989523
3483,0.0145869,2.40766e-23,8.89907e-24,0.982159
