t,|deltaS|
736,0.7086
737,0.5439
738,0.8849
739,0.2622
740,0.08749
741,0.6725
742,0.6729
743,0.02912
744,0.2541
745,0.7291
746,0.5005
747,0.03548
748,0.4278
749,0.0863
750,0.7462
751,1.026
752,0.03171
753,0.2885
754,0.3678
755,1.033
756,0.4968
757,0.1566
758,0.1551
759,0.9855
760,0.4862
761,0.04681
762,0.2878
763,0.4981
764,0.377
765,0.1917
766,0.4505
767,0.5712
768,0.6781
769,0.1965
770,0.4762
771,0.7458
772,0.1977
773,0.07359
774,0.08483
775,0.1848
776,0.09646
777,0.2493
778,0.1001
779,0.4869
780,0.4465
781,0.5168
782,0.1376
783,0.2002
784,0.04116
785,0.1247
786,0.09277
787,0.1804
788,0.9938
789,0.2386
790,0.01653
791,0.1468
792,0.2529
793,0.2571
794,0.1689
795,0.3558
796,1.042
797,0.1787
798,0.2873
799,0.1812
800,0.6765
801,1.239
802,0.2805
803,0.00581
804,0.6662
805,0.4896
806,0.165
807,0.6442
808,0.4838
809,0.3212
810,0.2497
811,0.1051
812,0.08519
813,0.7202
814,0.8748
815,0.4594
816,0.02111
817,0.04089
818,0.4896
819,0.01545
820,0.05893
821,0.2309
822,0.6365
823,0.673
824,0.282
825,0.2364
826,0.5322
827,0.5892
828,0.02022
829,0.4427
830,0.4659
831,0.02594
832,0.1277
833,0.6229
834,0.161
835,0.02627
836,0.181
837,0.1434
838,0.2592
839,0.3114
840,1.132
841,0.5124
842,0.2794
843,0.2904
844,0.2023
845,0.3181
846,0.1611
847,0.1959
848,0.4478
849,0.2378
850,0.4641
851,0.5537
852,0.5434
853,0.992
854,0.9723
855,0.6643
856,0.09166
857,0.4958
858,0.3245
859,0.743
860,0.2391
861,0.2023
862,0.3231
863,0.9032
864,0.03708
865,0.4556
866,0.5349
867,0.8099
868,0.4923
869,0.772
870,0.7145
871,0.0345
872,0.71
873,0.1006
874,0.3885
875,0.2831
876,0.5559
877,0.4389
878,0.01658
879,0.2097
880,0.1608
881,0.2335
882,0.06744
883,0.261
884,0.787
885,0.6908
886,0.03321
887,0.7052
888,0.2448
889,0.6289
890,0.03847
891,1.194
892,0.03455
893,0.3885
894,0.3079
895,0.3666
896,0.1706
897,0.02756
898,0.08695
899,1.207
900,0.3445
901,0.02925
902,0.2397
903,0.236
904,0.06244
905,0.4387
906,0.663
907,0.4921
908,0.02507
909,0.3294
910,0.04165
911,0.7475
912,0.2384
913,0.4597
914,0.3851
915,0.1037
916,0.2453
917,0.9467
918,0.3022
919,0.05498
920,0.1015
921,0.231
922,0.6505
923,0.4696
924,0.3853
925,0.01701
926,0.3222
927,0.4543
928,0.439
929,0.152
930,0.08429
931,0.06744
932,0.675
933,0.7099
934,0.2639
935,0.09395
936,0.06321
937,0.08529
938,1.352
939,0.6747
940,0.2341
941,0.3463
942,0.4173
943,0.6634
944,0.7736
945,0.4385
946,0.488
947,0.3078
948,0.5627
949,0.5771
950,0.6031
951,0.1599
952,0.4384
953,0.0643
954,0.4291
955,0.05445
956,0.7299
957,0.07818
958,0.3076
959,0.1468
960,0.2461
961,0.04834
962,0.4568
963,0.2241
964,0.4692
965,0.05983
966,0.172
967,0.5697
968,0.06579
969,0.09668
970,0.5475
971,0.1478
972,0.07221
973,0.6159
974,0.03867
975,0.0905
976,0.5274
977,0.4591
978,0.533
979,0.3578
980,0.3691
981,0.11
982,0.1983
983,1.096
984,0.3489
985,0.2791
986,1.075
987,0.5721
988,0.1604
989,0.5344
990,0.07952
991,0.7866
992,0.62
993,0.5016
994,0.1955
995,0.5448
996,0.3308
997,0.276
998,0.3033
999,0.3452
1000,0.2828
1001,0.7041
1002,0.1942
1003,0.6542
1004,0.2666
1005,0.4595
1006,0.9926
1007,0.7915
1008,0.4047
1009,0.06533
1010,0.4174
1011,0.1991
1012,0.05551
1013,0.3514
1014,0.6755
1015,0.666
1016,0.1017
1017,0.1279
1018,0.4979
1019,0.7199
1020,0.1101
1021,0.1622
1022,0.5123
1023,0.6719
1024,0.2315
1025,0.1783
1026,0.04069
1027,0.3212
1028,0.04498
1029,0.139
1030,0.6695
1031,0.00214
1032,0.1059
1033,0.4229
1034,0.3722
1035,0.421
1036,0.0456
1037,0.62
1038,0.2686
1039,0.02273
1040,0.3032
1041,0.6423
1042,0.4682
1043,0.3502
1044,0.7496
1045,0.5441
1046,0.6973
1047,0.2176
1048,0.1451
1049,0.1885
1050,0.7752
1051,0.01687
1052,0.3974
1053,0.2005
1054,0.2429
1055,0.2443
1056,0.306
1057,0.3908
1058,0.6268
1059,0.04566
1060,0.4779
1061,0.3882
1062,0.06396
1063,0.4462
1064,0.4388
1065,0.5772
1066,0.5449
1067,0.4748
1068,0.06021
1069,0.6725
1070,0.2891
1071,0.8648
1072,0.01582
1073,0.5065
1074,0.4138
1075,0.808
1076,0.8309
1077,0.2543
1078,0.5168
1079,0.2323
1080,0.5484
1081,0.165
1082,0.3997
1083,0.3447
1084,0.1027
1085,0.4301
1086,0.5474
1087,0.7488
1088,0.3642
1089,0.5591
1090,0.05976
1091,0.1188
1092,0.603
1093,0.4316
1094,0.581
1095,0.4425
1096,0.1697
1097,0.3874
1098,0.2021
1099,0.1019
1100,1.384
1101,0.05558
1102,0.2769
1103,0.1586
1104,0.09481
1105,0.5081
1106,0.8881
1107,0.03311
1108,0.121
1109,0.3606
1110,0.299
1111,0.2356
1112,0.3464
1113,0.07383
1114,0.1251
1115,0.2184
1116,0.1737
1117,0.325
1118,0.5091
1119,0.4205
1120,0.4999
1121,0.2049
1122,0.3078
1123,0.391
1124,0.5178
1125,0.4328
1126,0.4016
1127,0.1697
1128,0.1241
1129,0.2805
1130,0.5809
1131,0.5878
1132,0.6376
1133,0.6091
1134,0.07348
1135,0.3802
1136,0.1932
1137,0.4332
1138,0.2538
1139,0.563
1140,0.08688
1141,0.8079
1142,0.3898
1143,0.2542
1144,0.6316
1145,0.1712
1146,0.1858
1147,0.14
1148,0.07197
1149,0.4239
1150,0.2703
1151,0.2144
1152,0.1576
1153,1.02
1154,0.02637
1155,0.1969
1156,0.1974
1157,0.1324
1158,0.666
1159,0.08234
1160,0.3723
1161,0.5717
1162,1.119
1163,0.5613
1164,0.2766
1165,1.368
1166,0.5424
1167,0.4527
1168,0.496
1169,0.7383
1170,0.2732
1171,0.8354
1172,0.6765
1173,0.3705
1174,0.8427
1175,0.07506
1176,0.5356
1177,0.3797
1178,0.7487
1179,0.1262
1180,0.05719
1181,0.3728
1182,0.458
1183,0.3386
1184,0.1865
1185,0.7703
1186,0.7734
1187,0.3439
1188,0.286
1189,0.6418
1190,0.1803
1191,0.4171
1192,0.1362
1193,0.3224
1194,0.05063
1195,0.09219
1196,0.3261
1197,0.06586
1198,1.172
1199,0.5075
1200,0.2514
1201,0.1587
1202,0.3619
1203,0.3345
1204,0.2284
1205,1.288
1206,0.1858
1207,0.5468
1208,0.4326
1209,0.2786
1210,0.1637
1211,0.07604
1212,0.2275
1213,0.9265
1214,0.2004
1215,0.131
1216,0.1736
1217,0.3013
1218,0.5491
1219,0.9001
1220,0.9155
1221,0.07053
1222,0.4856
1223,0.1503
1224,0.3149
1225,0.5646
1226,0.409
1227,0.405
1228,0.4781
1229,0.1772
1230,0.7175
