t,deltaS
950,0.2323
951,-0.6824
952,0.2958
953,0.9269
954,0.6418
955,0.7046
956,0.6958
957,0.5842
958,0.5207
959,-0.4586
960,0.201
961,-0.5338
962,-0.7844
963,-0.166
964,-0.2915
965,-0.01095
966,0.854
967,0.676
968,0.6645
969,-0.05943
970,0.3512
971,0.6346
972,0.7663
973,0.8484
974,-0.06742
975,0.1878
976,0.646
977,0.7814
978,0.4326
979,0.04735
980,-0.2821
981,-0.2604
982,0.9034
983,0.8746
984,-0.07767
985,-0.1101
986,0.1487
987,-0.3124
988,0.4777
989,-0.7082
990,0.6902
991,-0.1879
992,-0.6657
993,-0.3077
994,0.4717
995,-0.522
996,0.5399
997,0.3298
998,-0.3658
999,0.4621
1000,-0.3942
1001,1.281
1002,-0.3837
1003,0.122
1004,-0.6125
1005,-1.854
1006,0.2158
1007,1.247
1008,-0.5975
1009,0.859
1010,-0.3173
1011,-0.2864
1012,0.1282
1013,0.1182
1014,0.03506
1015,-0.4122
1016,1.249
1017,0.06934
1018,-0.5096
1019,1.268
1020,-0.5893
1021,-0.3702
1022,-0.5424
1023,1.076
1024,0.8786
1025,0.7631
1026,-0.3074
1027,-0.02756
1028,0.7016
1029,0.4874
1030,0.4018
1031,-0.09064
1032,-0.7783
1033,0.6041
1034,-0.1293
1035,0.5339
1036,-0.05896
1037,-0.5254
1038,0.1165
1039,-0.3976
1040,-0.5674
1041,0.19
1042,0.2541
1043,0.255
1044,-0.04577
1045,0.26
1046,-0.5627
1047,1.243
1048,-0.8703
1049,-0.4258
1050,0.5319
1051,0.3922
1052,0.2332
1053,0.1973
1054,-0.5312
1055,0.216
1056,0.07462
1057,0.6527
1058,0.4801
1059,0.2417
1060,0.6616
1061,0.6799
1062,0.8197
1063,0.307
1064,-0.5952
1065,0.3039
1066,-0.2521
1067,-0.3759
1068,-0.4001
1069,0.2311
1070,-0.004665
1071,1.882
1072,0.5037
1073,-0.1089
1074,0.0242
1075,0.0007081
1076,-0.2708
1077,-0.1707
1078,0.8064
1079,-0.09198
1080,0.2842
1081,0.08029
1082,-0.1201
1083,0.7938
1084,-0.9685
1085,0.5443
1086,0.2744
1087,0.3273
1088,1.055
1089,1.005
1090,0.5958
1091,-0.4763
1092,0.8329
1093,0.3327
1094,0.06982
1095,-0.3888
1096,0.2386
1097,-0.8814
1098,-0.141
1099,0.4654
1100,0.3272
1101,-1.049
1102,-0.08452
1103,-0.0299
1104,0.4559
1105,1
1106,0.3381
1107,0.2333
1108,0.0007511
1109,-0.1914
1110,0.6072
1111,1.241
1112,-0.5663
1113,-0.7327
1114,0.7038
1115,-0.3635
1116,0.5416
1117,0.227
1118,1.192
1119,0.04197
1120,-1.018
1121,-0.008833
1122,-0.1129
1123,0.05148
1124,-0.1321
1125,0.2951
1126,0.4673
1127,-0.2076
1128,1.163
1129,1.269
1130,-0.1493
1131,0.4597
1132,-0.4563
1133,-0.3
1134,-0.1123
1135,-0.3398
1136,0.5473
1137,0.6561
1138,-0.6028
1139,-0.145
1140,0.2736
1141,0.2737
1142,1.324
1143,0.02337
1144,0.479
1145,0.5201
1146,-0.3408
1147,0.4091
1148,-1.015
1149,0.1035
1150,1.327
1151,-0.294
1152,-0.0613
1153,0.9114
1154,1.3
1155,-0.234
1156,-0.574
1157,0.3005
1158,0.1866
1159,0.8226
1160,0.2162
1161,-0.3614
1162,-0.09309
1163,0.8231
1164,0.7798
1165,-0.04785
1166,0.2814
1167,0.5857
1168,-0.06469
1169,0.2017
1170,-0.08943
1171,0.4621
1172,0.3102
1173,0.1552
1174,-0.5665
1175,1.035
1176,0.7496
1177,-0.3364
1178,0.7076
1179,-0.4396
1180,0.06678
1181,0.5681
1182,0.4181
1183,-0.08896
1184,-0.1196
1185,0.155
1186,-0.5861
1187,-1.036
1188,0.175
1189,0.1474
1190,-0.1272
1191,0.1932
1192,0.244
1193,0.3376
1194,0.5575
1195,-0.4087
1196,0.007207
1197,-0.6693
1198,-0.3933
1199,-0.0326
1200,0.6165
1201,0.1717
1202,0.5267
1203,0.4453
1204,-0.803
1205,-0.1508
1206,0.1229
1207,0.8526
1208,0.1507
1209,0.6558
1210,0.7777
1211,-0.1104
1212,0.2931
1213,0.7932
1214,-0.9554
1215,-0.2997
1216,0.8205
1217,0.4834
1218,0.225
1219,0.1998
1220,0.04416
1221,-0.1592
1222,-0.0007122
1223,0.7804
1224,0.4606
1225,-0.8787
1226,-0.5193
1227,0.1949
1228,-0.01486
1229,-0.2656
1230,0.9458
1231,0.2854
1232,0.1268
1233,-0.3018
1234,-0.6169
1235,0.5076
1236,0.04953
1237,0.03196
1238,0.2741
1239,-1.129
1240,-0.2693
1241,-0.6858
1242,0.2232
1243,0.3908
1244,-0.425
1245,0.1586
1246,-0.6881
1247,0.651
1248,0.3428
1249,0.9461
1250,-0.2689
1251,-0.07733
1252,-0.1341
1253,0.3354
1254,0.4171
1255,-0.5336
1256,1.14
1257,-0.986
1258,0.5653
1259,0.2212
1260,0.09863
1261,-0.0904
1262,-0.9925
1263,0.8877
1264,-0.5002
1265,0.298
1266,1.168
1267,0.001288
1268,-0.478
1269,-0.1594
1270,-0.1089
1271,0.5935
1272,0.4535
1273,-0.8429
1274,-0.1474
1275,-0.07536
1276,-0.1266
1277,0.6305
1278,0.2628
1279,0.925
1280,-0.7137
1281,-0.07901
1282,0.7252
1283,0.4811
1284,0.2268
1285,0.6285
1286,0.06326
1287,-1.086
1288,-0.8046
1289,1.069
1290,1.106
1291,0.4188
1292,-0.2321
1293,0.1839
1294,-0.349
1295,-0.6622
1296,-0.5835
1297,0.3636
1298,-0.3723
1299,-0.1541
1300,0.216
1301,-0.2244
1302,0.4741
1303,0.1365
1304,0.7894
1305,0.4331
1306,0.1547
1307,0.5304
1308,0.07215
1309,-0.05411
1310,-0.529
1311,0.4931
1312,0.2386
1313,-0.03307
1314,0.6414
1315,-0.01357
1316,0.125
1317,-0.09604
1318,0.5401
1319,-0.01499
1320,0.6459
1321,-0.7113
1322,0.1468
1323,0.3738
1324,-0.4209
1325,-1.004
1326,0.8126
1327,-0.4698
1328,0.281
1329,-0.795
1330,-0.2634
1331,-1.122
1332,-0.07437
1333,0.2825
1334,0.5
1335,-0.726
1336,0.9064
1337,-0.3177
1338,0.8778
1339,0.4565
1340,-0.2919
1341,-0.3123
1342,-0.1326
1343,0.5474
1344,0.6975
1345,-0.5262
1346,0.1033
1347,-0.0154
1348,0.5645
1349,0.4203
1350,1.279
