MDTU,|Tr(Lx)|
612,2.40342e-22
613,7.21964e-22
614,7.79663e-22
615,4.48762e-21
616,4.09743e-22
617,2.07964e-21
618,1.93726e-21
619,1.74638e-21
620,2.238e-22
621,7.66599e-22
622,1.08145e-21
623,1.05656e-21
624,6.60745e-22
625,9.78373e-22
626,1.7594e-21
627,4.73108e-22
628,4.15838e-21
629,2.17767e-22
630,3.49689e-22
631,2.9014e-22
632,3.2749e-22
633,9.41484e-22
634,1.98143e-22
635,2.67727e-21
636,5.48873e-22
637,2.06689e-21
638,9.29418e-23
639,2.91108e-22
640,6.79694e-22
641,6.32155e-22
642,1.27159e-21
643,9.13982e-22
644,1.2466e-21
645,7.99739e-22
646,1.14588e-21
647,1.07157e-21
648,1.61605e-22
649,5.97913e-22
650,6.49933e-22
651,1.539e-22
652,3.13481e-21
653,2.57666e-22
654,3.23175e-22
655,1.09277e-21
656,9.787e-22
657,7.60777e-22
658,1.10143e-21
659,7.95295e-22
660,6.47145e-22
661,5.57391e-22
662,6.44458e-22
663,2.41323e-21
664,8.20681e-22
665,1.28756e-21
666,2.7028e-22
667,5.8778e-22
668,1.01822e-22
669,3.54272e-21
670,5.99014e-22
671,1.52467e-21
672,2.36914e-21
673,4.08044e-22
674,3.18936e-22
675,1.32313e-21
676,6.93649e-22
677,2.62636e-21
678,2.00735e-21
679,1.13113e-21
680,1.13113e-21
681,4.40029e-22
682,9.82633e-22
683,9.82633e-22
684,9.82633e-22
685,3.5835e-22
686,4.33332e-22
687,1.83736e-21
688,1.33195e-22
689,4.28447e-22
690,8.55628e-22
691,9.29899e-22
692,9.36546e-22
693,7.28172e-22
694,8.13463e-22
695,2.21933e-22
696,3.23233e-22
697,1.05861e-21
698,2.8963e-21
699,2.8963e-21
700,8.35251e-22
701,8.35251e-22
702,3.38882e-21
703,1.72601e-22
704,4.11255e-23
705,1.80048e-22
706,2.08296e-22
707,9.04314e-22
708,8.92235e-22
709,3.39382e-22
710,5.24557e-22
711,6.23076e-22
712,1.95449e-21
713,1.27617e-21
714,3.86424e-22
715,3.86424e-22
716,2.13459e-21
717,4.63977e-22
718,1.02693e-21
719,1.04466e-21
720,6.93009e-22
721,1.96831e-22
722,1.49839e-21
723,8.7556e-22
724,1.20132e-21
725,6.46948e-22
726,4.5177e-22
727,8.70353e-22
728,1.31919e-21
729,2.8476e-23
730,1.77601e-22
731,1.77601e-22
732,2.46826e-22
733,7.3173e-22
734,2.2182e-22
735,1.00884e-21
736,1.32756e-21
737,7.0793e-22
738,2.24089e-21
739,1.86721e-22
740,2.80472e-22
741,2.62207e-22
742,3.86645e-22
743,7.71888e-22
744,1.5994e-21
745,3.24949e-22
746,3.68482e-22
747,3.02594e-21
748,8.91688e-22
749,6.67293e-22
750,3.95396e-21
751,3.95396e-21
752,8.81287e-22
753,1.07577e-22
754,1.29832e-22
755,5.2353e-22
756,3.235e-22
757,3.47525e-22
758,1.94014e-21
759,9.46143e-22
760,3.7175e-21
761,2.38715e-21
762,1.07957e-21
763,1.51863e-21
764,4.45073e-22
765,6.72732e-22
766,7.24038e-22
767,1.37931e-21
768,6.98406e-22
769,1.06223e-21
770,3.24173e-21
771,3.15712e-22
772,2.15195e-22
773,6.19803e-22
774,8.48509e-22
775,6.63302e-22
776,2.03664e-22
777,3.66324e-22
778,2.60193e-21
779,2.37829e-21
780,7.92996e-22
781,2.33863e-21
782,6.44342e-22
783,3.24588e-21
784,1.33572e-21
785,5.47925e-22
786,1.06739e-21
787,7.30353e-22
788,2.58072e-22
789,1.57513e-21
790,1.01943e-21
791,1.48681e-21
792,5.6324e-22
793,1.09871e-22
794,4.47061e-22
795,1.07656e-21
796,5.3661e-22
797,1.13036e-21
798,8.03666e-22
799,1.12888e-21
800,1.06147e-21
801,5.49876e-21
802,1.29052e-21
803,7.33154e-22
804,8.78451e-22
805,7.16814e-22
806,6.03125e-22
807,1.47322e-21
808,6.13802e-22
809,8.19281e-22
810,4.44015e-22
811,2.24789e-22
812,1.95024e-22
813,2.05935e-21
814,2.05935e-21
815,2.73726e-22
816,5.6857e-22
817,3.16985e-22
818,6.08452e-22
819,8.01225e-22
820,1.08875e-21
821,6.57529e-22
822,6.91877e-22
823,3.66176e-22
824,1.19161e-22
825,5.11606e-22
826,1.05114e-21
827,1.21556e-21
828,4.42889e-22
829,3.28744e-21
830,5.2591e-22
831,3.52874e-22
832,5.08318e-22
833,3.76021e-22
834,5.92669e-22
835,1.09235e-21
836,7.57348e-22
837,9.82062e-23
838,1.19195e-22
839,3.20457e-22
840,6.86897e-23
841,1.83916e-21
842,3.9629e-22
843,1.62559e-21
844,2.04558e-22
845,4.6674e-22
846,5.05155e-22
