t,cg_iters
1591,10399
1592,10510
1593,10302
1594,10407
1595,10283
1596,10444
1597,10218
1598,10338
1599,10309
1600,10186
1601,10547
1602,10332
1603,10502
1604,10480
1605,10489
1606,10380
1607,10439
1608,10260
1609,10251
1610,10271
1611,10202
1612,10496
1613,10289
1614,10441
1615,10358
1616,10377
1617,10308
1618,10370
1619,10367
1620,10414
1621,10368
1622,10191
1623,10439
1624,10240
1625,10236
1626,10238
1627,10339
1628,10396
1629,10397
1630,10425
1631,10315
1632,10389
1633,10056
1634,10149
1635,10362
1636,10362
1637,10172
1638,10266
1639,10343
1640,10321
1641,10331
1642,10321
1643,10306
1644,10372
1645,10297
1646,10332
1647,10378
1648,10322
1649,10333
1650,10526
1651,10286
1652,10346
1653,10260
1654,10244
1655,10280
1656,10208
1657,10353
1658,10589
1659,10331
1660,10269
1661,10251
1662,10249
1663,10461
1664,10275
1665,10378
1666,10187
1667,10299
1668,10441
1669,10451
1670,10485
1671,10434
1672,10349
1673,10398
1674,10338
1675,10441
1676,10378
1677,10358
1678,10310
1679,10396
1680,10507
1681,10423
1682,10431
1683,10399
1684,10432
1685,10439
1686,10240
1687,10245
1688,10430
1689,10466
1690,10365
1691,10359
1692,10348
1693,10465
1694,10392
1695,10326
1696,10364
1697,10306
1698,10295
1699,10271
1700,10477
1701,10367
1702,10449
1703,10178
1704,10323
1705,10348
1706,10264
1707,10240
1708,10461
1709,10241
1710,10235
1711,10258
1712,10204
1713,10286
1714,10384
1715,10519
1716,10326
1717,10404
1718,10376
1719,10226
1720,10230
1721,10226
1722,10350
1723,10416
1724,10242
1725,10383
1726,10244
1727,10257
1728,10595
1729,10278
1730,10252
1731,10227
1732,10309
1733,10168
1734,10362
1735,10169
1736,10300
1737,10286
1738,10450
1739,10184
1740,10310
1741,10274
1742,10137
1743,10544
1744,10426
1745,10382
1746,10294
1747,10382
1748,10260
1749,10261
1750,10252
1751,10343
1752,10378
1753,10340
1754,10414
1755,10318
1756,10242
1757,10257
1758,10348
1759,10334
1760,10301
1761,10327
1762,10331
1763,10273
1764,10228
1765,10245
1766,10284
1767,10283
1768,10266
1769,10288
1770,10331
1771,10275
1772,10414
1773,10244
1774,10343
1775,10196
1776,10333
1777,10246
1778,10281
1779,10333
1780,10325
1781,10360
1782,10344
1783,10230
1784,10361
1785,10410
1786,10334
1787,10243
1788,10317
1789,10335
1790,10325
1791,10365
1792,10387
1793,10340
1794,10249
1795,10460
1796,10560
1797,10677
1798,10460
1799,10446
1800,10351
1801,10317
1802,10220
1803,10315
1804,10255
1805,10318
1806,10174
1807,10375
1808,10421
1809,10637
1810,10450
1811,10287
1812,10349
1813,10228
1814,10425
1815,10459
1816,10329
1817,10372
1818,10268
1819,10101
1820,10409
1821,10390
1822,10387
1823,10459
1824,10321
1825,10273
1826,10437
1827,10382
1828,10368
1829,10394
1830,10424
1831,10448
1832,10417
1833,10299
1834,10217
1835,10361
1836,10289
1837,10400
1838,10415
1839,10542
1840,10483
1841,10303
1842,10388
1843,10350
1844,10291
1845,10268
1846,10287
1847,10189
1848,10229
1849,10272
1850,10321
1851,10219
1852,10283
1853,10236
1854,10196
1855,10405
1856,10614
1857,10279
1858,10431
1859,10609
1860,10259
1861,10312
1862,10296
1863,10342
1864,10379
1865,10431
1866,10350
1867,10253
1868,10258
1869,10349
1870,10271
1871,10225
1872,10274
1873,10299
1874,10220
1875,10194
1876,10479
1877,10304
1878,10308
1879,10509
1880,10351
1881,10390
1882,10325
1883,10253
1884,10108
1885,10258
1886,10330
1887,10290
1888,10186
1889,10137
1890,10208
1891,10407
1892,10380
1893,10279
1894,10542
1895,10260
1896,10355
1897,10261
1898,10184
1899,10273
1900,10269
1901,10347
1902,10315
1903,10338
1904,10344
1905,10296
1906,10341
1907,10261
1908,10461
1909,10292
1910,10375
1911,10204
1912,10279
1913,10394
1914,10240
1915,10287
1916,10378
1917,10432
1918,10210
1919,10396
1920,10382
1921,10314
1922,10407
1923,10298
1924,10352
1925,10221
1926,10123
1927,10316
1928,10316
1929,10184
1930,10274
1931,10271
1932,10234
1933,10356
1934,10415
1935,10402
1936,10266
1937,10245
1938,10316
1939,10527
1940,10388
1941,10238
1942,10427
1943,10346
1944,10380
1945,10251
1946,10301
1947,10362
1948,10455
1949,10286
1950,10338
1951,10148
1952,10275
1953,10414
1954,10438
1955,10482
1956,10388
1957,10419
1958,10445
1959,10436
1960,10401
1961,10363
1962,10388
1963,10397
1964,10317
1965,10353
1966,10358
1967,10542
1968,10286
1969,10322
1970,10146
1971,10382
1972,10308
1973,10441
1974,10461
1975,10426
1976,10325
1977,10254
1978,10241
1979,10222
1980,10321
1981,10255
1982,10243
1983,10313
1984,10321
1985,10226
1986,10254
1987,10294
1988,10318
1989,10337
1990,10349
1991,10249
1992,10350
1993,10412
1994,10249
1995,10306
1996,10242
1997,10355
1998,10396
1999,10441
2000,10384
2001,10282
2002,10338
2003,10348
2004,10293
2005,10182
2006,10240
2007,10392
2008,10396
2009,10294
2010,10211
2011,10476
2012,10344
2013,10343
2014,10242
2015,10475
2016,10497
2017,10460
2018,10279
2019,10391
2020,10364
2021,10469
2022,10427
2023,10342
2024,10339
2025,10438
2026,10238
2027,10316
2028,10224
2029,10278
2030,10395
2031,10363
2032,10379
2033,10227
2034,10268
2035,10316
2036,10276
2037,10354
2038,10157
2039,10417
2040,10342
2041,10220
2042,10396
2043,10219
2044,10552
2045,10311
2046,10323
2047,10308
2048,10351
2049,10266
2050,10424
2051,10378
2052,10278
2053,10282
2054,10305
2055,10415
2056,10247
2057,10367
2058,10265
2059,10347
2060,10385
2061,10313
2062,10249
2063,10268
2064,10420
2065,10300
2066,10341
2067,10355
2068,10435
2069,10353
2070,10458
2071,10261
2072,10727
2073,10396
2074,10245
2075,10314
2076,10271
2077,10329
2078,10434
2079,10543
2080,10401
2081,10210
2082,10202
2083,10317
2084,10310
2085,10405
2086,10320
2087,10298
2088,10293
2089,10478
2090,10229
2091,10241
2092,10434
2093,10446
2094,10483
2095,10369
2096,10541
2097,10394
2098,10286
2099,10369
2100,10171
2101,10254
2102,10117
2103,10170
2104,10193
2105,10332
2106,10272
2107,10290
2108,10399
2109,10258
2110,10219
2111,10470
2112,10197
2113,10492
2114,10453
2115,10360
2116,10196
2117,10412
2118,10242
2119,10428
2120,10481
2121,10362
2122,10298
2123,10445
2124,10385
2125,10339
2126,10405
2127,10304
2128,10401
2129,10284
2130,10357
2131,10156
2132,10294
2133,10319
2134,10328
2135,10300
2136,10017
2137,10335
2138,10273
2139,10486
2140,10405
2141,10355
2142,10341
2143,10221
2144,10289
2145,10476
2146,10360
2147,10311
2148,10367
2149,10370
2150,10294
2151,10307
2152,10386
2153,10317
2154,10174
2155,10228
2156,10252
2157,10324
2158,10264
2159,10311
2160,10248
2161,10296
2162,10358
2163,10451
2164,10323
2165,10246
2166,10262
2167,10291
2168,10471
2169,10343
2170,10362
2171,10401
2172,10310
2173,10405
2174,10410
2175,10382
2176,10223
2177,9975
2178,10184
2179,10335
2180,10479
2181,10410
2182,10350
2183,10431
2184,10186
2185,10290
2186,10240
2187,10281
2188,10309
2189,10256
2190,10245
2191,10242
2192,10358
2193,10262
2194,10160
2195,10339
2196,10348
2197,10303
2198,10255
2199,10272
2200,10491
2201,10209
2202,10205
2203,10279
2204,10385
2205,10403
2206,10378
2207,10274
2208,10377
2209,10325
2210,10300
2211,10252
2212,10263
2213,10285
2214,10358
2215,10374
2216,10361
2217,10303
2218,10176
2219,10319
2220,10231
2221,10416
2222,10138
2223,10406
2224,10454
2225,10231
2226,10421
2227,10360
2228,10309
2229,10340
2230,10257
2231,10328
2232,10186
2233,10278
2234,10156
2235,10305
2236,10346
2237,10431
2238,10404
2239,10378
2240,10268
2241,10327
2242,10427
2243,10689
2244,10331
2245,10222
2246,10269
2247,10115
2248,10399
2249,10300
2250,10302
2251,10226
2252,10422
2253,10379
2254,10377
2255,10305
2256,10239
2257,10333
2258,10290
2259,10461
2260,10178
2261,10322
2262,10324
2263,10175
2264,10366
2265,10465
2266,10343
2267,10370
2268,10237
2269,10229
2270,10269
2271,10375
2272,10236
2273,10304
2274,10391
2275,10241
2276,10364
2277,10381
2278,10313
2279,10350
2280,10425
2281,10422
2282,10321
2283,10266
2284,10472
2285,10387
2286,10365
2287,10253
2288,10480
2289,10396
2290,10276
2291,10322
2292,10253
2293,10394
2294,10202
2295,10290
2296,10476
2297,10463
2298,10379
2299,10274
2300,10233
2301,10289
2302,10312
2303,10399
2304,10354
2305,10364
2306,10328
2307,10354
2308,10351
2309,10394
2310,10564
2311,10296
2312,10485
2313,10291
2314,10457
2315,10226
2316,10355
2317,10501
2318,10284
2319,10235
2320,10277
2321,10188
2322,10287
2323,10326
2324,10394
2325,10354
2326,10147
2327,10257
2328,10403
2329,10426
2330,10275
2331,10268
2332,10401
2333,10344
2334,10424
2335,10270
2336,10321
2337,10270
2338,10200
2339,10218
2340,10301
2341,10382
2342,10301
2343,10339
