t,deltaS
794,0.01143
795,-0.06311
796,0.2574
797,-0.07834
798,-0.05869
799,0.02434
800,-0.07091
801,-0.2139
802,-0.116
803,0.1997
804,0.001694
805,0.0425
806,-0.06515
807,-0.08397
808,-0.07207
809,-0.1309
810,-0.1365
811,0.2962
812,-0.06398
813,0.01154
814,0.1509
815,0.05739
816,-0.2299
817,0.06442
818,-0.02313
819,-0.01919
820,0.03787
821,0.1209
822,0.02206
823,0.08637
824,-0.1745
825,0.1869
826,0.02201
827,-0.178
828,-0.1087
829,0.04293
830,0.1192
831,0.01416
832,0.1057
833,-0.008349
834,-0.04205
835,0.02369
836,0.08144
837,-0.168
838,-0.1709
839,-0.06248
840,0.03327
841,-0.01531
842,0.06073
843,0.01596
844,-0.06727
845,0.009492
846,0.08132
847,-0.1546
848,0.2338
849,-0.1097
850,-0.01607
851,-0.002584
852,-0.1375
853,0.1059
854,-0.02946
855,0.005734
856,0.02841
857,0.1221
858,0.05371
859,-0.09696
860,0.07631
861,-0.1133
862,0.0996
863,0.2125
864,0.2264
865,-0.07541
866,0.0817
867,-0.1841
868,-0.05661
869,0.09083
870,-0.01793
871,-0.1922
872,0.1336
873,-0.004711
874,0.0205
875,-0.1497
876,0.0249
877,-0.1068
878,0.008662
879,-0.09198
880,0.1091
881,-0.06168
882,0.08217
883,-0.09008
884,-0.03817
885,-0.1061
886,0.004238
887,-0.148
888,0.1562
889,0.01219
890,-0.03071
891,-0.15
892,-0.03429
893,0.07309
894,-2.999e-05
895,-0.0486
896,0.2643
897,-0.03322
898,-0.02057
899,-0.265
900,-0.009676
901,0.01609
902,-0.1502
903,0.2693
904,-0.1533
905,-0.08459
906,-0.09698
907,-0.1124
908,0.007772
909,-0.2083
910,0.2519
911,0.07199
912,0.1127
913,-0.004481
914,-0.04313
915,0.09945
916,0.1784
917,0.0258
918,-0.01194
919,0.1992
920,0.1041
921,-0.03021
922,-0.1888
923,0.1064
924,-0.003355
925,0.08871
926,-0.02852
927,0.0733
928,0.06151
929,0.07166
930,-0.02826
931,-0.04714
932,0.1052
933,0.06323
934,0.06319
935,-0.04846
936,0.06127
937,-0.02675
938,-0.01894
939,-0.08006
940,0.0929
941,-0.04396
942,-0.0296
943,-0.02951
944,-0.03487
945,0.1441
946,0.1106
947,-0.07068
948,0.01853
949,0.157
950,0.01018
951,0.01157
952,0.08576
953,-0.0391
954,-0.08546
955,-0.07154
956,0.03111
957,-0.07204
958,-0.03388
959,-0.07507
960,0.09018
961,0.02531
962,0.06585
963,0.1128
964,-0.163
965,-0.04951
966,0.1564
967,0.04449
968,0.04483
969,-0.0345
970,0.02927
971,0.03896
972,-0.09837
973,0.2832
974,0.03219
975,-0.0397
976,-0.1582
977,-0.07866
978,-0.1205
979,-0.04637
980,-0.02421
981,0.01485
982,-0.08826
983,-0.05883
984,-0.08708
985,-0.02996
986,-0.03669
987,0.06299
988,-0.02272
989,0.0281
990,-0.003043
991,-0.02819
992,-0.09751
993,-0.05782
994,0.05726
995,-0.1129
996,-0.1462
997,0.0178
998,-0.06743
999,0.09505
1000,-0.1606
1001,0.2309
1002,-0.1527
1003,0.04771
1004,-0.02321
1005,-0.08793
1006,0.1191
1007,0.1843
1008,0.1058
1009,-0.01546
1010,0.156
1011,-0.1767
1012,-0.01991
1013,-0.1314
1014,-0.01904
1015,0.08168
1016,-0.09114
1017,0.04677
1018,-0.08851
1019,-0.07628
1020,0.008709
1021,0.1051
1022,-0.01554
1023,0.06079
1024,-0.1268
1025,0.006234
1026,-0.08849
1027,0.02696
1028,-0.11
1029,0.1153
1030,-0.1321
1031,0.1792
1032,-0.1511
1033,0.1161
1034,-0.02065
1035,-0.0352
1036,-0.1626
1037,0.3077
1038,0.001768
1039,-0.04748
1040,0.1383
