MDTU,plaq
1771,0.0408727
1772,0.0417722
1773,0.0417722
1774,0.0407931
1775,0.0418516
1776,0.0413528
1777,0.0417399
1778,0.0385289
1779,0.0419993
1780,0.0410407
1781,0.0410407
1782,0.0399667
1783,0.040931
1784,0.0397136
1785,0.0414414
1786,0.0414414
1787,0.0401203
1788,0.0409559
1789,0.0393443
1790,0.0399008
1791,0.0405653
1792,0.0404634
1793,0.0401775
1794,0.03927
1795,0.0396103
1796,0.0390922
1797,0.0391415
1798,0.0391948
1799,0.0384265
1800,0.0390322
1801,0.0411544
1802,0.0413578
1803,0.0408911
1804,0.040505
1805,0.041868
1806,0.0416753
1807,0.0407257
1808,0.0404939
1809,0.0413447
1810,0.0387159
1811,0.0403535
1812,0.0409641
1813,0.0411023
1814,0.0410179
1815,0.0400458
1816,0.0395797
1817,0.0398962
1818,0.0418162
1819,0.0406587
1820,0.0407532
1821,0.0397826
1822,0.0407189
1823,0.0409199
1824,0.0414855
1825,0.0417825
1826,0.0414464
1827,0.0393714
1828,0.0398724
1829,0.0404252
1830,0.0412216
1831,0.0413003
1832,0.0407958
1833,0.0400267
1834,0.0389803
1835,0.0401364
1836,0.0400391
1837,0.0401125
1838,0.0399057
1839,0.0397368
1840,0.0394426
1841,0.0417666
1842,0.0396567
1843,0.0404934
1844,0.0403078
1845,0.0420283
1846,0.0424507
1847,0.0412986
1848,0.0394248
1849,0.0405309
1850,0.0404083
1851,0.0409774
1852,0.0399947
1853,0.0393226
1854,0.0407624
1855,0.0399922
1856,0.0392228
1857,0.0394435
1858,0.0406255
1859,0.0415035
1860,0.0400977
1861,0.0419054
1862,0.0414562
1863,0.0414971
1864,0.0396637
1865,0.041636
1866,0.0408578
1867,0.0423324
1868,0.0410897
1869,0.0406086
1870,0.0408398
1871,0.0392487
1872,0.0427004
1873,0.0398348
1874,0.0385879
1875,0.0400567
1876,0.0406546
1877,0.0395449
1878,0.0387734
1879,0.0399164
1880,0.0393324
1881,0.0405288
1882,0.0416675
1883,0.0401121
1884,0.0400843
1885,0.0413698
1886,0.0400655
1887,0.0410839
1888,0.0410398
1889,0.0403281
1890,0.0399304
1891,0.0404015
1892,0.0394625
1893,0.0396338
1894,0.0400283
1895,0.0404356
1896,0.0393651
1897,0.0399415
1898,0.0405637
1899,0.0405637
1900,0.0403434
1901,0.0408853
1902,0.0407111
1903,0.041171
1904,0.0398321
1905,0.0412795
1906,0.0413327
1907,0.0407986
1908,0.0400673
1909,0.0390821
1910,0.040429
1911,0.0402717
1912,0.0417877
1913,0.0412074
1914,0.0403049
1915,0.0400702
1916,0.0399702
1917,0.0413774
1918,0.0406967
1919,0.0406502
1920,0.040766
1921,0.0407075
1922,0.0401976
1923,0.0392559
1924,0.0409404
1925,0.0399543
1926,0.0404724
1927,0.0408784
1928,0.0409618
1929,0.0406529
1930,0.0411357
1931,0.0411511
1932,0.0401251
1933,0.0411654
1934,0.0411098
1935,0.0400419
1936,0.0399785
1937,0.04077
1938,0.0389742
1939,0.0378849
1940,0.0402259
1941,0.0422552
1942,0.0392811
1943,0.0407056
1944,0.0399683
1945,0.0396811
1946,0.0400438
1947,0.0413581
1948,0.0402797
1949,0.0392156
1950,0.040232
1951,0.0401022
1952,0.0401022
1953,0.0402637
1954,0.0400335
1955,0.0386014
1956,0.040498
1957,0.0395867
1958,0.0393532
1959,0.0414533
1960,0.0394149
1961,0.0386482
1962,0.0401688
1963,0.0397413
1964,0.0400741
1965,0.0399417
1966,0.0393243
1967,0.0407133
1968,0.0412686
1969,0.0412179
1970,0.0412179
1971,0.0397821
1972,0.0402918
1973,0.0402378
1974,0.0386613
1975,0.0389336
1976,0.0397761
1977,0.0393281
1978,0.0402672
1979,0.0397696
1980,0.0399471
1981,0.0392146
1982,0.0403242
1983,0.0403242
1984,0.0400598
1985,0.0411861
1986,0.0405017
1987,0.0399889
1988,0.0382319
1989,0.0396193
1990,0.0402758
1991,0.0403049
1992,0.0423247
1993,0.0409924
1994,0.0409423
1995,0.0396045
1996,0.0389711
1997,0.0382313
1998,0.0377903
1999,0.039449
2000,0.0403942
2001,0.0414428
2002,0.040535
2003,0.040535
2004,0.0410289
2005,0.0399896
2006,0.040276
2007,0.037793
2008,0.038528
2009,0.0415099
2010,0.0410008
2011,0.040446
2012,0.0397866
2013,0.04085
2014,0.0388431
2015,0.0388431
2016,0.0400806
2017,0.0409671
2018,0.0398337
2019,0.0398824
2020,0.0398288
2021,0.0393517
2022,0.0395755
2023,0.0393489
2024,0.0399054
2025,0.0411773
2026,0.0411773
2027,0.0414787
2028,0.0405742
2029,0.0400462
2030,0.0397505
2031,0.0410198
2032,0.0395054
2033,0.0412741
2034,0.0413538
2035,0.040004
2036,0.0395575
2037,0.0429776
2038,0.0415236
2039,0.0405008
2040,0.0418377
2041,0.0414786
2042,0.0413217
2043,0.0396067
2044,0.0391657
2045,0.0402606
2046,0.0407248
2047,0.0401737
2048,0.0400991
2049,0.0404246
2050,0.0404246
2051,0.0399194
2052,0.0407198
2053,0.0402215
2054,0.0405959
2055,0.0403022
2056,0.0393979
2057,0.0399788
2058,0.0420896
2059,0.0400299
2060,0.039608
2061,0.038968
2062,0.0415221
2063,0.0388514
2064,0.0403066
2065,0.0405326
2066,0.0397991
2067,0.0402309
2068,0.0399104
2069,0.0384067
2070,0.0421437
2071,0.0407776
2072,0.0390696
2073,0.0398271
2074,0.04141
2075,0.0403601
2076,0.03952
2077,0.0398407
2078,0.0401038
2079,0.0398164
2080,0.0405144
2081,0.0417189
2082,0.0398206
2083,0.0422421
2084,0.0408079
2085,0.0398078
2086,0.0397585
2087,0.0395254
2088,0.0395555
2089,0.0397875
2090,0.0401137
2091,0.043089
2092,0.038496
2093,0.0384453
2094,0.0403602
2095,0.0403731
2096,0.0400709
2097,0.0414209
2098,0.0408027
2099,0.0406151
2100,0.0415896
2101,0.0419221
2102,0.0421756
2103,0.0403054
2104,0.03946
2105,0.0387633
2106,0.0387633
2107,0.0403816
2108,0.039115
2109,0.0406759
2110,0.0406759
2111,0.0401523
2112,0.0405744
2113,0.0380053
2114,0.0422669
2115,0.0405326
2116,0.039665
2117,0.0388248
2118,0.0400694
2119,0.0391742
2120,0.0398952
2121,0.0403265
2122,0.0398189
2123,0.0397459
2124,0.0388806
2125,0.0383659
2126,0.039053
2127,0.039053
2128,0.0396224
2129,0.0412558
2130,0.039937
2131,0.0410963
2132,0.0404444
2133,0.0406553
2134,0.0418644
2135,0.0423484
2136,0.0421944
2137,0.0417556
2138,0.0403758
2139,0.0402082
2140,0.0406724
2141,0.0398939
2142,0.0400803
2143,0.0392233
2144,0.0396282
2145,0.0403624
2146,0.0404392
2147,0.0407446
2148,0.0403716
2149,0.0406859
2150,0.0412483
2151,0.040707
2152,0.0399171
2153,0.0403823
2154,0.0400817
2155,0.0409927
2156,0.0396544
2157,0.0409324
2158,0.0405767
2159,0.0374067
2160,0.0385461
2161,0.0409262
2162,0.0404682
2163,0.0394843
2164,0.0414761
2165,0.0406203
2166,0.0402108
2167,0.0396387
2168,0.0389899
2169,0.0383291
2170,0.0400895
2171,0.0392064
2172,0.0416595
2173,0.0395098
2174,0.040068
2175,0.0412194
2176,0.0416107
2177,0.0409643
2178,0.0395383
2179,0.0391582
2180,0.0391276
2181,0.040244
2182,0.0417005
2183,0.0394121
2184,0.0397782
2185,0.0414182
2186,0.0415984
2187,0.0405532
2188,0.0398008
2189,0.0432889
2190,0.0429909
2191,0.0409782
2192,0.0419567
2193,0.0419567
2194,0.0405652
2195,0.0404192
2196,0.0414044
2197,0.0415421
2198,0.0412684
2199,0.0400676
2200,0.0392763
2201,0.0404191
2202,0.0408669
2203,0.0399984
2204,0.0408125
2205,0.0409788
2206,0.0426524
2207,0.0426524
2208,0.0408503
2209,0.0409976
2210,0.0405067
2211,0.0409147
2212,0.0409177
2213,0.041795
2214,0.0390791
2215,0.0393187
2216,0.0397313
2217,0.0412906
2218,0.0404786
2219,0.0409246
2220,0.0409246
2221,0.0403362
2222,0.0426385
2223,0.0413466
2224,0.041713
2225,0.0399994
2226,0.0385149
2227,0.0400322
2228,0.0391837
2229,0.0399234
2230,0.0412463
2231,0.0408728
2232,0.0404357
2233,0.0388581
2234,0.0410073
2235,0.0414333
2236,0.0408206
2237,0.0390203
2238,0.0409415
2239,0.040692
2240,0.0411101
2241,0.0403136
2242,0.0391393
2243,0.0399207
2244,0.0415048
2245,0.0403486
2246,0.0410356
2247,0.0436859
2248,0.0411799
2249,0.039657
2250,0.041859
2251,0.0407387
2252,0.0389843
2253,0.0397868
2254,0.0397945
2255,0.0399438
2256,0.038972
2257,0.0387747
2258,0.0405624
2259,0.0418172
2260,0.0402945
2261,0.0393332
2262,0.0403787
2263,0.0400716
2264,0.0398223
2265,0.0406988
2266,0.0412218
2267,0.0415028
2268,0.0392799
2269,0.0410767
2270,0.0393276
2271,0.0411909
2272,0.0404968
2273,0.0414205
2274,0.0397342
2275,0.0424964
2276,0.0412964
2277,0.0395588
2278,0.039361
2279,0.041528
2280,0.0405943
2281,0.040957
2282,0.0418164
2283,0.0396027
2284,0.0406978
2285,0.0397289
2286,0.0410856
2287,0.0408224
2288,0.0399215
2289,0.039887
2290,0.0397255
2291,0.0389106
2292,0.0390397
2293,0.0402897
2294,0.041034
2295,0.0417688
2296,0.0394206
2297,0.0389033
2298,0.0391786
2299,0.0399422
2300,0.0424283
2301,0.0396804
2302,0.0402816
2303,0.0397644
2304,0.0410759
2305,0.0393184
2306,0.0409538
2307,0.0406113
2308,0.0404061
2309,0.0401794
2310,0.0387001
2311,0.0393512
2312,0.0400985
2313,0.0403943
2314,0.0399183
2315,0.0432658
2316,0.0405039
2317,0.0402194
