MDTU,min_width,max_width
589,2.61807,1.03072
590,2.51682,1.02768
591,2.47074,1.01607
592,2.57222,1.02307
593,2.50903,1.03557
594,2.48061,1.02472
595,2.54434,1.02446
596,2.5627,1.03823
597,2.51997,1.02372
598,2.51955,1.04227
599,2.54122,1.03403
600,2.51935,1.03229
601,2.56179,1.03848
602,2.48068,1.03066
603,2.46074,1.02063
604,2.51658,1.03
605,2.49778,1.03027
606,2.47478,1.03669
607,2.4837,1.02817
608,2.53488,1.03001
609,2.53735,1.02413
610,2.53844,1.02543
611,2.55797,1.0344
612,2.45952,1.02809
613,2.40168,1.036
614,2.56311,1.02069
615,2.43903,1.03101
616,2.49826,1.02441
617,2.48823,1.01844
618,2.50066,1.02806
619,2.50699,1.02529
620,2.56971,1.02774
621,2.53637,1.02838
622,2.54784,1.03146
623,2.50358,1.02807
624,2.51411,1.01961
625,2.51439,1.01246
626,2.52179,1.01716
627,2.5395,1.03174
628,2.47925,1.02421
629,2.5088,1.04414
630,2.50657,1.02707
631,2.48925,1.03796
632,2.44724,1.03564
633,2.58256,1.02674
634,2.55183,1.02713
635,2.55365,1.02611
636,2.46533,1.02883
637,2.60721,1.02487
638,2.50898,1.03471
639,2.46763,1.03524
640,2.55441,1.03673
641,2.52934,1.03652
642,2.43828,1.025
643,2.4931,1.02851
644,2.52396,1.01927
645,2.54921,1.02191
646,2.38716,1.02799
647,2.49857,1.03259
648,2.53455,1.03895
649,2.47659,1.03056
650,2.53091,1.02765
651,2.53602,1.04496
652,2.54244,1.01583
653,2.52761,1.0311
654,2.55698,1.01991
655,2.49971,1.02168
656,2.53051,1.03596
657,2.61572,1.02838
658,2.54684,1.0236
659,2.41698,1.03182
660,2.55605,1.0338
661,2.46765,1.04145
662,2.51071,1.02704
663,2.49821,1.03021
664,2.54208,1.0303
665,2.48537,1.03095
666,2.56238,1.03442
667,2.54561,1.03569
668,2.53155,1.04414
669,2.50468,1.02304
670,2.44747,1.01861
671,2.52629,1.02477
672,2.54017,1.02673
673,2.58856,1.03165
674,2.59047,1.02896
675,2.48874,1.02854
676,2.49329,1.02729
677,2.47374,1.02537
678,2.45204,1.01881
679,2.44259,1.01865
