ReTr(L),ImTr(L)
4.82714,-13.324
4.51578,-13.6153
4.05891,-13.3042
2.77006,-14.1758
2.97981,-13.9525
3.67464,-13.9706
3.42531,-14.1792
2.71509,-13.4191
2.77585,-13.7166
4.39227,-13.2948
3.97263,-13.2237
3.54374,-13.0815
2.36337,-13.1383
1.23744,-13.4384
2.41828,-13.5957
1.37673,-13.1868
1.77132,-12.5461
1.99562,-12.727
2.0198,-13.5738
2.35739,-13.4501
3.1837,-13.0604
2.68077,-12.4712
3.23359,-12.7533
2.75739,-13.1933
2.22121,-13.1083
1.58373,-12.9555
1.4892,-13.1472
0.876101,-13.362
0.542265,-13.6244
-0.498313,-13.5548
0.678439,-13.2218
1.1272,-13.0172
1.86929,-13.3597
1.8141,-13.6734
2.24143,-13.2804
3.06367,-12.9719
3.39406,-12.9621
3.80621,-12.7332
3.80621,-12.7332
4.85877,-12.7912
6.22031,-12.2902
5.60661,-11.9074
6.17328,-12.1306
5.70602,-12.4134
5.32924,-12.7601
4.57553,-12.8616
4.89392,-13.0396
4.72266,-13.3844
5.25255,-12.4212
6.96992,-11.0063
6.66096,-11.5524
6.50285,-11.6638
6.06199,-11.9843
5.83304,-11.8429
5.53312,-12.3825
5.643,-12.2309
4.55464,-12.6947
5.23129,-12.7833
4.33142,-12.8959
4.96881,-12.6779
3.47501,-13.0829
1.03531,-14.1554
0.653446,-13.8364
0.122829,-13.8077
-1.21026,-13.3822
-0.0980189,-13.2002
-1.23027,-12.94
-0.637124,-13.1507
-1.25044,-13.7376
-1.71466,-13.7457
-2.07459,-13.9307
-4.74963,-13.5688
-6.29178,-12.7848
-6.30075,-13.099
-5.90701,-12.9497
-6.3361,-13.6062
-4.36612,-13.4163
-2.91375,-14.2041
-3.45414,-13.2188
-3.21648,-13.5906
-2.09654,-14.1343
-2.23114,-13.8978
-1.74946,-13.5043
-3.0135,-13.212
-3.51045,-13.3278
-3.83332,-12.2995
-3.1675,-13.4498
-2.42402,-13.4778
-2.11596,-13.7464
-1.55705,-13.8588
-0.499634,-13.5448
-0.869671,-13.7738
0.0885581,-13.7798
-0.0732124,-14.037
-0.299031,-14.0965
0.53574,-14.1415
0.527538,-13.3139
1.82663,-13.6441
1.13726,-13.6248
2.13456,-13.625
0.614238,-13.6464
2.7015,-13.757
1.63248,-13.847
1.34534,-14.5977
1.43454,-13.7805
1.99896,-13.9828
2.10165,-13.3478
1.96269,-13.8827
1.96269,-13.8827
1.01265,-14.0283
-0.314781,-13.9463
0.515116,-14.074
0.515116,-14.074
0.0246018,-14.1094
-1.13299,-13.8728
-2.12522,-13.3261
-1.38504,-14.131
-1.98296,-13.8775
-2.3521,-14.5759
-2.95792,-14.3343
-2.83383,-14.3321
-1.71493,-14.4731
-1.36168,-14.0585
-1.28653,-14.0119
-1.65559,-13.9137
-0.817111,-13.6827
0.758746,-13.8181
1.7585,-13.686
1.29904,-13.2898
2.03932,-13.4343
1.33072,-13.4192
1.07121,-13.1679
-0.146378,-13.6662
0.144556,-13.1237
0.908063,-13.5235
1.00546,-13.6525
0.433259,-13.0563
1.41701,-13.942
1.67574,-13.4505
2.85594,-13.5076
3.02284,-13.4919
3.02284,-13.4919
3.54305,-13.6456
3.40418,-13.7237
3.08908,-13.6171
3.98807,-13.1379
3.50523,-13.0053
3.0151,-13.2861
2.36766,-13.3358
3.16362,-13.378
3.17317,-13.0658
3.03533,-13.1625
1.52843,-13.064
2.40282,-13.0115
1.61968,-13.3269
2.61096,-13.6718
3.45597,-13.1425
3.50277,-12.9129
3.28236,-13.3938
2.02229,-13.3768
3.51518,-13.7789
3.8881,-13.5054
3.95165,-13.18
4.29205,-12.7134
4.16295,-13.5408
4.95899,-13.0544
3.79007,-13.2331
4.46296,-13.0132
5.12856,-13.0428
6.32964,-12.6487
6.32964,-12.6487
6.07193,-12.6107
6.30788,-12.4999
6.6587,-11.7599
7.36506,-11.2769
6.53788,-12.1444
6.53788,-12.1444
7.96304,-10.6245
8.2387,-11.276
8.13935,-10.7699
10.1869,-9.35502
10.9821,-8.53661
9.47791,-9.43682
9.55952,-9.74994
9.19707,-10.319
10.1583,-9.54322
7.62729,-10.4794
7.8093,-11.5504
5.41784,-13.1883
6.49004,-12.7741
5.21495,-12.7448
4.91372,-13.2523
4.66517,-13.4431
4.03322,-13.7296
2.70406,-13.7583
3.11677,-13.4389
3.99289,-12.8244
3.99289,-12.8244
5.63734,-12.6996
6.38333,-12.9055
5.87514,-12.7725
4.81876,-12.9202
3.91335,-13.1262
3.14352,-13.2215
3.01442,-12.8051
3.32228,-13.4313
3.05703,-13.8381
2.89055,-13.4835
2.76426,-13.6846
1.59261,-13.7591
0.161111,-13.5947
-0.0472727,-13.7072
0.816941,-13.5063
-0.280025,-14.2414
-0.1337,-14.3792
0.747977,-14.3896
1.5438,-13.7735
1.98894,-13.4873
2.02183,-13.7903
2.2542,-13.4948
1.37797,-13.8977
3.07719,-13.1214
2.53231,-13.7741
2.02117,-14.0113
1.02825,-14.0213
0.442411,-14.5285
0.448629,-14.1422
-0.112721,-14.0849
-0.37403,-13.6169
0.523876,-13.7342
0.967022,-13.5571
0.79478,-14.0891
1.46389,-14.1972
1.82745,-13.4822
2.25275,-13.5802
2.82461,-13.1141
4.10604,-12.8553
4.33141,-13.3573
2.27531,-13.285
3.83859,-13.7342
5.31865,-12.4535
4.89662,-12.3202
4.32478,-12.2485
4.09826,-12.6267
5.47145,-12.5635
4.75393,-12.315
5.24086,-12.942
5.67201,-12.9596
6.03807,-13.2598
6.37488,-12.709
5.82644,-13.2849
6.17647,-12.839
7.23852,-11.6281
7.5001,-11.9902
7.92781,-12.423
8.4061,-11.6282
7.89558,-11.3892
7.81642,-11.3162
8.36946,-11.3144
9.04396,-10.6261
8.12839,-10.9397
9.03532,-10.5574
9.84756,-9.70049
9.29747,-9.22183
8.6878,-10.1852
10.508,-9.15448
10.3667,-9.31463
9.27413,-10.3357
10.2307,-8.79686
10.6767,-8.50537
10.8426,-8.72049
10.6192,-8.64583
10.8147,-8.71033
11.2544,-8.18541
11.8417,-6.89357
12.2701,-7.40855
10.8267,-8.42712
10.1635,-9.19619
10.6927,-8.59754
10.3971,-9.22745
10.3971,-9.22745
10.3971,-9.22745
11.8689,-6.58053
11.3113,-7.13324
11.7215,-7.13413
11.6695,-7.19141
11.0339,-7.83523
11.3996,-7.88422
11.819,-7.05838
11.3947,-8.00225
11.4341,-7.57979
11.3091,-8.97964
10.8068,-9.24176
10.5532,-8.74304
9.69729,-10.0819
9.40984,-9.82877
9.92856,-9.3385
10.3865,-8.98722
10.6415,-8.92072
10.0383,-9.64495
9.86067,-10.1246
10.5659,-8.77779
9.80966,-9.6959
10.644,-10.2579
10.644,-10.2579
10.4932,-9.74754
11.4676,-7.7158
11.0083,-8.03468
10.4315,-9.0316
10.5564,-9.28288
