MDTU,|Tr(L)|,ReTr(L),ImTr(L)
353,13.7737,-1.45278,-13.6969
354,13.4744,-1.50645,-13.3899
355,14.0729,-0.76646,-14.052
356,14.0405,-0.715212,-14.0223
357,13.7607,-1.26189,-13.7028
358,14.1189,-2.11011,-13.9603
359,14.4094,-1.10927,-14.3666
360,14.3214,-1.48726,-14.2439
361,14.263,-2.36909,-14.0649
362,14.0569,-1.46965,-13.9798
363,14.2189,-1.19844,-14.1683
364,14.2793,0.806234,-14.2565
365,14.2793,0.806234,-14.2565
366,14.8178,0.154499,-14.817
367,14.5588,0.785261,-14.5376
368,14.1299,0.671249,-14.1139
369,13.0925,0.860922,-13.0642
370,13.9956,0.842961,-13.9702
371,13.8757,1.72911,-13.7675
372,14.2301,1.03162,-14.1926
373,14.3711,1.29733,-14.3124
374,14.5664,1.98057,-14.4311
375,14.6518,2.48506,-14.4395
376,14.123,1.71914,-14.018
377,14.0705,1.82501,-13.9517
378,13.6574,2.08374,-13.4975
379,13.7473,1.57386,-13.6569
380,13.2612,2.83654,-12.9543
381,13.9146,2.24169,-13.7328
382,13.1948,1.74636,-13.0787
383,13.5423,3.07087,-13.1895
384,13.7561,3.59168,-13.2789
385,13.9596,4.27869,-13.2877
386,13.8979,5.42052,-12.7973
387,14.0083,6.09176,-12.6144
388,13.7848,4.08083,-13.1669
389,13.7266,5.03205,-12.7709
390,13.9613,4.27151,-13.2918
391,13.3946,3.90469,-12.8128
392,14.1848,3.82613,-13.659
393,13.4935,5.21804,-12.4437
394,13.9413,5.44077,-12.8359
395,13.2131,4.56078,-12.401
396,13.6856,4.77785,-12.8245
397,13.0658,4.40586,-12.3005
398,13.4156,5.28164,-12.3322
399,13.6088,5.58138,-12.4116
400,13.4296,6.55668,-11.7202
401,13.5934,6.81815,-11.7598
402,14.4366,7.60083,-12.2737
403,14.6599,7.93998,-12.3235
404,14.5209,7.89222,-12.1889
405,14.8159,9.23628,-11.5846
406,14.3493,8.7198,-11.3959
407,14.8938,9.09525,-11.7941
408,14.8938,9.09525,-11.7941
409,14.9666,8.42382,-12.3709
410,14.9063,8.92232,-11.9411
411,14.5502,9.15297,-11.3106
412,14.7743,11.042,-9.81602
413,14.6253,10.6485,-10.0254
414,14.3538,12.1344,-7.66727
415,14.5406,12.4091,-7.57914
416,13.7262,12.4029,-5.88022
417,13.7148,11.9138,-6.79389
418,13.6404,12.1445,-6.21074
419,13.8048,12.5111,-5.83472
420,13.8313,12.0361,-6.81443
421,12.9112,10.8743,-6.96039
422,13.228,11.0844,-7.21918
423,13.5874,11.003,-7.97199
424,14.7797,12.5248,-7.84665
425,14.5346,12.4572,-7.48808
426,14.3367,12.5383,-6.95215
427,14.3367,12.5383,-6.95215
428,14.2381,12.5794,-6.66946
429,13.6205,12.2155,-6.02488
430,13.2882,12.0738,-5.54977
431,14.0426,12.2421,-6.8793
432,13.595,11.6486,-7.00966
433,14.3024,12.0661,-7.67903
434,13.9418,12.0416,-7.02663
435,13.5813,11.8609,-6.6159
436,13.983,12.296,-6.65832
437,14.1976,12.974,-5.76589
438,14.1529,12.7924,-6.05478
439,14.0834,13.2013,-4.90597
440,14.5152,14.0499,-3.64561
441,14.3001,13.9873,-2.97445
442,13.8412,13.6521,-2.28029
443,14.3585,14.3138,-1.13219
444,14.0844,13.6677,-3.40074
445,13.8697,13.2796,-4.00256
446,13.3167,12.6031,-4.30078
447,13.4298,12.7791,-4.12986
448,13.6578,13.0726,-3.95529
449,13.346,13.0333,-2.87204
450,13.1527,12.802,-3.01704
451,13.0786,12.6785,-3.21051
452,13.3982,12.7653,-4.06897
453,13.121,12.5123,-3.95003
454,13.4794,12.4109,-5.25965
455,13.8478,12.6526,-5.62789
456,13.9163,12.4223,-6.27289
457,13.8854,12.4475,-6.15335
458,13.5938,11.8014,-6.74676
459,13.442,11.1269,-7.54177
460,14.3295,10.7149,-9.51449
461,13.9463,11.263,-8.22461
462,14.0262,10.86,-8.87669
463,13.6923,11.3354,-7.68036
464,14.6722,11.936,-8.53261
465,14.6722,11.936,-8.53261
466,14.0445,12.0367,-7.23631
467,13.9629,11.7436,-7.55319
468,14.2668,12.4336,-6.99625
469,14.0561,11.6079,-7.92657
470,14.0561,11.6079,-7.92657
471,13.726,11.4144,-7.62328
472,13.7725,11.5613,-7.48459
473,13.8284,11.0558,-8.30629
474,13.4209,11.2498,-7.31856
475,13.8397,12.371,-6.20447
476,13.6454,12.5616,-5.32941
477,14.2261,13.3067,-5.03115
478,14.0031,13.2828,-4.43344
479,14.035,13.0574,-5.14632
480,14.2232,13.2825,-5.08672
481,14.2201,12.966,-5.83898
482,14.2617,12.6789,-6.53013
483,14.5196,12.771,-6.90798
484,14.6007,13.6949,-5.0628
485,14.2505,13.657,-4.06966
486,14.1613,13.648,-3.77819
487,14.2172,14.0212,-2.35305
488,13.9343,13.6289,-2.90171
489,13.1124,12.794,-2.87209
490,13.3495,13.0316,-2.89587
491,13.3222,12.7626,-3.82052
492,13.3868,12.6292,-4.43962
493,13.149,12.2717,-4.72254
494,13.0288,12.3299,-4.20994
495,13.4091,12.6755,-4.37425
496,13.6487,12.6323,-5.16843
497,13.1797,12.0915,-5.24391
498,13.9753,12.6234,-5.99667
499,13.7257,12.6092,-5.42231
500,13.4579,11.7044,-6.64239
501,13.1799,11.2788,-6.81905
502,13.1562,10.9779,-7.25058
503,13.4233,11.2845,-7.26936
504,13.1088,10.6002,-7.71218
505,13.3916,11.6467,-6.6097
506,13.9859,12.6868,-5.88648
507,14.1014,12.5559,-6.4186
508,13.9263,12.2023,-6.71165
509,13.9263,12.2023,-6.71165
510,14.0641,12.1253,-7.12566
511,13.6406,9.50212,-9.78655
512,13.8609,8.92909,-10.6017
513,13.5532,8.98202,-10.1496
514,13.1455,8.99462,-9.5865
515,13.6198,9.4939,-9.7655
516,13.0528,8.02001,-10.2983
517,14.0624,6.35348,-12.5453
518,13.7349,5.14937,-12.7331
519,13.5051,5.25558,-12.4405
520,13.3989,4.41281,-12.6514
521,13.7473,5.42185,-12.633
522,13.7058,6.63879,-11.9906
523,13.9517,7.44124,-11.8016
524,14.0194,8.59037,-11.0792
525,13.8116,9.71686,-9.81547
526,13.6994,8.49383,-10.7484
527,13.2786,7.98212,-10.6117
528,13.7324,8.76449,-10.5717
529,13.9657,8.51098,-11.0727
530,14.1413,6.67886,-12.4647
531,14.2849,6.84828,-12.5363
532,14.3809,7.49284,-12.2746
533,13.2482,5.64346,-11.9861
534,13.8789,5.18055,-12.8758
535,13.3374,5.49927,-12.1509
536,13.6869,7.22944,-11.6219
537,13.8147,6.55031,-12.1631
538,14.4149,7.05932,-12.568
539,14.5067,6.33749,-13.0491
540,14.4957,7.01432,-12.6856
541,14.2432,6.99701,-12.4061
542,14.3075,7.70501,-12.0556
543,14.089,7.74535,-11.769
