t,cg_iters
954,8255
955,8126
956,8095
957,8264
958,8384
959,8382
960,8454
961,8151
962,8239
963,8292
964,8114
965,8069
966,7979
967,8255
968,8087
969,8254
970,8147
971,7958
972,7951
973,7980
974,8072
975,7936
976,8053
977,8098
978,8043
979,7936
980,8197
981,7991
982,8051
983,7843
984,7971
985,7963
986,8174
987,7938
988,7772
989,7817
990,7730
991,8095
992,7881
993,7800
994,8059
995,8212
996,8503
997,8226
998,7996
999,8124
1000,8209
1001,8136
1002,8188
1003,8215
1004,8310
1005,8290
1006,8215
1007,8043
1008,8359
1009,7995
1010,8071
1011,8013
1012,8179
1013,8054
1014,8179
1015,8110
1016,8308
1017,8293
1018,8421
1019,8249
1020,8034
1021,8039
1022,8215
1023,8323
1024,8051
1025,8082
1026,8036
1027,8076
1028,8336
1029,8082
1030,8148
1031,7938
1032,8150
1033,8322
1034,8023
1035,8179
1036,8255
1037,8166
1038,8045
1039,8170
1040,8007
1041,7948
1042,8148
1043,8239
1044,8084
1045,8232
1046,7890
1047,8109
1048,8064
1049,8129
1050,8371
1051,8260
1052,8329
1053,8309
1054,8204
1055,8360
1056,8355
1057,8312
1058,8158
1059,8044
1060,8140
1061,7957
1062,8015
1063,8199
1064,8027
1065,8004
1066,8203
1067,8026
1068,8501
1069,8245
1070,8097
1071,8105
1072,8405
1073,8395
1074,8112
1075,8280
1076,8130
1077,8077
1078,8007
1079,8065
1080,7895
1081,8101
1082,8092
1083,7961
1084,7979
1085,8105
1086,8130
1087,8031
1088,8129
1089,8213
1090,8230
1091,8130
1092,7908
1093,7859
1094,8290
1095,8170
1096,8173
1097,8228
1098,8095
1099,8187
1100,8078
1101,8126
1102,8004
1103,8129
1104,8355
1105,8104
1106,8071
1107,8259
1108,8156
1109,8015
1110,8271
1111,8141
1112,8153
1113,8240
1114,8259
1115,8139
1116,8171
1117,8115
1118,8489
1119,8226
1120,8084
1121,8127
1122,8253
1123,8100
1124,7986
1125,7919
1126,7987
1127,7913
1128,8095
1129,8332
1130,8297
1131,8306
1132,8280
1133,8010
1134,8186
1135,8032
1136,7984
1137,8073
1138,8049
1139,8108
1140,8074
1141,8027
1142,8051
1143,8332
1144,7963
1145,8290
1146,8240
1147,8217
1148,8178
1149,8121
1150,7873
1151,7998
1152,8037
1153,8120
1154,8105
1155,8158
1156,8339
1157,8209
1158,8281
1159,8224
1160,8259
1161,8172
1162,8139
1163,7955
1164,7859
1165,8308
1166,8301
1167,8039
1168,8031
1169,8137
1170,8145
1171,8045
1172,8078
1173,8079
1174,8109
1175,8148
1176,8108
1177,8056
1178,8130
1179,8130
1180,7991
1181,7902
1182,8120
1183,7964
1184,8234
1185,7962
1186,7886
1187,7982
1188,8069
1189,8081
1190,8342
1191,8337
1192,8378
1193,8075
1194,8092
1195,8261
1196,8213
1197,8098
1198,7900
1199,7927
1200,8044
1201,8057
1202,8046
1203,8115
1204,8186
1205,8013
1206,8239
1207,8172
1208,8004
1209,8108
1210,8058
1211,8132
1212,7992
1213,8190
1214,8130
1215,7816
1216,8050
1217,8150
1218,8181
1219,7891
1220,7774
1221,7899
1222,7952
1223,7815
1224,7976
1225,7993
1226,8119
1227,8060
1228,8025
1229,8171
1230,8142
1231,8180
1232,8345
1233,7969
1234,8120
1235,8005
1236,8068
1237,8108
1238,8148
1239,8193
1240,7930
1241,8106
1242,8024
1243,8145
1244,8151
1245,8157
1246,7888
1247,8098
1248,7957
1249,8032
1250,8088
1251,8200
1252,8168
1253,8129
1254,8167
1255,8096
1256,8411
1257,8391
1258,8200
1259,8048
1260,8072
1261,8166
1262,8239
1263,8100
1264,8133
1265,8053
1266,8047
1267,7975
1268,8156
1269,7853
1270,8096
1271,8006
1272,7947
1273,8114
1274,8172
1275,8176
1276,8201
1277,8162
1278,8250
1279,7911
1280,8222
1281,8039
1282,8070
1283,8122
1284,8021
1285,8198
1286,7900
1287,8104
1288,8171
1289,7764
1290,8075
1291,8262
1292,8129
1293,8091
1294,8006
1295,8015
1296,7941
1297,8026
1298,8267
1299,7998
1300,8030
1301,7967
1302,7874
1303,7836
1304,7743
1305,7874
1306,7860
1307,7951
1308,8127
1309,8080
1310,8192
1311,8196
1312,7888
1313,8033
1314,8043
1315,7999
1316,8045
1317,7754
1318,8394
1319,8117
1320,8332
1321,8341
1322,8063
1323,8192
1324,8122
1325,8106
1326,8135
1327,7985
1328,7951
1329,7913
1330,7843
1331,8174
1332,8349
1333,8154
1334,8103
1335,8128
1336,8167
1337,8142
1338,8101
1339,8212
1340,7969
1341,8183
1342,8396
1343,8273
1344,8153
1345,8260
1346,8438
1347,8120
1348,8425
1349,8279
1350,8119
1351,8052
1352,7929
1353,7994
1354,7960
1355,7914
1356,8145
1357,8009
1358,7955
1359,8031
1360,8118
1361,8191
1362,8290
1363,8047
1364,8168
1365,8317
1366,8311
1367,8127
1368,7919
1369,7762
1370,8156
1371,8322
1372,8023
1373,8027
1374,7934
1375,7977
1376,8001
1377,8057
1378,8004
1379,7843
1380,8089
1381,8180
1382,7906
1383,8104
1384,7938
1385,8071
1386,7981
1387,7900
1388,8141
1389,8032
1390,8231
1391,7739
1392,8078
1393,8257
1394,7900
1395,8151
1396,8060
1397,8026
1398,7684
1399,7983
1400,8063
1401,7980
1402,8086
1403,8286
1404,8192
1405,8149
1406,8161
1407,8079
1408,8129
1409,8125
1410,8064
1411,8256
1412,8362
1413,8262
1414,8177
1415,8071
1416,8349
1417,8308
1418,8327
1419,7998
1420,7846
1421,8118
1422,8005
1423,8122
1424,8128
1425,7919
1426,8035
1427,8112
1428,8128
1429,8235
1430,8204
1431,8156
1432,8203
1433,8225
1434,7914
1435,8066
1436,8288
1437,8093
1438,8028
1439,8051
1440,8134
1441,8237
1442,8212
1443,8086
1444,8264
1445,8206
1446,8199
1447,8266
1448,8025
1449,8261
1450,8289
1451,8232
1452,8080
1453,8147
1454,8662
1455,8295
1456,8194
1457,8166
1458,8213
1459,8390
1460,8236
1461,8115
1462,8196
1463,8269
1464,8112
1465,8286
1466,8275
1467,8224
1468,8211
1469,8114
1470,8090
1471,7972
1472,8009
1473,8016
1474,7921
1475,8098
1476,7991
1477,7726
1478,8098
1479,7828
1480,8005
1481,7904
1482,8053
1483,8025
1484,8101
1485,8003
1486,7936
1487,7922
1488,7967
1489,8125
1490,8325
1491,8389
1492,8340
1493,7997
1494,7966
1495,7696
1496,7907
1497,7793
1498,7933
1499,7827
1500,7850
1501,7840
1502,7943
1503,8181
1504,8001
1505,8056
1506,8106
1507,8082
1508,8154
1509,8442
1510,8390
1511,8303
1512,8238
1513,8087
1514,8337
1515,7979
1516,8041
1517,8005
1518,8007
1519,7912
1520,7966
1521,8122
1522,8067
1523,8123
1524,8205
