MDTU,S_B
1080,0.994171
1081,1.00116
1082,0.998241
1083,0.993809
1084,1.00256
1085,1.0054
1086,1.0054
1087,1.0054
1088,1.0054
1089,1.01034
1090,0.99913
1091,1.00537
1092,0.993767
1093,1.00321
1094,1.00321
1095,1.00321
1096,1.00021
1097,1.00021
1098,1.00021
1099,0.993792
1100,0.991726
1101,0.990044
1102,0.988793
1103,1.00069
1104,0.999625
1105,0.997493
1106,0.996029
1107,1.00881
1108,1.00881
1109,1.00881
1110,1.00956
1111,1.01733
1112,1.01733
1113,1.01733
1114,1.01733
1115,1.01107
1116,1.01107
1117,1.00032
1118,1.00032
1119,0.997257
1120,1.00337
1121,0.996443
1122,1.00383
1123,0.994581
1124,0.994859
1125,0.992371
1126,0.997466
1127,1.00023
1128,0.992709
1129,0.992709
1130,0.992709
1131,0.982922
1132,1.00138
1133,0.988778
1134,0.988778
1135,0.995973
1136,0.997215
1137,0.997215
1138,0.997215
1139,1.00287
1140,1.00803
1141,0.996248
1142,0.993271
1143,1.00203
1144,0.99332
1145,0.99332
1146,0.998993
1147,1.00228
1148,0.996533
1149,1.00097
1150,1.00433
1151,1.00433
1152,0.998836
1153,1.00225
1154,1.00005
1155,0.996834
1156,1.00095
1157,1.00314
1158,0.991249
1159,1.00167
1160,0.996754
1161,0.999552
1162,1.00073
1163,0.98794
1164,1.00551
1165,0.992707
1166,0.99277
1167,0.987686
1168,0.99449
1169,0.999162
1170,0.997044
1171,0.991398
1172,0.996736
1173,1.00007
1174,0.995988
1175,0.996904
1176,0.993327
1177,1.0027
1178,0.997119
1179,0.999744
1180,1.00348
1181,0.999322
1182,1.00488
1183,1.00488
1184,1.00252
1185,0.991815
1186,1.0026
1187,0.99467
1188,0.99548
1189,0.99548
1190,0.998167
1191,1.0055
1192,1.0055
1193,0.997457
1194,0.995049
1195,0.998882
1196,0.998882
1197,0.990742
1198,0.996397
1199,0.996397
1200,0.997505
1201,1.00906
1202,0.997118
1203,0.997123
1204,1.00346
1205,1.00346
1206,1.00346
1207,1.00153
1208,1.00008
1209,1.00626
1210,1.00626
1211,0.989681
1212,0.98217
1213,0.989927
1214,0.994981
