MDTU,|Tr(L)|,ReTr(L),ImTr(L)
283,1.18754,0.272491,-1.15586
284,1.16752,0.286324,-1.13186
285,1.19506,0.296947,-1.15758
286,1.19506,0.296947,-1.15758
287,1.13462,0.270903,-1.1018
288,1.07505,0.520454,-0.940665
289,1.19118,0.834995,-0.849528
290,1.23625,0.897945,-0.849706
291,1.20599,0.906181,-0.795776
292,1.24822,0.79265,-0.964234
293,1.24204,0.678721,-1.0402
294,1.24204,0.678721,-1.0402
295,1.1986,0.533969,-1.07309
296,1.19048,0.595383,-1.0309
297,1.15226,0.56689,-1.00317
298,1.2142,0.725504,-0.973619
299,1.06984,0.685098,-0.8217
300,1.16407,0.739086,-0.899342
301,1.26287,0.884008,-0.901874
302,1.26763,0.830986,-0.957256
303,1.26763,0.830986,-0.957256
304,1.26763,0.830986,-0.957256
305,1.26763,0.830986,-0.957256
306,1.26964,0.641973,-1.09538
307,1.38165,0.815975,-1.11496
308,1.27751,0.724513,-1.0522
309,1.30781,0.743982,-1.07557
310,1.21776,0.685274,-1.00664
311,1.31939,0.718249,-1.10675
312,1.22132,0.752965,-0.961602
313,1.17397,0.44594,-1.08598
314,1.11003,0.405118,-1.03346
315,1.1813,0.397137,-1.11255
316,1.10861,0.499399,-0.989758
317,1.10861,0.499399,-0.989758
318,1.02695,0.382157,-0.953192
319,1.02695,0.382157,-0.953192
320,1.2982,0.348513,-1.25055
321,1.27973,0.404643,-1.21408
322,1.29054,0.424125,-1.21885
323,1.29054,0.424125,-1.21885
324,1.24983,0.312801,-1.21005
325,1.22745,0.381635,-1.16662
326,1.22745,0.381635,-1.16662
327,1.22745,0.381635,-1.16662
328,1.22745,0.381635,-1.16662
329,1.16385,0.580705,-1.00863
330,1.22173,0.737021,-0.974386
331,1.22173,0.737021,-0.974386
332,1.17334,0.635789,-0.986157
333,1.16864,0.358794,-1.11219
334,1.14601,0.326745,-1.09844
335,1.27651,0.237307,-1.25425
336,1.22185,0.169376,-1.21005
337,1.1855,0.081947,-1.18266
338,1.33739,-0.196818,-1.32282
339,1.23826,-0.177483,-1.22547
340,1.21612,-0.0945974,-1.21244
341,1.30138,-0.20273,-1.28549
342,1.23165,-0.217303,-1.21232
343,1.22759,-0.469764,-1.13415
344,1.26881,-0.540763,-1.14781
345,1.33682,-0.637722,-1.17491
346,1.19192,-0.701673,-0.963495
347,1.26692,-0.633283,-1.09728
348,1.39979,-0.769378,-1.16939
349,1.35847,-0.400657,-1.29804
350,1.39522,-0.443993,-1.32269
351,1.28113,-0.668124,-1.09312
352,1.32581,-0.979287,-0.893742
353,1.29225,-1.0527,-0.749494
354,1.36413,-1.21664,-0.616948
355,1.2605,-1.00734,-0.757702
356,1.28484,-1.23618,-0.350275
357,1.19588,-1.17125,-0.241437
358,1.19588,-1.17125,-0.241437
359,1.19588,-1.17125,-0.241437
360,1.19588,-1.17125,-0.241437
361,1.28567,-1.27745,-0.145216
362,1.28567,-1.27745,-0.145216
363,1.29919,-1.2873,-0.175377
364,1.21686,-1.20644,-0.158926
365,1.21686,-1.20644,-0.158926
366,1.27107,-1.24869,-0.237451
367,1.29536,-1.26644,-0.272151
368,1.42298,-1.31307,-0.54838
369,1.32193,-1.24517,-0.443925
370,1.42028,-1.2303,-0.709609
371,1.33512,-1.13765,-0.69877
372,1.33512,-1.13765,-0.69877
373,1.31163,-1.01677,-0.828576
374,1.26359,-0.711847,-1.044
375,1.25839,-0.797729,-0.973233
376,1.25839,-0.797729,-0.973233
377,1.37381,-0.979331,-0.963472
378,1.26911,-0.979472,-0.80701
