MDTU,link
960,1.00482
961,1.01148
962,1.00474
963,1.00474
964,1.00673
965,1.01171
966,0.996502
967,0.996502
968,1.00217
969,1.00631
970,1.0145
971,1.0145
972,1.02105
973,1.01945
974,1.02127
975,1.02127
976,1.02127
977,1.02453
978,1.02266
979,1.01449
980,1.02413
981,1.02417
982,1.02882
983,1.02055
984,1.02055
985,1.02055
986,1.02872
987,1.0172
988,1.0054
989,1.0054
990,1.00517
991,1.00482
992,0.999589
993,1.02261
994,1.02131
995,1.01968
996,1.01707
997,1.02581
998,1.02581
999,1.015
1000,1.02393
1001,1.02393
1002,1.02613
1003,1.02613
1004,1.01987
1005,1.02596
1006,1.02617
1007,1.02156
1008,1.00942
1009,1.00499
1010,1.00499
1011,1.00578
1012,1.00196
1013,0.997608
1014,0.996172
1015,1.00663
1016,1.00242
1017,1.00193
1018,1.0035
1019,1.00043
1020,1.00448
1021,1.00428
1022,1.00428
1023,1.00427
1024,0.999544
1025,0.987425
1026,0.997752
1027,1.01265
1028,1.01657
1029,1.0086
1030,1.01414
1031,1.01125
1032,1.00955
1033,1.00955
1034,1.01209
1035,1.01595
1036,1.0173
1037,1.00646
1038,1.00608
1039,1.00608
1040,1.00768
1041,1.00768
1042,1.00621
1043,1.00358
1044,1.0072
1045,1.0164
1046,1.01611
1047,1.0077
1048,1.00857
1049,1.00699
1050,1.01753
1051,1.01566
1052,1.0096
1053,1.00617
1054,0.998802
1055,1.00997
1056,1.01531
1057,1.01531
1058,1.01228
1059,1.01228
1060,1.01289
1061,1.01129
1062,1.01129
1063,1.009
1064,1.01134
1065,1.01424
1066,1.01599
1067,1.02644
1068,1.02035
1069,1.01394
1070,1.00623
1071,1.0054
1072,1.00699
1073,1.00657
1074,1.00245
1075,1.00207
1076,1.00597
1077,0.99868
1078,0.997686
1079,0.997686
1080,1.00494
1081,0.998609
1082,1.00197
1083,0.998472
1084,0.994096
1085,1.00535
1086,1.00714
1087,1.00629
1088,1.00093
1089,1.00202
1090,1.00383
1091,1.00284
1092,0.997985
1093,0.997115
1094,0.994819
1095,0.994819
1096,0.992571
1097,0.992571
1098,0.999018
1099,1.00782
1100,1.00861
1101,1.00861
1102,0.999326
1103,1.00515
1104,0.986989
1105,0.979402
1106,0.979785
1107,0.979123
1108,0.989175
1109,0.996371
1110,0.988024
1111,0.984318
1112,0.984318
1113,0.98297
1114,0.985054
1115,0.983336
1116,0.978696
1117,0.981325
1118,0.993624
1119,0.993462
1120,1.00313
1121,1.00214
1122,1.00214
1123,1.0134
1124,1.01549
1125,1.01388
1126,1.00406
1127,1.00001
1128,1.00336
1129,0.997831
1130,0.999759
1131,1.00881
1132,1.00413
1133,1.01048
1134,1.01169
1135,1.00817
1136,1.01266
1137,1.01266
1138,1.01032
1139,1.01032
1140,1.01542
1141,1.00748
1142,0.995879
1143,1.00001
1144,0.994784
1145,0.994784
1146,0.993683
1147,0.992412
1148,1.00044
1149,1.00641
1150,0.999427
1151,0.998232
1152,1.00813
1153,1.00191
1154,1.00312
1155,1.00312
1156,1.00311
1157,0.99957
1158,1.00213
1159,1.00213
1160,0.997196
1161,1.00179
1162,1.00179
1163,0.996948
1164,0.993231
1165,0.994986
1166,0.999062
1167,1.00267
1168,1.00807
1169,1.00406
1170,1.00389
1171,1.00651
1172,1.00739
1173,1.02625
1174,1.02301
1175,1.02097
1176,1.01547
1177,1.01547
1178,1.01307
1179,1.01665
1180,1.01001
1181,1.01843
1182,1.0188
1183,1.01719
1184,1.01548
1185,1.01356
1186,1.01789
1187,1.02157
1188,1.02516
1189,1.02604
1190,1.04136
1191,1.04136
1192,1.03402
1193,1.02613
1194,1.02528
1195,1.00651
1196,0.994466
1197,0.997885
1198,1.00241
1199,0.997934
1200,1.00539
1201,1.00414
1202,0.995145
1203,0.998039
1204,1.00063
1205,1.00063
1206,1.00063
1207,0.998636
1208,1.00711
1209,1.00711
1210,0.993899
1211,1.00293
1212,0.995556
1213,0.999893
1214,0.993548
1215,1.00247
1216,0.998893
1217,0.997753
1218,1.00137
1219,0.999747
1220,0.988995
1221,0.987752
1222,1.00395
1223,1.00855
1224,1.00855
1225,1.00768
1226,1.00679
1227,1.01275
1228,1.03143
1229,1.03143
1230,1.02601
1231,1.02781
1232,1.01503
1233,1.00629
1234,1.00913
1235,1.02159
1236,1.01642
1237,1.01642
1238,1.01405
1239,1.01308
1240,1.01308
1241,1.01383
1242,1.01738
1243,1.01018
1244,0.998102
1245,0.992577
1246,1.00024
1247,1.00854
1248,1.00854
1249,1.00384
1250,1.00308
1251,1.00308
1252,0.99861
1253,1.00402
1254,1.00402
1255,1.00402
1256,1.00402
1257,1.00402
1258,1.0092
1259,0.99451
1260,1.0038
1261,1.01304
1262,1.01865
1263,1.01607
1264,1.01026
1265,1.00639
1266,1.0067
1267,1.0067
1268,1.00488
1269,0.998982
1270,1.00638
1271,1.02079
1272,1.01675
1273,1.01877
1274,1.01814
1275,1.01456
1276,1.02764
1277,1.02536
1278,1.01873
1279,1.01858
1280,1.01803
1281,1.01303
1282,1.01475
1283,1.00995
1284,1.01105
1285,1.00227
1286,0.99751
1287,1.00262
1288,1.01055
1289,1.01055
1290,1.00743
1291,1.00743
1292,1.00371
1293,1.00604
1294,1.00604
1295,1.00257
1296,0.995891
1297,0.995891
1298,0.992074
1299,1.00042
1300,1.00711
1301,1.00711
1302,1.00711
1303,1.01259
1304,1.00608
1305,1.00608
1306,1.01201
1307,1.00943
1308,0.998922
1309,0.998101
1310,1.00844
1311,1.01435
1312,1.01435
1313,1.02185
1314,1.02279
1315,1.02689
1316,1.00889
1317,0.999214
1318,1.00544
1319,1.01146
1320,1.00124
1321,1.00523
1322,1.00544
1323,1.00108
1324,1.00936
1325,1.01395
1326,0.997567
1327,0.998028
1328,1.001
1329,1.00685
1330,0.998025
1331,1.00619
1332,1.00555
1333,0.998765
1334,1.00251
1335,1.00495
1336,0.993087
1337,0.996961
1338,0.989855
1339,0.986079
1340,0.979229
1341,0.979877
1342,0.984732
1343,0.986721
1344,0.986721
1345,0.989663
1346,0.979805
1347,0.973336
1348,0.991128
1349,0.999507
1350,0.999507
1351,1.00004
1352,0.991977
1353,1.00185
1354,0.999019
1355,0.997706
1356,1.00959
1357,1.00384
1358,0.998598
1359,0.991851
1360,0.999695
1361,1.00023
1362,1.00435
1363,1.00095
1364,1.00237
1365,0.992049
1366,1.00066
1367,0.987268
1368,0.999184
1369,0.994517
1370,0.997087
1371,0.99446
1372,0.99971
1373,1.00965
1374,1.01531
1375,1.0094
1376,0.999176
1377,1.01169
1378,1.00419
1379,1.00538
1380,1.00538
1381,1.00538
1382,1.01199
1383,1.01197
1384,1.01515
1385,1.00469
1386,1.00364
1387,1.00949
1388,1.00938
1389,1.00746
1390,0.999774
1391,1.00529
1392,1.01041
1393,1.00104
1394,1.00104
1395,0.992376
1396,0.997423
