MDTU,|det-1|^2,1-Re(det),Im(det)
230,0.00218725,0.027695,-8.4039e-05
231,0.00218725,0.027695,-8.4039e-05
232,0.0236253,-0.14814,1.92316e-05
233,0.0133362,-0.09853,9.22659e-06
234,0.00173692,-0.02422,3.58032e-06
235,0.122107,-0.34428,-2.24785e-05
236,0.167333,-0.40413,9.00947e-05
237,0.1711,-0.41058,-8.56588e-05
238,0.457452,-0.67124,8.49568e-05
239,0.246931,-0.48942,0.000146287
240,0.326012,-0.56821,5.35273e-05
241,0.212777,-0.45829,6.41656e-05
242,0.212777,-0.45829,6.41656e-05
243,0.244623,-0.49239,3.31092e-05
244,0.10206,-0.31197,-9.58311e-05
245,0.0150446,-0.11367,-3.74039e-05
246,0.00141988,-0.00829,-6.51613e-05
247,0.00141988,-0.00829,-6.51613e-05
248,0.00786652,-0.07397,-0.000110542
249,0.0108193,-0.09118,7.58917e-05
250,0.016609,-0.11606,-0.000203827
251,0.0816053,-0.27666,3.66635e-05
252,0.0816053,-0.27666,3.66635e-05
253,0.00500612,0.025509,0.000116104
254,0.0495695,-0.2122,-2.53462e-05
255,0.00709025,-0.0476,-3.52087e-05
256,0.00114604,0.002101,-3.38298e-05
257,0.0681052,0.258127,-2.7323e-05
258,0.0459012,0.212306,2.27936e-06
259,0.00644372,-0.04778,-0.000127991
260,0.00328447,0.036965,-5.8624e-05
261,0.00328447,0.036965,-5.86239e-05
262,0.0190725,-0.13101,-0.000145748
263,0.00363017,-0.04426,2.92706e-05
264,0.00814294,-0.07892,2.31035e-05
265,0.00814294,-0.07892,2.31035e-05
266,0.00814294,-0.07892,2.31035e-05
267,0.00814294,-0.07892,2.31035e-05
268,0.0135175,-0.103,-5.35088e-05
269,0.00725452,0.078096,-1.99687e-05
270,0.00725452,0.078096,-1.99687e-05
271,0.0647446,0.252357,-1.4135e-05
272,0.00845161,-0.08091,4.18431e-05
273,0.0551743,-0.23087,-2.48102e-05
274,0.0260073,-0.14948,2.62753e-05
275,0.0260073,-0.14948,2.62753e-05
276,0.178705,-0.41929,1.30128e-05
277,0.00482986,-0.05433,-6.79822e-08
278,0.00460463,-0.05825,4.05452e-05
279,0.057255,0.237588,-7.00252e-05
280,0.0971862,0.310858,8.78269e-07
281,0.0992713,0.312519,-4.67444e-05
282,0.0154788,0.115031,-2.1077e-05
283,0.012233,0.104505,-0.000124104
284,0.00419499,-0.04279,-2.84754e-06
285,0.00431561,0.056427,-4.76906e-05
286,0.00431561,0.056427,-4.76906e-05
287,0.0602685,0.243339,-2.99598e-05
288,0.0028351,0.028698,4.21062e-05
289,0.0206113,-0.12155,7.49351e-05
290,0.00189359,-0.00246,-3.12859e-05
291,0.0019081,-0.00232,2.58762e-05
292,0.0109515,-0.09538,7.05631e-05
293,0.0250576,0.151595,3.44882e-06
294,0.0789108,-0.2766,3.18723e-05
295,0.04141,-0.19572,-6.92237e-05
296,0.04141,-0.19572,-6.92237e-05
297,0.04141,-0.19572,-6.92237e-05
298,0.0550864,-0.22311,1.00668e-05
299,0.0550864,-0.22311,1.00668e-05
300,0.00312029,-0.03172,-9.65929e-05
301,0.00698435,-0.06386,1.81401e-05
302,0.00269043,-0.01774,-0.000124615
303,0.00398844,0.037303,6.02854e-05
304,0.00301437,-0.03339,5.79683e-05
305,0.00301437,-0.03339,5.79683e-05
306,0.0189711,-0.12747,-8.19425e-05
307,0.163772,-0.40071,0.000158421
308,0.0253103,-0.15356,8.84181e-05
309,0.0203297,-0.13642,-8.75152e-05
310,0.00589091,0.062527,-8.97007e-05
311,0.0109036,0.089332,-4.78596e-05
312,0.0109036,0.089332,-4.78596e-05
313,0.0109036,0.089332,-4.78596e-05
314,0.0297451,0.169007,-1.36587e-05
315,0.0200915,0.137026,7.04169e-06
316,0.00430497,-0.05279,-2.85874e-05
317,0.00359119,0.043851,-0.000102943
318,0.00927628,0.085954,-1.00188e-05
319,0.00927628,0.085954,-1.00188e-05
320,0.0507967,0.221401,-0.0001039
321,0.00225785,0.028886,-1.52997e-05
322,0.0264603,0.159228,4.0258e-05
323,0.0517126,0.22242,-3.9168e-05
324,0.0530846,0.227421,-0.000127851
325,0.0609846,0.244524,0.000118927
326,0.095106,0.306791,5.60617e-05
327,0.095106,0.306791,5.60617e-05
328,0.095106,0.306791,5.60617e-05
329,0.017143,0.124905,7.27751e-05
330,0.0494562,0.219138,-4.55532e-05
331,0.00287822,0.037233,-0.000111372
332,0.0447299,0.205073,-5.56362e-05
333,0.00658058,0.06024,1.97994e-05
334,0.00611437,0.051388,-9.41651e-05
335,0.0116375,0.093863,-0.000119086
336,0.0266771,0.159767,4.83334e-05
337,0.0570622,0.23606,7.05482e-05
338,0.0743798,0.27101,2.33062e-05
339,0.0856396,0.29118,-3.59935e-05
340,0.0770928,0.275982,5.05776e-05
341,0.0335761,0.18006,6.35878e-05
342,0.00530189,0.052173,-1.33054e-05
343,0.0495422,0.220784,1.21167e-05
344,0.00441733,0.030311,6.01437e-05
345,0.076429,-0.27212,1.51046e-05
346,0.125352,-0.34839,9.56755e-05
347,0.125352,-0.34839,9.56755e-05
348,0.176153,-0.41555,0.000120827
349,0.085932,-0.28859,4.82469e-05
350,0.104774,-0.31903,-1.83139e-05
351,0.0488004,-0.21152,2.48877e-05
352,0.0759516,-0.26881,-1.0072e-05
353,0.0759516,-0.26881,-1.0072e-05
354,0.0510281,-0.21703,-1.80647e-05
355,0.0249432,-0.15211,0.00011729
356,0.0117226,0.101499,-1.15475e-05
357,0.0894077,0.297406,-7.54279e-05
358,0.0894077,0.297406,-7.54279e-05
359,0.0894077,0.297406,-7.54279e-05
360,0.131233,0.361427,1.73255e-05
361,0.00778797,0.077905,-8.16212e-05
362,0.00778797,0.077905,-8.16212e-05
363,0.00778797,0.077905,-8.16212e-05
364,0.0241641,-0.14083,0.000161301
365,0.00223053,-0.02351,1.53149e-06
366,0.0233833,-0.14474,2.50962e-06
367,0.00697469,-0.07009,-9.77947e-05
368,0.0777901,-0.27368,-0.00018527
369,0.0789806,-0.27721,-5.47077e-05
370,0.179092,-0.41894,-5.99298e-05
371,0.00263161,-5e-05,9.43527e-05
372,0.00211707,-0.00821,-0.00013815
373,0.0289043,-0.16394,-4.88216e-05
374,0.0289043,-0.16394,-4.88216e-05
375,0.0566743,-0.23104,-5.65733e-06
376,0.0237065,-0.1483,7.03953e-05
377,0.0217329,0.140248,8.76709e-05
378,0.0108181,0.096664,-2.25821e-05
379,0.085484,0.291053,2.34877e-07
380,0.0971396,0.308792,3.04707e-05
381,0.117231,0.341437,-3.95257e-05
382,0.0856102,0.289709,3.23231e-05
383,0.0105993,0.095233,1.27608e-05
384,0.0226031,-0.13619,1.88787e-05
385,0.00234146,0.001382,3.79888e-05
386,0.0232213,-0.14485,4.21564e-05
387,0.00241371,0.006123,4.87655e-05
388,0.0500092,0.220771,-0.000125449
389,0.00647967,-0.06999,3.66721e-05
390,0.00980468,-0.08664,5.96882e-05
391,0.00181123,-0.02145,-0.0001107
392,0.0488426,-0.21608,3.30964e-05
393,0.0488426,-0.21608,3.30964e-05
394,0.0488426,-0.21608,3.30964e-05
395,0.0266719,-0.15524,-8.06219e-05
396,0.0266719,-0.15524,-8.06219e-05
397,0.00192045,-0.01787,-1.61072e-05
398,0.0115871,0.101411,-2.63759e-05
399,0.0115871,0.101411,-2.63759e-05
400,0.00221386,0.025971,-0.000119593
401,0.00480776,-0.0489,-0.00012419
402,0.0121363,-0.09564,-3.73965e-05
403,0.0203017,-0.11028,0.000239192
404,0.0265876,-0.15589,-6.42406e-06
405,0.0300841,0.170231,9.94808e-06
406,0.0114229,0.100496,6.66231e-05
407,0.0656327,0.254305,-5.63505e-05
408,0.0119012,0.101469,4.07274e-05
409,0.0145244,-0.11279,-4.01621e-05
410,0.0145244,-0.11279,-4.01621e-05
411,0.00427586,0.051516,-1.11807e-05
412,0.00548622,0.057816,-0.000102455
413,0.00590309,-0.05793,-0.000164929
414,0.00894626,-0.08408,-1.44916e-05
415,0.00917261,0.089528,1.85741e-05
416,0.0596269,0.24105,-2.68812e-05
417,0.0986273,0.310426,-9.35432e-05
418,0.158337,0.397189,-1.99392e-06
419,0.0456678,0.207497,-0.000109791
420,0.0456678,0.207497,-0.000109791
421,0.139483,0.372384,-3.60989e-05
422,0.106475,0.325444,1.21615e-06
423,0.106475,0.325444,1.21615e-06
424,0.106475,0.325444,1.21615e-06
425,0.0651737,0.252444,-2.01842e-05
426,0.0375458,0.189615,-0.000107686
427,0.0375458,0.189615,-0.000107686
428,0.0311437,0.173285,5.0427e-05
429,0.109414,0.329129,1.11354e-06
430,0.0970508,0.309323,-1.95788e-05
431,0.147254,0.382582,3.24713e-05
432,0.0732927,0.268511,5.94984e-05
433,0.0397467,0.195487,-7.74875e-06
434,0.0499973,0.218393,-7.89171e-06
435,0.029346,0.16855,-8.11975e-05
436,0.0855589,0.291358,5.79431e-05
437,0.0624423,0.243922,9.38607e-06
438,0.0449874,0.20809,-4.5394e-05
439,0.0166872,0.121723,4.85313e-05
440,0.00358801,0.030356,2.9789e-05
441,0.0139564,0.112844,0.000108183
442,0.00778897,0.076677,-3.32068e-06
443,0.00339057,0.025709,2.18614e-05
444,0.0105105,-0.07878,0.000192951
445,0.0179301,0.127245,3.33982e-05
446,0.0746864,0.271597,-2.13013e-05
447,0.0746864,0.271597,-2.13013e-05
448,0.0746864,0.271597,-2.13013e-05
449,0.0344927,0.18243,-1.5681e-05
450,0.011386,0.096719,4.81663e-05
451,0.0343997,0.182531,-2.65586e-05
452,0.0615413,0.246098,5.53865e-05
453,0.103812,0.320254,-0.000114251
454,0.109577,0.329661,-1.99968e-05
