MDTU,|Tr(Lx)|
603,0.148864
604,0.0580201
605,0.140725
606,0.119956
607,0.116874
608,0.187989
609,0.114519
610,0.114519
611,0.0598137
612,0.048714
613,0.0621005
614,0.056384
615,0.056384
616,0.166996
617,0.0844327
618,0.0846744
619,0.049323
620,0.147732
621,0.120308
622,0.120308
623,0.116083
624,0.113742
625,0.0786212
626,0.0793374
627,0.162969
628,0.2243
629,0.0655842
630,0.140184
631,0.140184
632,0.140184
633,0.140184
634,0.102696
635,0.0963041
636,0.118502
637,0.207531
638,0.207531
639,0.0796149
640,0.17711
641,0.178018
642,0.264605
643,0.239727
644,0.239727
645,0.0815935
646,0.113229
647,0.156284
648,0.051059
649,0.168473
650,0.263567
651,0.0835017
652,0.281476
653,0.123447
654,0.23737
655,0.191417
656,0.229946
657,0.284963
658,0.122825
659,0.179854
660,0.159228
661,0.153461
662,0.0749345
663,0.0889825
664,0.0889825
665,0.258483
666,0.143317
667,0.125856
668,0.0581887
669,0.157276
670,0.157276
671,0.137151
672,0.1717
673,0.161229
674,0.171519
675,0.0678762
676,0.106532
677,0.141402
678,0.181608
679,0.150788
680,0.0880833
681,0.0497697
682,0.0497697
683,0.0497697
684,0.208072
685,0.299936
686,0.222857
687,0.110962
688,0.110962
689,0.110962
690,0.0937623
691,0.0931903
692,0.171305
693,0.242197
694,0.243437
695,0.239152
696,0.239152
697,0.245596
698,0.10931
699,0.188159
700,0.0871856
701,0.197719
702,0.0908184
703,0.382493
704,0.288572
705,0.220704
706,0.184791
707,0.236054
708,0.236054
709,0.149617
710,0.102671
711,0.053384
712,0.053384
713,0.15794
714,0.113353
715,0.113353
716,0.11637
717,0.0413728
718,0.270571
719,0.270571
720,0.239663
721,0.232114
722,0.208491
723,0.208491
724,0.284742
725,0.184735
726,0.184735
727,0.177846
728,0.271931
729,0.17672
730,0.251269
731,0.0700422
732,0.0700422
733,0.19315
734,0.261841
735,0.159257
736,0.227891
737,0.227891
738,0.268257
739,0.268257
740,0.207358
741,0.180658
742,0.169771
743,0.169771
744,0.206432
745,0.214348
746,0.279276
747,0.202949
748,0.0988968
749,0.246085
750,0.10665
751,0.10665
752,0.0484381
753,0.051073
754,0.214452
755,0.1493
756,0.257079
757,0.159991
758,0.159991
759,0.190269
760,0.028621
761,0.146739
762,0.232732
763,0.26349
764,0.0626226
765,0.0626226
766,0.0101163
767,0.0101163
768,0.136497
769,0.025232
770,0.0700661
771,0.0526028
772,0.181744
773,0.150956
774,0.29971
775,0.29971
776,0.212511
777,0.0847114
778,0.146421
779,0.21191
780,0.211907
781,0.138759
782,0.0400383
783,0.166965
784,0.193445
785,0.0728645
786,0.24744
787,0.223533
788,0.0557555
789,0.0539578
790,0.169677
791,0.159073
792,0.202739
793,0.252788
794,0.300842
795,0.204557
796,0.204557
797,0.204557
798,0.131302
799,0.169174
800,0.138049
801,0.110507
802,0.0925223
803,0.0736608
804,0.126596
805,0.126596
806,0.0765882
807,0.0765882
808,0.0877336
809,0.144741
810,0.131417
811,0.225128
812,0.174847
813,0.174847
814,0.174847
815,0.174847
816,0.105546
817,0.130338
818,0.130338
819,0.0396412
820,0.157841
821,0.0954667
822,0.158169
823,0.109057
824,0.21586
825,0.044195
826,0.135353
827,0.278004
828,0.0766462
829,0.105754
830,0.130726
831,0.0859842
832,0.147854
833,0.231278
834,0.0824901
835,0.125074
836,0.216465
837,0.112678
838,0.106303
839,0.170328
840,0.0506249
841,0.0506249
842,0.0569871
843,0.0315578
844,0.0315578
845,0.21168
846,0.136378
847,0.136378
848,0.131052
849,0.0939246
850,0.0939246
851,0.0897665
852,0.0897665
853,0.169648
854,0.100744
855,0.0346069
856,0.0346069
857,0.177113
858,0.190978
859,0.0789851
860,0.0789851
861,0.136236
862,0.0439568
863,0.0439568
864,0.0467993
865,0.131198
866,0.0637323
867,0.0637323
868,0.100951
869,0.100951
870,0.107618
871,0.162306
872,0.296202
873,0.0663795
874,0.180756
875,0.180756
876,0.115482
877,0.19275
878,0.170102
879,0.0509846
880,0.196234
881,0.273968
882,0.0435292
883,0.0589842
884,0.0673927
885,0.0717917
886,0.070959
887,0.205673
888,0.205673
889,0.205673
890,0.150035
891,0.141979
892,0.169172
893,0.0716034
894,0.055286
895,0.0906451
896,0.0912519
897,0.236194
898,0.236194
899,0.284676
900,0.108748
901,0.0543352
902,0.124148
903,0.0644672
904,0.0870133
905,0.134264
906,0.129681
907,0.129681
908,0.1958
909,0.0807679
910,0.191389
911,0.191389
912,0.109634
913,0.0935602
914,0.143364
915,0.108061
916,0.0580603
917,0.189974
918,0.201671
919,0.195406
920,0.0925789
921,0.0808484
922,0.122064
923,0.0926701
924,0.116792
925,0.0776499
926,0.0776499
927,0.0493338
928,0.0110996
929,0.157658
930,0.142131
931,0.150554
932,0.214958
933,0.119936
934,0.047677
935,0.181953
936,0.119119
937,0.119119
938,0.192546
939,0.134405
940,0.00703216
941,0.0914975
942,0.104084
943,0.169425
944,0.0542033
945,0.0542033
946,0.0530203
947,0.0169946
948,0.191405
949,0.205812
950,0.205812
951,0.222809
952,0.169243
953,0.277553
954,0.131577
955,0.131577
956,0.213545
957,0.227572
958,0.132766
959,0.0939895
960,0.126393
961,0.164156
962,0.134864
963,0.134864
964,0.229141
965,0.283395
966,0.283395
967,0.187164
968,0.187164
969,0.105237
970,0.105237
971,0.110946
972,0.0360063
973,0.0441753
974,0.0441753
975,0.118707
976,0.171365
977,0.159207
978,0.15096
979,0.115545
980,0.0727736
981,0.0909348
982,0.195333
983,0.0964599
984,0.0793045
985,0.156704
986,0.156704
987,0.231432
988,0.093194
989,0.179648
990,0.103535
991,0.0850371
992,0.0850371
